Corruption,Mean Accuracy,Mean C_t,Best Tau Threshold,Precision,Recall,Accuracy,F1
brightness,0.40348101265822783,-3.6006885962767012,-3.2406197366490312,0.0,0.0,0.9367088607594937,0.0
contrast,0.37905458860759494,-3.7976636730992657,-3.417897305789339,0.0,0.0,0.7974683544303798,0.0
defocus_blur,0.4029865506329114,-3.663581966041872,-3.297223769437685,0.0,0.0,0.8481012658227848,0.0
elastic_transform,0.3268393987341772,-3.6363200410096743,-3.272688036908707,1.0,0.020833333333333332,0.4050632911392405,0.04081632653061225
fog,0.3915150316455696,-3.742513444382149,-3.368262099943934,0.3333333333333333,0.1111111111111111,0.8734177215189873,0.16666666666666666
frost,0.3341574367088608,-3.141904459842569,-2.827714013858312,0.6,0.12244897959183673,0.4050632911392405,0.20338983050847456
gaussian_blur,0.4029865506329114,-3.6568680915584624,-3.2911812824026163,0.2,0.125,0.8607594936708861,0.15384615384615385
gaussian_noise,0.22814477848101267,-2.286110749435013,-2.057499674491512,1.0,0.14285714285714285,0.16455696202531644,0.25
glass_blur,0.1594145569620253,-1.8691751838190007,-1.6822576654371006,1.0,0.26582278481012656,0.26582278481012656,0.41999999999999993
impulse_noise,0.21153085443037975,-2.7638521377642604,-2.4874669239878346,0.8333333333333334,0.0641025641025641,0.06329113924050633,0.11904761904761904
jpeg_compression,0.3502768987341772,-3.6372479403392703,-3.2735231463053434,0.0,0.0,0.5443037974683544,0.0
motion_blur,0.35650712025316456,-3.4429738419710714,-3.0986764577739643,0.0,0.0,0.9746835443037974,0.0
pixelate,0.377373417721519,-3.555893266570357,-3.2003039399133213,0.25,0.0625,0.7721518987341772,0.1
saturate,0.30073180379746833,-3.448780561636027,-3.1039025054724245,1.0,0.045454545454545456,0.20253164556962025,0.08695652173913045
shot_noise,0.2848101265822785,-2.920115844273402,-2.6281042598460616,1.0,0.056338028169014086,0.1518987341772152,0.10666666666666667
snow,0.3362341772151899,-3.5467024810381114,-3.1920322329343005,0.0,0.0,0.45569620253164556,0.0
spatter,0.34988132911392406,-3.1997496695107097,-2.8797747025596387,0.36363636363636365,0.125,0.5569620253164557,0.18604651162790697
speckle_noise,0.28866693037974683,-3.0207117654875124,-2.718640588938761,1.0,0.0410958904109589,0.11392405063291139,0.07894736842105263
zoom_blur,0.3344541139240506,-3.403992755108082,-3.063593479597274,0.0,0.0,0.4177215189873418,0.0
