corruption,mean_accuracy,scale,threshold,precision,recall,accuracy,f1
brightness,0.4034810126582278,1.5,0.6052215189873417,0.0,0.0,0.5949367088607594,0.0
contrast,0.3790545886075949,1.5,0.5685818829113923,0.11666666666666667,0.4666666666666667,0.22784810126582278,0.18666666666666668
defocus_blur,0.4029865506329114,1.5,0.6044798259493671,0.058823529411764705,0.14285714285714285,0.7215189873417721,0.08333333333333333
elastic_transform,0.3268393987341772,0.5,0.1634196993670886,0.5921052631578947,0.9375,0.569620253164557,0.7258064516129032
fog,0.3915150316455696,1.5,0.5872725474683544,0.09722222222222222,0.7777777777777778,0.1518987341772152,0.17283950617283952
frost,0.3341574367088608,0.5,0.1670787183544304,0.620253164556962,1.0,0.620253164556962,0.765625
gaussian_blur,0.4029865506329114,1.5,0.6044798259493671,0.0625,0.125,0.7215189873417721,0.08333333333333333
gaussian_noise,0.2281447784810126,0.5,0.1140723892405063,0.9746835443037974,1.0,0.9746835443037974,0.9871794871794872
glass_blur,0.1594145569620253,0.5,0.07970727848101265,1.0,1.0,1.0,1.0
impulse_noise,0.2115308544303797,0.5,0.10576542721518985,0.9873417721518988,1.0,0.9873417721518988,0.9936305732484078
jpeg_compression,0.3502768987341772,1.0,0.3502768987341772,0.4918032786885246,0.8571428571428571,0.5443037974683544,0.625
motion_blur,0.3565071202531645,1.5,0.5347606803797468,0.0,0.0,0.5759493670886076,0.0
pixelate,0.377373417721519,1.5,0.5660601265822784,0.23809523809523808,0.3125,0.6582278481012658,0.27027027027027023
saturate,0.3007318037974683,0.5,0.15036590189873414,0.8354430379746836,1.0,0.8354430379746836,0.9103448275862069
shot_noise,0.2848101265822785,0.5,0.14240506329113925,0.8987341772151899,1.0,0.8987341772151899,0.9466666666666668
snow,0.3362341772151899,0.5,0.16811708860759494,0.5443037974683544,1.0,0.5443037974683544,0.7049180327868853
spatter,0.349881329113924,1.5,0.524821993670886,0.4411764705882353,0.46875,0.5443037974683544,0.45454545454545453
speckle_noise,0.2886669303797468,0.5,0.1443334651898734,0.9240506329113924,1.0,0.9240506329113924,0.9605263157894737
zoom_blur,0.3344541139240506,0.5,0.1672270569620253,0.5844155844155844,0.9782608695652174,0.5822784810126582,0.7317073170731707
