corruption,mean_accuracy,threshold_from_mean_accuracy,precision,recall,accuracy,f1
brightness,0.4034810126582278,0.363132911392405,0.0,0.0,0.14556962025316456,0.0
contrast,0.3790545886075949,0.3411491297468354,0.19480519480519481,1.0,0.21518987341772153,0.32608695652173914
defocus_blur,0.4029865506329114,0.3626878955696203,0.05555555555555555,0.42857142857142855,0.3037974683544304,0.09836065573770493
elastic_transform,0.3268393987341772,0.2941554588607595,0.5737704918032787,0.7291666666666666,0.5063291139240507,0.6422018348623854
fog,0.3915150316455696,0.35236352848101266,0.11538461538461539,1.0,0.12658227848101267,0.20689655172413793
frost,0.3341574367088608,0.3007416930379747,0.620253164556962,1.0,0.620253164556962,0.765625
gaussian_blur,0.4029865506329114,0.3626878955696203,0.07407407407407407,0.5,0.31645569620253167,0.12903225806451613
gaussian_noise,0.2281447784810126,0.20533030063291136,0.9743589743589743,0.987012987012987,0.9620253164556962,0.9806451612903225
glass_blur,0.1594145569620253,0.14347310126582277,1.0,0.9873417721518988,0.9873417721518988,0.9936305732484078
impulse_noise,0.2115308544303797,0.19037776898734174,0.9871794871794872,0.9871794871794872,0.9746835443037974,0.9871794871794872
jpeg_compression,0.3502768987341772,0.3152492088607595,0.484375,0.8857142857142857,0.5316455696202531,0.6262626262626262
motion_blur,0.3565071202531645,0.32085640822784806,0.0,0.0,0.22151898734177214,0.0
pixelate,0.377373417721519,0.3396360759493671,0.2,0.75,0.34177215189873417,0.31578947368421056
saturate,0.3007318037974683,0.27065862341772146,0.8311688311688312,0.9696969696969697,0.810126582278481,0.8951048951048951
shot_noise,0.2848101265822785,0.25632911392405067,0.8961038961038961,0.971830985915493,0.8734177215189873,0.9324324324324325
snow,0.3362341772151899,0.3026107594936709,0.5454545454545454,0.9767441860465116,0.5443037974683544,0.7
spatter,0.349881329113924,0.3148931962025316,0.4246575342465753,0.96875,0.45569620253164556,0.5904761904761905
speckle_noise,0.2886669303797468,0.2598002373417721,0.9210526315789473,0.958904109589041,0.8860759493670886,0.9395973154362416
zoom_blur,0.3344541139240506,0.3010087025316456,0.532258064516129,0.717391304347826,0.46835443037974683,0.6111111111111109
