corruption,mean_accuracy,original_threshold,threshold_minus_10pct,precision,recall,accuracy,f1
brightness,0.4034810126582278,0.8535413481012658,0.7681872132911393,0.0,0.0,0.810126582278481,0.0
contrast,0.3790545886075949,0.2841255786623609,0.2557130207961248,0.189873417721519,1.0,0.189873417721519,0.3191489361702127
defocus_blur,0.4029865506329114,0.129237262878457,0.11631353659061129,0.08860759493670886,1.0,0.08860759493670886,0.1627906976744186
elastic_transform,0.3268393987341772,0.1367596809024998,0.12308371281224982,0.6075949367088608,1.0,0.6075949367088608,0.7559055118110236
fog,0.3915150316455696,0.3252922032778571,0.29276298295007136,0.11392405063291139,1.0,0.11392405063291139,0.20454545454545456
frost,0.3341574367088608,0.3053293006329113,0.2747963705696202,0.620253164556962,1.0,0.620253164556962,0.765625
gaussian_blur,0.4029865506329114,0.1290355870023838,0.11613202830214542,0.10126582278481013,1.0,0.10126582278481013,0.18390804597701146
gaussian_noise,0.2281447784810126,0.1486240290140381,0.13376162611263429,0.9746835443037974,1.0,0.9746835443037974,0.9871794871794872
glass_blur,0.1594145569620253,0.0936005012886567,0.08424045115979104,1.0,1.0,1.0,1.0
impulse_noise,0.2115308544303797,0.1877256859394638,0.1689531173455174,0.9873417721518988,1.0,0.9873417721518988,0.9936305732484078
jpeg_compression,0.3502768987341772,0.3358433072812164,0.3022589765530948,0.47692307692307695,0.8857142857142857,0.5189873417721519,0.62
motion_blur,0.3565071202531645,0.8466683259493671,0.7620014933544305,0.0,0.0,0.8860759493670886,0.0
pixelate,0.377373417721519,0.0919668124687348,0.08277013122186132,0.20253164556962025,1.0,0.20253164556962025,0.3368421052631579
saturate,0.3007318037974683,0.2141562981234649,0.1927406683111184,0.8354430379746836,1.0,0.8354430379746836,0.9103448275862069
shot_noise,0.2848101265822785,0.1940362447733178,0.17463262029598603,0.8987341772151899,1.0,0.8987341772151899,0.9466666666666668
snow,0.3362341772151899,0.2825048114114095,0.25425433027026856,0.5443037974683544,1.0,0.5443037974683544,0.7049180327868853
spatter,0.349881329113924,0.3261213208010363,0.2935091887209327,0.43243243243243246,1.0,0.46835443037974683,0.6037735849056604
speckle_noise,0.2886669303797468,0.1810934985620579,0.1629841487058521,0.9240506329113924,1.0,0.9240506329113924,0.9605263157894737
zoom_blur,0.3344541139240506,0.1559963553478864,0.14039671981309776,0.5822784810126582,1.0,0.5822784810126582,0.736
