Corruption,Mean Accuracy,Mean DSS Similarity,Best Tau Threshold,Precision,Recall,Accuracy,F1
brightness,0.40348101265822783,0.9968277500981683,0.98,0.0,0.0,0.9936708860759493,0.0
contrast,0.37905458860759494,0.9943083273645598,0.98,0.0,0.0,0.4936708860759494,0.0
defocus_blur,0.4029865506329114,0.9937088921188542,0.98,1.0,0.025,0.5063291139240507,0.04878048780487806
elastic_transform,0.3268393987341772,0.9940631614310718,0.98,1.0,0.024390243902439025,0.4936708860759494,0.047619047619047616
fog,0.3915150316455696,0.9940357366744801,0.98,1.0,0.023809523809523808,0.4810126582278481,0.046511627906976744
frost,0.3341574367088608,0.9945052277121084,0.98,0.0,0.0,0.4936708860759494,0.0
gaussian_blur,0.4029865506329114,0.9937083228206782,0.98,1.0,0.025,0.5063291139240507,0.04878048780487806
gaussian_noise,0.22814477848101267,0.9955819828766136,0.98,0.0,0.0,0.4050632911392405,0.0
glass_blur,0.1594145569620253,0.9963538112599425,0.98,0.0,0.0,0.4177215189873418,0.0
impulse_noise,0.21153085443037975,0.9952887799278016,0.98,0.0,0.0,0.3924050632911392,0.0
jpeg_compression,0.3502768987341772,0.9940952316458661,0.98,0.0,0.0,0.4936708860759494,0.0
motion_blur,0.35650712025316456,0.9970849512487286,0.98,0.0,0.0,0.9936708860759493,0.0
pixelate,0.377373417721519,0.9940120257773168,0.98,0.0,0.0,0.45569620253164556,0.0
saturate,0.30073180379746833,0.9947466793305336,0.98,1.0,0.02631578947368421,0.5316455696202531,0.05128205128205127
shot_noise,0.2848101265822785,0.9947293436967447,0.98,0.0,0.0,0.46835443037974683,0.0
snow,0.3362341772151899,0.9941608788916587,0.98,0.0,0.0,0.4430379746835443,0.0
spatter,0.34988132911392406,0.9940222673234512,0.98,0.0,0.0,0.5063291139240507,0.0
speckle_noise,0.28866693037974683,0.9950595284768587,0.98,0.0,0.0,0.5063291139240507,0.0
zoom_blur,0.3344541139240506,0.9944922016680865,0.98,1.0,0.023255813953488372,0.46835443037974683,0.04545454545454545
