Corruption,Mean Accuracy,Mean Wealth,Mean log10 Wealth,Best Tau Threshold,Precision,Recall,Accuracy,F1
brightness,0.40348101265822783,425826694745.2733,7.784181177311751,383244025270.746,0.0,0.0,0.569620253164557,0.0
contrast,0.37905458860759494,491346783.1131895,4.120904986225689,442212104.8018706,0.0,0.0,0.6962025316455697,0.0
defocus_blur,0.4029865506329114,183369310.11234587,3.9628680750302228,165032379.1011113,0.0,0.0,0.7974683544303798,0.0
elastic_transform,0.3268393987341772,491346783.1131895,4.120904986225689,442212104.8018706,0.5555555555555556,0.10416666666666667,0.4050632911392405,0.1754385964912281
fog,0.3915150316455696,481743304.27222735,4.119799401291849,433568973.8450046,0.0,0.0,0.7721518987341772,0.0
frost,0.3341574367088608,485701283.01682544,4.120544446683914,437131154.7151429,0.5555555555555556,0.10204081632653061,0.3924050632911392,0.1724137931034483
gaussian_blur,0.4029865506329114,184220464.27489552,3.9632726418701347,165798417.84740597,0.0,0.0,0.7848101265822784,0.0
gaussian_noise,0.22814477848101267,483164055.78256196,4.118620073474756,434847650.20430577,0.7777777777777778,0.09090909090909091,0.08860759493670886,0.1627906976744186
glass_blur,0.1594145569620253,148915691.78486308,3.9320573553784124,134024122.60637678,1.0,0.11392405063291139,0.11392405063291139,0.20454545454545456
impulse_noise,0.21153085443037975,487796355.6237517,4.1196389055582605,439016720.0613765,0.8888888888888888,0.10256410256410256,0.10126582278481013,0.1839080459770115
jpeg_compression,0.3502768987341772,491346783.1131895,4.120904986225689,442212104.8018706,0.2222222222222222,0.05714285714285714,0.4936708860759494,0.0909090909090909
motion_blur,0.35650712025316456,455703191546.03656,8.008132811605957,410132872391.4329,0.0,0.0,0.5443037974683544,0.0
pixelate,0.377373417721519,307417141.7305112,4.062347775207193,276675427.55746007,0.1111111111111111,0.0625,0.7088607594936709,0.08
saturate,0.30073180379746833,491346783.1131895,4.120904986225689,442212104.8018706,0.8888888888888888,0.12121212121212122,0.25316455696202533,0.21333333333333335
shot_noise,0.2848101265822785,485535963.3140013,4.120714554561736,436982366.9826012,0.7777777777777778,0.09859154929577464,0.16455696202531644,0.175
snow,0.3362341772151899,487788998.0355496,4.116221307259974,439010098.2319946,0.6666666666666666,0.13953488372093023,0.4936708860759494,0.23076923076923078
spatter,0.34988132911392406,303846720.849764,4.06635508102053,273462048.7647876,0.2222222222222222,0.0625,0.5316455696202531,0.0975609756097561
speckle_noise,0.28866693037974683,483676209.38652074,4.119339633256016,435308588.4478687,0.7777777777777778,0.0958904109589041,0.13924050632911392,0.17073170731707316
zoom_blur,0.3344541139240506,491346783.1131895,4.120904986225689,442212104.8018706,0.5555555555555556,0.10869565217391304,0.43037974683544306,0.1818181818181818
