corruption,mean_accuracy,scale,threshold,precision,recall,accuracy,f1
brightness,0.4034810126582278,0.5,0.2017405063291139,0.0,0.0,0.04430379746835443,0.0
brightness,0.4034810126582278,0.6,0.24208860759493667,0.0,0.0,0.06962025316455696,0.0
brightness,0.4034810126582278,0.7,0.28243670886075944,0.0,0.0,0.0949367088607595,0.0
brightness,0.4034810126582278,0.8,0.3227848101265822,0.0,0.0,0.12025316455696203,0.0
brightness,0.4034810126582278,0.9,0.363132911392405,0.0,0.0,0.14556962025316456,0.0
brightness,0.4034810126582278,1.0,0.4034810126582278,0.0,0.0,0.18354430379746836,0.0
brightness,0.4034810126582278,1.1,0.4438291139240506,0.0,0.0,0.2848101265822785,0.0
brightness,0.4034810126582278,1.2,0.48417721518987333,0.0,0.0,0.35443037974683544,0.0
brightness,0.4034810126582278,1.3,0.5245253164556961,0.0,0.0,0.43037974683544306,0.0
brightness,0.4034810126582278,1.4,0.5648734177215189,0.0,0.0,0.5063291139240507,0.0
brightness,0.4034810126582278,1.5,0.6052215189873417,0.0,0.0,0.5949367088607594,0.0
contrast,0.3790545886075949,0.5,0.18952729430379744,0.189873417721519,1.0,0.189873417721519,0.3191489361702127
contrast,0.3790545886075949,0.6,0.2274327531645569,0.189873417721519,1.0,0.189873417721519,0.3191489361702127
contrast,0.3790545886075949,0.7,0.2653382120253164,0.189873417721519,1.0,0.189873417721519,0.3191489361702127
contrast,0.3790545886075949,0.8,0.30324367088607596,0.19230769230769232,1.0,0.20253164556962025,0.32258064516129037
contrast,0.3790545886075949,0.9,0.3411491297468354,0.19480519480519481,1.0,0.21518987341772153,0.32608695652173914
contrast,0.3790545886075949,1.0,0.3790545886075949,0.19480519480519481,1.0,0.21518987341772153,0.32608695652173914
contrast,0.3790545886075949,1.1,0.4169600474683544,0.17333333333333334,0.8666666666666667,0.189873417721519,0.2888888888888889
contrast,0.3790545886075949,1.2,0.4548655063291138,0.1527777777777778,0.7333333333333333,0.17721518987341772,0.25287356321839083
contrast,0.3790545886075949,1.3,0.4927709651898734,0.14285714285714285,0.6666666666666666,0.17721518987341772,0.23529411764705882
contrast,0.3790545886075949,1.4,0.5306764240506328,0.109375,0.4666666666666667,0.17721518987341772,0.17721518987341772
contrast,0.3790545886075949,1.5,0.5685818829113923,0.11666666666666667,0.4666666666666667,0.22784810126582278,0.18666666666666668
defocus_blur,0.4029865506329114,0.5,0.2014932753164557,0.09210526315789473,1.0,0.12658227848101267,0.1686746987951807
defocus_blur,0.4029865506329114,0.6,0.24179193037974683,0.05970149253731343,0.5714285714285714,0.16455696202531644,0.10810810810810811
defocus_blur,0.4029865506329114,0.7,0.28209058544303794,0.047619047619047616,0.42857142857142855,0.189873417721519,0.08571428571428572
defocus_blur,0.4029865506329114,0.8,0.3223892405063291,0.05263157894736842,0.42857142857142855,0.26582278481012656,0.09375
defocus_blur,0.4029865506329114,0.9,0.3626878955696203,0.05555555555555555,0.42857142857142855,0.3037974683544304,0.09836065573770493
defocus_blur,0.4029865506329114,1.0,0.4029865506329114,0.061224489795918366,0.42857142857142855,0.3670886075949367,0.10714285714285714
defocus_blur,0.4029865506329114,1.1,0.44328520569620256,0.06521739130434782,0.42857142857142855,0.4050632911392405,0.11320754716981131
defocus_blur,0.4029865506329114,1.2,0.48358386075949367,0.058823529411764705,0.2857142857142857,0.5316455696202531,0.0975609756097561
defocus_blur,0.4029865506329114,1.3,0.5238825158227848,0.06666666666666667,0.2857142857142857,0.5822784810126582,0.10810810810810811
defocus_blur,0.4029865506329114,1.4,0.5641811708860759,0.07407407407407407,0.2857142857142857,0.620253164556962,0.11764705882352941
defocus_blur,0.4029865506329114,1.5,0.6044798259493671,0.058823529411764705,0.14285714285714285,0.7215189873417721,0.08333333333333333
elastic_transform,0.3268393987341772,0.5,0.1634196993670886,0.5921052631578947,0.9375,0.569620253164557,0.7258064516129032
elastic_transform,0.3268393987341772,0.6,0.19610363924050633,0.5797101449275363,0.8333333333333334,0.5316455696202531,0.6837606837606838
elastic_transform,0.3268393987341772,0.7,0.22878757911392403,0.5757575757575758,0.7916666666666666,0.5189873417721519,0.6666666666666667
elastic_transform,0.3268393987341772,0.8,0.2614715189873418,0.5846153846153846,0.7916666666666666,0.5316455696202531,0.672566371681416
elastic_transform,0.3268393987341772,0.9,0.2941554588607595,0.5737704918032787,0.7291666666666666,0.5063291139240507,0.6422018348623854
elastic_transform,0.3268393987341772,1.0,0.3268393987341772,0.5283018867924528,0.5833333333333334,0.43037974683544306,0.5544554455445545
elastic_transform,0.3268393987341772,1.1,0.359523338607595,0.5283018867924528,0.5833333333333334,0.43037974683544306,0.5544554455445545
elastic_transform,0.3268393987341772,1.2,0.39220727848101267,0.5454545454545454,0.5,0.4430379746835443,0.5217391304347826
elastic_transform,0.3268393987341772,1.3,0.4248912183544304,0.5348837209302325,0.4791666666666667,0.43037974683544306,0.5054945054945056
elastic_transform,0.3268393987341772,1.4,0.45757515822784806,0.5405405405405406,0.4166666666666667,0.43037974683544306,0.47058823529411764
elastic_transform,0.3268393987341772,1.5,0.49025909810126583,0.5294117647058824,0.375,0.4177215189873418,0.4390243902439025
fog,0.3915150316455696,0.5,0.1957575158227848,0.11392405063291139,1.0,0.11392405063291139,0.20454545454545456
