corruption,mean_accuracy,threshold_from_mean_accuracy,precision,recall,accuracy,f1
brightness,0.4034810126582278,0.4438291139240506,0.0,0.0,0.2848101265822785,0.0
contrast,0.3790545886075949,0.4169600474683544,0.17333333333333334,0.8666666666666667,0.189873417721519,0.2888888888888889
defocus_blur,0.4029865506329114,0.44328520569620256,0.06521739130434782,0.42857142857142855,0.4050632911392405,0.11320754716981131
elastic_transform,0.3268393987341772,0.359523338607595,0.5283018867924528,0.5833333333333334,0.43037974683544306,0.5544554455445545
fog,0.3915150316455696,0.4306665348101266,0.11538461538461539,1.0,0.12658227848101267,0.20689655172413793
frost,0.3341574367088608,0.3675731803797469,0.6081081081081081,0.9183673469387755,0.5822784810126582,0.7317073170731707
gaussian_blur,0.4029865506329114,0.44328520569620256,0.06521739130434782,0.375,0.3924050632911392,0.11111111111111109
gaussian_noise,0.2281447784810126,0.25095925632911387,0.974025974025974,0.974025974025974,0.9493670886075949,0.974025974025974
glass_blur,0.1594145569620253,0.17535601265822784,1.0,0.9493670886075949,0.9493670886075949,0.974025974025974
impulse_noise,0.2115308544303797,0.23268393987341768,0.987012987012987,0.9743589743589743,0.9620253164556962,0.9806451612903225
jpeg_compression,0.3502768987341772,0.385304588607595,0.45454545454545453,0.7142857142857143,0.4936708860759494,0.5555555555555556
motion_blur,0.3565071202531645,0.392157832278481,0.0,0.0,0.2911392405063291,0.0
pixelate,0.377373417721519,0.41511075949367093,0.1875,0.5625,0.4177215189873418,0.28125
saturate,0.3007318037974683,0.33080498417721516,0.8289473684210527,0.9545454545454546,0.7974683544303798,0.8873239436619719
shot_noise,0.2848101265822785,0.3132911392405064,0.8888888888888888,0.9014084507042254,0.810126582278481,0.8951048951048951
snow,0.3362341772151899,0.3698575949367089,0.5384615384615384,0.813953488372093,0.5189873417721519,0.6481481481481481
spatter,0.349881329113924,0.3848694620253164,0.43548387096774194,0.84375,0.4936708860759494,0.5744680851063829
speckle_noise,0.2886669303797468,0.31753362341772146,0.9130434782608695,0.863013698630137,0.7974683544303798,0.8873239436619719
zoom_blur,0.3344541139240506,0.3678995253164557,0.5454545454545454,0.6521739130434783,0.4810126582278481,0.594059405940594
