method,technique,accuracy,precision,recall,f1
TTA-Grad,rule_based,0.443,0.6004,0.5522,0.5753
TTA-Grad,inference_based,0.2855,0.4496,0.2038,0.2804
TTA-Grad,semantic_based,0.7133,0.7899,0.7907,0.7903
TTA-Grad,similarity_based,0.5195,0.6388,0.6828,0.6601
TTA-Grad,mlaas_based,0.5902,0.6551,0.845,0.7381
TTA-Grad,CATTM,0.8189,0.9484,0.8393,0.8905
TTA-BN,rule_based,0.3564,0.5421,0.3737,0.4424
TTA-BN,inference_based,0.3812,0.5547,0.4777,0.5133
TTA-BN,semantic_based,0.7377,0.7832,0.8519,0.8161
TTA-BN,similarity_based,0.5115,0.6292,0.694,0.66
TTA-BN,mlaas_based,0.5474,0.6392,0.775,0.7006
TTA-BN,CATTM,0.8718,0.9503,0.9011,0.925
TTA-MEMO,rule_based,0.5086,0.6427,0.6324,0.6375
TTA-MEMO,inference_based,0.3503,0.5343,0.3824,0.4458
TTA-MEMO,semantic_based,0.7535,0.8146,0.8277,0.8211
TTA-MEMO,similarity_based,0.4546,0.5976,0.6174,0.6073
TTA-MEMO,mlaas_based,0.5688,0.648,0.8076,0.719
TTA-MEMO,CATTM,0.8137,0.9488,0.8327,0.887
