technique,score_threshold_rule,truth_threshold_rule,average_score,tp,fp,tn,fn,accuracy,precision,recall,f1
rule_based,mean,mean,0.3497526881720454,2131,3569,3401,6399,0.3569032258064516,0.373859649122807,0.24982415005861663,0.29950808151791986
rule_based,mean,mean_minus_5pct,0.3497526881720454,2696,3004,1906,7894,0.2969032258064516,0.4729824561403509,0.25457979225684607,0.33100061387354207
rule_based,mean,mean_minus_10pct,0.3497526881720454,3282,2418,842,8958,0.26606451612903226,0.5757894736842105,0.2681372549019608,0.365886287625418
rule_based,mean,mean_minus_15pct,0.3497526881720454,3910,1790,290,9510,0.2709677419354839,0.6859649122807018,0.29135618479880776,0.40899581589958156
rule_based,mean,mean_minus_16pct,0.3497526881720454,4025,1675,220,9580,0.2738709677419355,0.706140350877193,0.2958471150312385,0.41699041699041695
rule_based,mean_minus_5pct,mean,0.3497526881720454,3157,4143,2827,5373,0.38606451612903225,0.43246575342465754,0.37010550996483,0.3988629185091599
rule_based,mean_minus_5pct,mean_minus_5pct,0.3497526881720454,3957,3343,1567,6633,0.35638709677419356,0.542054794520548,0.3736543909348442,0.4423700391280045
rule_based,mean_minus_5pct,mean_minus_10pct,0.3497526881720454,4712,2588,672,7528,0.3473548387096774,0.6454794520547945,0.38496732026143793,0.48229273285568064
rule_based,mean_minus_5pct,mean_minus_15pct,0.3497526881720454,5446,1854,226,7974,0.36593548387096775,0.746027397260274,0.40581222056631894,0.5256756756756757
rule_based,mean_minus_5pct,mean_minus_16pct,0.3497526881720454,5574,1726,169,8031,0.37051612903225806,0.7635616438356164,0.4097023153252481,0.5332695527385793
rule_based,mean_minus_10pct,mean,0.3497526881720454,7369,6271,699,1161,0.5205161290322581,0.5402492668621701,0.8638921453692848,0.6647722147045557
rule_based,mean_minus_10pct,mean_minus_5pct,0.3497526881720454,9121,4519,391,1469,0.6136774193548387,0.6686950146627566,0.8612842304060434,0.7528683450268263
rule_based,mean_minus_10pct,mean_minus_10pct,0.3497526881720454,10538,3102,158,1702,0.6900645161290323,0.7725806451612903,0.8609477124183007,0.8143740340030913
rule_based,mean_minus_10pct,mean_minus_15pct,0.3497526881720454,11617,2023,57,1803,0.7531612903225806,0.8516862170087977,0.8656482861400894,0.858610495195861
rule_based,mean_minus_10pct,mean_minus_16pct,0.3497526881720454,11786,1854,41,1819,0.7630322580645161,0.8640762463343109,0.8662991547225285,0.8651862727105891
rule_based,mean_minus_15pct,mean,0.3497526881720454,8095,6865,105,435,0.5290322580645161,0.5411096256684492,0.9490035169988277,0.6892294593444019
rule_based,mean_minus_15pct,mean_minus_5pct,0.3497526881720454,10082,4878,32,508,0.6525161290322581,0.6739304812834225,0.9520302171860245,0.789197651663405
rule_based,mean_minus_15pct,mean_minus_10pct,0.3497526881720454,11714,3246,14,526,0.7566451612903226,0.7830213903743316,0.9570261437908497,0.8613235294117647
rule_based,mean_minus_15pct,mean_minus_15pct,0.3497526881720454,12880,2080,0,540,0.8309677419354838,0.8609625668449198,0.9597615499254843,0.9076814658210007
rule_based,mean_minus_15pct,mean_minus_16pct,0.3497526881720454,13065,1895,0,540,0.8429032258064516,0.8733288770053476,0.960308710033076,0.9147558200595134
rule_based,mean_minus_16pct,mean,0.3497526881720454,8095,6865,105,435,0.5290322580645161,0.5411096256684492,0.9490035169988277,0.6892294593444019
