technique,score_threshold_rule,truth_threshold_rule,average_score,tp,fp,tn,fn,accuracy,precision,recall,f1
rule_based,mean,mean,0.37293548387092285,3526,4974,1996,5004,0.356258064516129,0.4148235294117647,0.4133645955451348,0.4140927774515561
rule_based,mean,mean_minus_5pct,0.37293548387092285,4636,3864,1046,5954,0.3665806451612903,0.5454117647058824,0.4377714825306893,0.4856993190151912
rule_based,mean,mean_minus_10pct,0.37293548387092285,5732,2768,492,6508,0.4015483870967742,0.6743529411764706,0.46830065359477124,0.5527483124397301
rule_based,mean,mean_minus_15pct,0.37293548387092285,6640,1860,220,6780,0.4425806451612903,0.7811764705882352,0.4947839046199702,0.6058394160583942
rule_based,mean,mean_minus_16pct,0.37293548387092285,6807,1693,202,6798,0.4521935483870968,0.8008235294117647,0.5003307607497244,0.6158787604614341
rule_based,mean_minus_5pct,mean,0.37293548387092285,4586,5154,1816,3944,0.41303225806451616,0.4708418891170431,0.5376318874560375,0.5020251778872468
rule_based,mean_minus_5pct,mean_minus_5pct,0.37293548387092285,5848,3892,1018,4742,0.4429677419354839,0.6004106776180698,0.552219074598678,0.5753074274471225
rule_based,mean_minus_5pct,mean_minus_10pct,0.37293548387092285,6968,2772,488,5272,0.4810322580645161,0.7154004106776181,0.569281045751634,0.6340309372156505
rule_based,mean_minus_5pct,mean_minus_15pct,0.37293548387092285,7880,1860,220,5540,0.5225806451612903,0.8090349075975359,0.587183308494784,0.6804835924006909
rule_based,mean_minus_5pct,mean_minus_16pct,0.37293548387092285,8047,1693,202,5558,0.5321935483870968,0.8261806981519507,0.5914737228959941,0.6893981580638253
rule_based,mean_minus_10pct,mean,0.37293548387092285,6978,6142,828,1552,0.5036129032258064,0.531859756097561,0.8180539273153575,0.6446189376443417
rule_based,mean_minus_10pct,mean_minus_5pct,0.37293548387092285,8700,4420,490,1890,0.5929032258064516,0.663109756097561,0.8215297450424929,0.7338675664276675
rule_based,mean_minus_10pct,mean_minus_10pct,0.37293548387092285,10135,2985,275,2105,0.6716129032258065,0.772484756097561,0.8280228758169934,0.7992902208201893
rule_based,mean_minus_10pct,mean_minus_15pct,0.37293548387092285,11199,1921,159,2221,0.7327741935483871,0.8535823170731708,0.8345007451564829,0.8439336850037679
rule_based,mean_minus_10pct,mean_minus_16pct,0.37293548387092285,11371,1749,146,2234,0.7430322580645161,0.8666920731707317,0.8357956633590592,0.8509635173058934
rule_based,mean_minus_15pct,mean,0.37293548387092285,6978,6142,828,1552,0.5036129032258064,0.531859756097561,0.8180539273153575,0.6446189376443417
rule_based,mean_minus_15pct,mean_minus_5pct,0.37293548387092285,8700,4420,490,1890,0.5929032258064516,0.663109756097561,0.8215297450424929,0.7338675664276675
rule_based,mean_minus_15pct,mean_minus_10pct,0.37293548387092285,10135,2985,275,2105,0.6716129032258065,0.772484756097561,0.8280228758169934,0.7992902208201893
rule_based,mean_minus_15pct,mean_minus_15pct,0.37293548387092285,11199,1921,159,2221,0.7327741935483871,0.8535823170731708,0.8345007451564829,0.8439336850037679
rule_based,mean_minus_15pct,mean_minus_16pct,0.37293548387092285,11371,1749,146,2234,0.7430322580645161,0.8666920731707317,0.8357956633590592,0.8509635173058934
rule_based,mean_minus_16pct,mean,0.37293548387092285,6978,6142,828,1552,0.5036129032258064,0.531859756097561,0.8180539273153575,0.6446189376443417
rule_based,mean_minus_16pct,mean_minus_5pct,0.37293548387092285,8700,4420,490,1890,0.5929032258064516,0.663109756097561,0.8215297450424929,0.7338675664276675
rule_based,mean_minus_16pct,mean_minus_10pct,0.37293548387092285,10135,2985,275,2105,0.6716129032258065,0.772484756097561,0.8280228758169934,0.7992902208201893
rule_based,mean_minus_16pct,mean_minus_15pct,0.37293548387092285,11199,1921,159,2221,0.7327741935483871,0.8535823170731708,0.8345007451564829,0.8439336850037679
rule_based,mean_minus_16pct,mean_minus_16pct,0.37293548387092285,11371,1749,146,2234,0.7430322580645161,0.8666920731707317,0.8357956633590592,0.8509635173058934
inference_based,mean,mean,0.11367741935482953,1489,3311,3659,7041,0.3321290322580645,0.3102083333333333,0.17456037514654163,0.2234058514628657
inference_based,mean,mean_minus_5pct,0.11367741935482953,2158,2642,2268,8432,0.2855483870967742,0.44958333333333333,0.20377714825306895,0.2804418453541261
inference_based,mean,mean_minus_10pct,0.11367741935482953,2884,1916,1344,9356,0.2727741935483871,0.6008333333333333,0.23562091503267973,0.3384976525821596
inference_based,mean,mean_minus_15pct,0.11367741935482953,3516,1284,796,9904,0.27819354838709676,0.7325,0.26199701937406855,0.38594950603732164
inference_based,mean,mean_minus_16pct,0.11367741935482953,3629,1171,724,9976,0.28083870967741936,0.7560416666666666,0.2667401690554943,0.3943493615865254
inference_based,mean_minus_5pct,mean,0.11367741935482953,1489,3311,3659,7041,0.3321290322580645,0.3102083333333333,0.17456037514654163,0.2234058514628657
inference_based,mean_minus_5pct,mean_minus_5pct,0.11367741935482953,2158,2642,2268,8432,0.2855483870967742,0.44958333333333333,0.20377714825306895,0.2804418453541261
inference_based,mean_minus_5pct,mean_minus_10pct,0.11367741935482953,2884,1916,1344,9356,0.2727741935483871,0.6008333333333333,0.23562091503267973,0.3384976525821596
inference_based,mean_minus_5pct,mean_minus_15pct,0.11367741935482953,3516,1284,796,9904,0.27819354838709676,0.7325,0.26199701937406855,0.38594950603732164
inference_based,mean_minus_5pct,mean_minus_16pct,0.11367741935482953,3629,1171,724,9976,0.28083870967741936,0.7560416666666666,0.2667401690554943,0.3943493615865254
inference_based,mean_minus_10pct,mean,0.11367741935482953,4348,5132,1838,4182,0.3990967741935484,0.45864978902953585,0.5097303634232122,0.4828428650749584
inference_based,mean_minus_10pct,mean_minus_5pct,0.11367741935482953,5654,3826,1084,4936,0.43470967741935485,0.5964135021097047,0.5338999055712936,0.5634280019930243
inference_based,mean_minus_10pct,mean_minus_10pct,0.11367741935482953,6770,2710,550,5470,0.472258064516129,0.7141350210970464,0.5531045751633987,0.623388581952118
inference_based,mean_minus_10pct,mean_minus_15pct,0.11367741935482953,7699,1781,299,5721,0.516,0.8121308016877637,0.5736959761549926,0.672401746724891
inference_based,mean_minus_10pct,mean_minus_16pct,0.11367741935482953,7842,1638,257,5763,0.5225161290322581,0.8272151898734177,0.5764057331863286,0.6794022092267706
inference_based,mean_minus_15pct,mean,0.11367741935482953,5320,5920,1050,3210,0.41096774193548385,0.47330960854092524,0.6236811254396248,0.5381891755184623
inference_based,mean_minus_15pct,mean_minus_5pct,0.11367741935482953,6829,4411,499,3761,0.4727741935483871,0.6075622775800712,0.6448536355051936,0.6256527714154833
inference_based,mean_minus_15pct,mean_minus_10pct,0.11367741935482953,8183,3057,203,4057,0.5410322580645162,0.7280249110320285,0.6685457516339869,0.6970187393526405
inference_based,mean_minus_15pct,mean_minus_15pct,0.11367741935482953,9259,1981,99,4161,0.603741935483871,0.8237544483985765,0.6899403874813711,0.7509326845093268
inference_based,mean_minus_15pct,mean_minus_16pct,0.11367741935482953,9430,1810,85,4175,0.6138709677419355,0.8389679715302492,0.693127526644616,0.7591064600523244
inference_based,mean_minus_16pct,mean,0.11367741935482953,5320,5920,1050,3210,0.41096774193548385,0.47330960854092524,0.6236811254396248,0.5381891755184623
inference_based,mean_minus_16pct,mean_minus_5pct,0.11367741935482953,6829,4411,499,3761,0.4727741935483871,0.6075622775800712,0.6448536355051936,0.6256527714154833
inference_based,mean_minus_16pct,mean_minus_10pct,0.11367741935482953,8183,3057,203,4057,0.5410322580645162,0.7280249110320285,0.6685457516339869,0.6970187393526405
inference_based,mean_minus_16pct,mean_minus_15pct,0.11367741935482953,9259,1981,99,4161,0.603741935483871,0.8237544483985765,0.6899403874813711,0.7509326845093268
inference_based,mean_minus_16pct,mean_minus_16pct,0.11367741935482953,9430,1810,85,4175,0.6138709677419355,0.8389679715302492,0.693127526644616,0.7591064600523244
semantic_based,mean,mean,0.8698320774193545,5254,2746,4224,3276,0.6114838709677419,0.65675,0.6159437280187573,0.6356926799758016
semantic_based,mean,mean_minus_5pct,0.8698320774193545,6302,1698,3212,4288,0.6138064516129033,0.78775,0.5950897072710104,0.6779989241527703
semantic_based,mean,mean_minus_10pct,0.8698320774193545,7042,958,2302,5198,0.6028387096774194,0.88025,0.5753267973856209,0.6958498023715415
semantic_based,mean,mean_minus_15pct,0.8698320774193545,7476,524,1556,5944,0.5827096774193549,0.9345,0.5570789865871834,0.6980392156862746
semantic_based,mean,mean_minus_16pct,0.8698320774193545,7537,463,1432,6068,0.5786451612903226,0.942125,0.5539875045938993,0.697708863688961
semantic_based,mean_minus_5pct,mean,0.8698320774193545,6913,3687,3283,1617,0.6578064516129032,0.6521698113207547,0.8104337631887456,0.7227391531625719
