technique,score_threshold_rule,truth_threshold_rule,average_score,tp,fp,tn,fn,accuracy,precision,recall,f1
rule_based,mean,mean,0.35224731182795344,1988,3492,3478,6542,0.3526451612903226,0.3627737226277372,0.23305978898007035,0.28379728765167744
rule_based,mean,mean_minus_5pct,0.35224731182795344,2590,2890,2020,8000,0.2974193548387097,0.4726277372262774,0.24457034938621341,0.3223397635345364
rule_based,mean,mean_minus_10pct,0.35224731182795344,3170,2310,950,9070,0.2658064516129032,0.5784671532846716,0.2589869281045752,0.3577878103837472
rule_based,mean,mean_minus_15pct,0.35224731182795344,3779,1701,379,9641,0.26825806451612905,0.6895985401459854,0.2815946348733234,0.39989417989417997
rule_based,mean,mean_minus_16pct,0.35224731182795344,3891,1589,306,9714,0.2707741935483871,0.7100364963503649,0.28599779492833516,0.4077547812418129
rule_based,mean_minus_5pct,mean,0.35224731182795344,5310,5110,1860,3220,0.4625806451612903,0.5095969289827256,0.6225087924970691,0.5604221635883905
rule_based,mean_minus_5pct,mean_minus_5pct,0.35224731182795344,6697,3723,1187,3893,0.5086451612903226,0.6427063339731286,0.6323890462700661,0.6375059495478343
rule_based,mean_minus_5pct,mean_minus_10pct,0.35224731182795344,7798,2622,638,4442,0.544258064516129,0.7483685220729367,0.6370915032679738,0.688261253309797
rule_based,mean_minus_5pct,mean_minus_15pct,0.35224731182795344,8623,1797,283,4797,0.5745806451612904,0.8275431861804222,0.642548435171386,0.7234060402684563
rule_based,mean_minus_5pct,mean_minus_16pct,0.35224731182795344,8757,1663,232,4848,0.5799354838709677,0.8404030710172745,0.6436604189636164,0.7289906347554631
rule_based,mean_minus_10pct,mean,0.35224731182795344,8175,6705,265,355,0.5445161290322581,0.5493951612903226,0.9583821805392732,0.6984194788551902
rule_based,mean_minus_10pct,mean_minus_5pct,0.35224731182795344,10142,4738,172,448,0.6654193548387097,0.6815860215053764,0.9576959395656279,0.796387907341971
rule_based,mean_minus_10pct,mean_minus_10pct,0.35224731182795344,11738,3142,118,502,0.7649032258064516,0.7888440860215054,0.9589869281045752,0.8656342182890856
