client_id,corruption_category,prediction_distribution,latency,quality_factor,reliability_score,weights_file
client_0,brightness,"[0.0032, 0.0108, 0.0287, 0.0071, 0.0014, 0.0072, 0.0035, 0.0033, 0.0067, 0.0241, 0.001, 0.0025, 0.0063, 0.0017, 0.0067, 0.0035, 0.0041, 0.004, 0.0104, 0.0129, 0.008, 0.0034, 0.0018, 0.0057, 0.0075, 0.0157, 0.0018, 0.0059, 0.0063, 0.012, 0.0174, 0.0048, 0.0009, 0.0037, 0.0049, 0.0011, 0.0024, 0.0134, 0.0947, 0.0033, 0.0054, 0.0327, 0.0231, 0.0031, 0.0855, 0.0028, 0.0048, 0.0068, 0.0051, 0.0153, 0.0034, 0.0039, 0.0032, 0.0045, 0.0116, 0.007, 0.0019, 0.0268, 0.0298, 0.0366, 0.0126, 0.0043, 0.0073, 0.0013, 0.002, 0.0144, 0.0288, 0.0031, 0.0077, 0.0232, 0.0033, 0.0071, 0.0018, 0.0266, 0.005, 0.0082, 0.0041, 0.0047, 0.0009, 0.0116, 0.0051, 0.0013, 0.0067, 0.0194, 0.0015, 0.0091, 0.0037, 0.0068, 0.0012, 0.0061, 0.0101, 0.0155, 0.0023, 0.0023, 0.0176, 0.011, 0.0033, 0.0004, 0.0038, 0.0177]",9.971085167,0.289,0.9572128995288534,/Users/deepakkanneganti/Documents/TTA-Composition/Experiment 2/CIFAR100/paper_release/artifacts/tta/TTA-Grad/client_0_brightness/adapted_client_model.pt
client_0,glass_blur,"[0.001, 0.0131, 0.0265, 0.0134, 0.0017, 0.0025, 0.002, 0.0028, 0.0041, 0.0248, 0.0003, 0.0031, 0.0043, 0.0009, 0.0059, 0.0029, 0.0008, 0.0019, 0.009, 0.0239, 0.0018, 0.0038, 0.0001, 0.0083, 0.0083, 0.0222, 0.0008, 0.0053, 0.0039, 0.0088, 0.0177, 0.006, 0.0015, 0.0027, 0.004, 0.0004, 0.0022, 0.0081, 0.0854, 0.0013, 0.0018, 0.0444, 0.0352, 0.0013, 0.1043, 0.0028, 0.0026, 0.0058, 0.0016, 0.0255, 0.0031, 0.0041, 0.003, 0.0044, 0.0097, 0.0096, 0.0009, 0.0186, 0.0268, 0.0343, 0.0109, 0.0011, 0.0059, 0.0009, 0.0031, 0.0137, 0.0316, 0.0021, 0.0134, 0.0169, 0.0028, 0.0012, 0.0031, 0.0458, 0.0089, 0.0137, 0.0036, 0.0025, 0.0005, 0.0122, 0.0038, 0.0006, 0.0057, 0.0162, 0.0017, 0.0129, 0.001, 0.002, 0.0009, 0.0037, 0.0136, 0.0195, 0.0025, 0.0012, 0.0056, 0.0079, 0.0031, 0.0009, 0.0017, 0.0243]",9.418915207999998,0.1813,0.941076373775262,/Users/deepakkanneganti/Documents/TTA-Composition/Experiment 2/CIFAR100/paper_release/artifacts/tta/TTA-Grad/client_0_glass_blur/adapted_client_model.pt
client_0,impulse_noise,"[0.002, 0.0108, 0.0724, 0.0112, 0.0027, 0.0087, 0.002, 0.0032, 0.0052, 0.0218, 0.0009, 0.003, 0.0031, 0.0008, 0.0045, 0.0038, 0.0029, 0.0026, 0.0099, 0.0173, 0.0035, 0.0054, 0.0015, 0.0015, 0.0057, 0.027, 0.0011, 0.0085, 0.0033, 0.007, 0.0093, 0.0052, 0.0046, 0.0016, 0.0021, 0.0006, 0.0018, 0.0119, 0.0636, 0.0018, 0.0028, 0.0659, 0.0223, 0.0012, 0.0547, 0.0039, 0.0036, 0.0048, 0.0018, 0.0202, 0.0018, 0.0025, 0.0017, 0.003, 0.0115, 0.0106, 0.0014, 0.0261, 0.0354, 0.0404, 0.0045, 0.0043, 0.0042, 0.0022, 0.0035, 0.0305, 0.0277, 0.0031, 0.0071, 0.02, 0.0017, 0.0011, 0.0047, 0.0433, 0.0064, 0.0114, 0.0056, 0.0057, 0.0006, 0.004, 0.0034, 0.0031, 0.0039, 0.0169, 0.0015, 0.0093, 0.0025, 0.0096, 0.0005, 0.006, 0.0169, 0.021, 0.0019, 0.0018, 0.0128, 0.0101, 0.0024, 0.0003, 0.0016, 0.0115]",9.358174708,0.1921,0.9328421826956768,/Users/deepakkanneganti/Documents/TTA-Composition/Experiment 2/CIFAR100/paper_release/artifacts/tta/TTA-Grad/client_0_impulse_noise/adapted_client_model.pt
client_0,motion_blur,"[0.0028, 0.0123, 0.0283, 0.006, 0.0019, 0.0065, 0.0043, 0.0038, 0.0051, 0.0266, 0.0007, 0.0027, 0.0069, 0.0015, 0.0063, 0.0033, 0.0046, 0.0029, 0.0107, 0.01, 0.0069, 0.0041, 0.0014, 0.0035, 0.008, 0.0122, 0.0009, 0.0059, 0.0064, 0.0099, 0.0185, 0.0048, 0.0013, 0.0038, 0.003, 0.001, 0.0018, 0.0121, 0.0834, 0.0034, 0.0039, 0.0381, 0.0149, 0.0026, 0.1003, 0.0029, 0.004, 0.0068, 0.0042, 0.017, 0.0024, 0.0026, 0.0023, 0.0041, 0.0105, 0.0073, 0.0028, 0.0229, 0.0291, 0.0372, 0.0144, 0.0038, 0.0074, 0.0015, 0.0024, 0.0155, 0.0391, 0.0029, 0.0089, 0.0237, 0.0036, 0.0058, 0.0021, 0.0279, 0.0029, 0.009, 0.0036, 0.0048, 0.0009, 0.0104, 0.0058, 0.0014, 0.0085, 0.0232, 0.0019, 0.0099, 0.003, 0.0067, 0.0009, 0.0058, 0.0137, 0.0211, 0.0014, 0.0023, 0.0156, 0.0097, 0.0023, 0.0002, 0.0039, 0.0167]",9.561041333000006,0.264,0.930067028957955,/Users/deepakkanneganti/Documents/TTA-Composition/Experiment 2/CIFAR100/paper_release/artifacts/tta/TTA-Grad/client_0_motion_blur/adapted_client_model.pt
client_0,zoom_blur,"[0.0031, 0.0113, 0.0271, 0.0062, 0.0011, 0.007, 0.0038, 0.0018, 0.005, 0.0229, 0.0006, 0.0029, 0.0058, 0.0004, 0.0062, 0.0053, 0.0016, 0.0035, 0.0073, 0.0175, 0.007, 0.004, 0.0015, 0.0042, 0.0068, 0.0125, 0.0009, 0.0062, 0.0046, 0.0127, 0.0168, 0.0057, 0.0019, 0.0028, 0.0045, 0.0015, 0.0023, 0.0183, 0.1217, 0.0024, 0.0053, 0.0318, 0.0167, 0.0028, 0.0878, 0.0024, 0.0054, 0.0064, 0.0027, 0.0174, 0.0026, 0.0018, 0.0026, 0.0046, 0.0145, 0.0088, 0.0035, 0.0241, 0.031, 0.0318, 0.017, 0.0028, 0.0083, 0.0006, 0.0017, 0.0173, 0.025, 0.0027, 0.0054, 0.0278, 0.0025, 0.0062, 0.0024, 0.0264, 0.0029, 0.0095, 0.0051, 0.0027, 0.0003, 0.0079, 0.0062, 0.0004, 0.007, 0.0192, 0.0022, 0.0088, 0.0021, 0.0056, 0.0002, 0.0047, 0.0102, 0.0217, 0.0032, 0.0014, 0.016, 0.012, 0.0029, 0.0012, 0.0038, 0.014]",9.777373291000004,0.2539,0.9606593596194566,/Users/deepakkanneganti/Documents/TTA-Composition/Experiment 2/CIFAR100/paper_release/artifacts/tta/TTA-Grad/client_0_zoom_blur/adapted_client_model.pt
client_1,brightness,"[0.0172, 0.0051, 0.0043, 0.0011, 0.0028, 0.0219, 0.0315, 0.0023, 0.0039, 0.0051, 0.0017, 0.002, 0.0311, 0.0018, 0.0017, 0.028, 0.0048, 0.0069, 0.0074, 0.0009, 0.0039, 0.0225, 0.0368, 0.0208, 0.0046, 0.0083, 0.0027, 0.004, 0.0022, 0.0175, 0.0078, 0.0031, 0.0243, 0.0041, 0.0022, 0.0075, 0.0263, 0.0122, 0.0026, 0.004, 0.0296, 0.0048, 0.0038, 0.0052, 0.0037, 0.0045, 0.0019, 0.007, 0.006, 0.0072, 0.0839, 0.011, 0.0065, 0.0048, 0.0052, 0.0043, 0.0078, 0.0059, 0.0029, 0.0102, 0.0078, 0.0056, 0.0112, 0.0031, 0.0022, 0.0027, 0.0032, 0.0037, 0.0069, 0.0063, 0.029, 0.0035, 0.004, 0.0027, 0.0211, 0.0031, 0.0108, 0.0037, 0.0057, 0.0404, 0.0466, 0.004, 0.0148, 0.002, 0.0036, 0.0146, 0.0018, 0.0021, 0.0081, 0.0035, 0.0025, 0.0047, 0.0015, 0.0505, 0.0079, 0.015, 0.0107, 0.0033, 0.0052, 0.0058]",9.436770500000009,0.2799,0.9373854575581076,/Users/deepakkanneganti/Documents/TTA-Composition/Experiment 2/CIFAR100/paper_release/artifacts/tta/TTA-Grad/client_1_brightness/adapted_client_model.pt
client_1,glass_blur,"[0.0101, 0.0059, 0.0043, 0.0014, 0.0036, 0.0068, 0.0229, 0.0022, 0.0005, 0.0035, 0.0024, 0.0028, 0.0138, 0.0008, 0.0006, 0.02, 0.004, 0.0069, 0.0057, 0.0005, 0.0014, 0.0305, 0.0849, 0.028, 0.0024, 0.0118, 0.0025, 0.0021, 0.0017, 0.0117, 0.0043, 0.0027, 0.1019, 0.0024, 0.0004, 0.0095, 0.0655, 0.0108, 0.0004, 0.0033, 0.0217, 0.002, 0.0022, 0.0079, 0.0007, 0.0088, 0.0009, 0.0095, 0.0006, 0.0164, 0.101, 0.01, 0.0045, 0.0023, 0.0023, 0.0014, 0.0022, 0.0031, 0.0009, 0.0126, 0.0033, 0.004, 0.01, 0.0092, 0.0061, 0.0014, 0.0013, 0.0045, 0.0054, 0.0012, 0.0504, 0.0007, 0.0076, 0.0042, 0.0116, 0.002, 0.0105, 0.002, 0.002, 0.0112, 0.0293, 0.0034, 0.013, 0.002, 0.0009, 0.0076, 0.0005, 0.0003, 0.008, 0.0014, 0.0009, 0.0022, 0.0019, 0.0416, 0.001, 0.0083, 0.0089, 0.0037, 0.0067, 0.0019]",9.858402916000005,0.1514,0.9173081276505816,/Users/deepakkanneganti/Documents/TTA-Composition/Experiment 2/CIFAR100/paper_release/artifacts/tta/TTA-Grad/client_1_glass_blur/adapted_client_model.pt
client_1,impulse_noise,"[0.0126, 0.0025, 0.0038, 0.001, 0.0023, 0.0122, 0.0324, 0.0016, 0.0017, 0.0021, 0.0017, 0.0025, 0.0195, 0.0005, 0.0005, 0.0186, 0.0041, 0.0038, 0.0047, 0.0004, 0.0006, 0.0411, 0.1237, 0.0111, 0.0007, 0.0068, 0.0011, 0.0009, 0.0005, 0.014, 0.0093, 0.0026, 0.0742, 0.003, 0.0002, 0.0129, 0.038, 0.0146, 0.0008, 0.0045, 0.0362, 0.001, 0.0026, 0.0067, 0.0004, 0.0092, 0.0009, 0.0089, 0.0016, 0.0082, 0.0799, 0.0065, 0.0029, 0.0027, 0.0021, 0.0013, 0.0084, 0.0047, 0.0005, 0.0157, 0.0008, 0.0053, 0.0047, 0.0087, 0.0032, 0.0024, 0.0047, 0.0029, 0.0018, 0.0026, 0.039, 0.0004, 0.0062, 0.0012, 0.0115, 0.0021, 0.0142, 0.0013, 0.0045, 0.0142, 0.0345, 0.0057, 0.0125, 0.0031, 0.0018, 0.0076, 0.0015, 0.0013, 0.0086, 0.0026, 0.0011, 0.003, 0.0008, 0.0631, 0.0054, 0.0093, 0.0043, 0.004, 0.0053, 0.0033]",9.468391624999995,0.1619999999999999,0.9370142298019112,/Users/deepakkanneganti/Documents/TTA-Composition/Experiment 2/CIFAR100/paper_release/artifacts/tta/TTA-Grad/client_1_impulse_noise/adapted_client_model.pt
client_1,motion_blur,"[0.0169, 0.0067, 0.0051, 0.0024, 0.0032, 0.0202, 0.0227, 0.0027, 0.0025, 0.0049, 0.0018, 0.0016, 0.0365, 0.0015, 0.0015, 0.0297, 0.0042, 0.0071, 0.0068, 0.0005, 0.0033, 0.0249, 0.0411, 0.0199, 0.0036, 0.0078, 0.0027, 0.0031, 0.002, 0.0165, 0.0094, 0.004, 0.0311, 0.0039, 0.0018, 0.0077, 0.0281, 0.0129, 0.0023, 0.0051, 0.0302, 0.0032, 0.0034, 0.0059, 0.0027, 0.0048, 0.0019, 0.0091, 0.0029, 0.0091, 0.0872, 0.0127, 0.0062, 0.0038, 0.0049, 0.0039, 0.0082, 0.0076, 0.0032, 0.0093, 0.0104, 0.0053, 0.0131, 0.0036, 0.0019, 0.0024, 0.0029, 0.0025, 0.0053, 0.0055, 0.0286, 0.0037, 0.005, 0.0019, 0.0204, 0.0045, 0.014, 0.0029, 0.0054, 0.0302, 0.0495, 0.0035, 0.0168, 0.0027, 0.0039, 0.0136, 0.0021, 0.0012, 0.0039, 0.0024, 0.0029, 0.0055, 0.0017, 0.0483, 0.0074, 0.0131, 0.0087, 0.0023, 0.0056, 0.0055]",9.1909555,0.2579000000000001,0.9418168286268784,/Users/deepakkanneganti/Documents/TTA-Composition/Experiment 2/CIFAR100/paper_release/artifacts/tta/TTA-Grad/client_1_motion_blur/adapted_client_model.pt
client_1,zoom_blur,"[0.0204, 0.0073, 0.0059, 0.002, 0.004, 0.0126, 0.0224, 0.0039, 0.0017, 0.0041, 0.0029, 0.0019, 0.0208, 0.0016, 0.0016, 0.0199, 0.0028, 0.0073, 0.0057, 0.0005, 0.003, 0.0372, 0.0501, 0.0218, 0.0025, 0.0125, 0.0023, 0.0028, 0.0023, 0.0106, 0.0072, 0.0048, 0.036, 0.0048, 0.0016, 0.0051, 0.0336, 0.016, 0.0018, 0.0047, 0.022, 0.003, 0.0021, 0.0062, 0.0011, 0.0035, 0.0015, 0.0079, 0.0023, 0.0113, 0.1019, 0.0106, 0.0066, 0.0047, 0.003, 0.0017, 0.0064, 0.0051, 0.0022, 0.0107, 0.0109, 0.0049, 0.0147, 0.0079, 0.0041, 0.0037, 0.0039, 0.0046, 0.0043, 0.0041, 0.0321, 0.0043, 0.0053, 0.0028, 0.0255, 0.0041, 0.0158, 0.0024, 0.0051, 0.0161, 0.043, 0.004, 0.0178, 0.0025, 0.0033, 0.012, 0.0019, 0.0018, 0.0032, 0.0023, 0.0027, 0.0053, 0.001, 0.0528, 0.0101, 0.0113, 0.01, 0.004, 0.0067, 0.0039]",9.415056166,0.2513999999999999,0.9391138986304396,/Users/deepakkanneganti/Documents/TTA-Composition/Experiment 2/CIFAR100/paper_release/artifacts/tta/TTA-Grad/client_1_zoom_blur/adapted_client_model.pt
client_2,brightness,"[0.0071, 0.0098, 0.0049, 0.0018, 0.0014, 0.0045, 0.0034, 0.0039, 0.0058, 0.0143, 0.0042, 0.0042, 0.0067, 0.005, 0.0058, 0.0043, 0.0049, 0.0055, 0.0062, 0.009, 0.0244, 0.0041, 0.0022, 0.0084, 0.0206, 0.0027, 0.0455, 0.0491, 0.0445, 0.0067, 0.0042, 0.0069, 0.0012, 0.0076, 0.0099, 0.002, 0.006, 0.0086, 0.0047, 0.0024, 0.0037, 0.0065, 0.0048, 0.0032, 0.0077, 0.0186, 0.003, 0.0228, 0.023, 0.0062, 0.0048, 0.0266, 0.0022, 0.0254, 0.006, 0.0027, 0.0175, 0.0032, 0.0045, 0.0025, 0.0142, 0.0239, 0.0071, 0.002, 0.0026, 0.0232, 0.0033, 0.031, 0.0062, 0.0089, 0.0125, 0.007, 0.0011, 0.0051, 0.0031, 0.0114, 0.0121, 0.0069, 0.0064, 0.0058, 0.0064, 0.0048, 0.0057, 0.0053, 0.0493, 0.0097, 0.0162, 0.0042, 0.0437, 0.0321, 0.0086, 0.0053, 0.0049, 0.0026, 0.0063, 0.0048, 0.0038, 0.0067, 0.0042, 0.0123]",9.316617541,0.3105,0.9151637496415485,/Users/deepakkanneganti/Documents/TTA-Composition/Experiment 2/CIFAR100/paper_release/artifacts/tta/TTA-Grad/client_2_brightness/adapted_client_model.pt
client_2,glass_blur,"[0.0021, 0.0113, 0.0022, 0.0001, 0.0004, 0.0026, 0.0013, 0.0018, 0.0111, 0.0126, 0.0013, 0.0018, 0.0078, 0.0052, 0.0049, 0.0017, 0.0056, 0.0033, 0.0074, 0.0083, 0.0158, 0.0016, 0.0013, 0.008, 0.0214, 0.0037, 0.0345, 0.025, 0.0552, 0.006, 0.0014, 0.0031, 0.0004, 0.0082, 0.0082, 0.0019, 0.003, 0.0088, 0.0024, 0.0014, 0.0047, 0.0043, 0.0034, 0.0002, 0.0112, 0.0195, 0.0032, 0.0122, 0.0288, 0.0069, 0.0012, 0.0238, 0.0007, 0.0199, 0.007, 0.0006, 0.0187, 0.0007, 0.0023, 0.0033, 0.0121, 0.02, 0.004, 0.0004, 0.0012, 0.0237, 0.0016, 0.0162, 0.0082, 0.0058, 0.0097, 0.0008, 0.0001, 0.0051, 0.0009, 0.0074, 0.008, 0.0021, 0.003, 0.0089, 0.0017, 0.0025, 0.0037, 0.0066, 0.149, 0.0065, 0.0088, 0.0024, 0.0879, 0.0613, 0.0115, 0.0067, 0.0073, 0.001, 0.0004, 0.001, 0.002, 0.006, 0.0012, 0.0166]",9.334331292000002,0.1808,0.9470309838612464,/Users/deepakkanneganti/Documents/TTA-Composition/Experiment 2/CIFAR100/paper_release/artifacts/tta/TTA-Grad/client_2_glass_blur/adapted_client_model.pt
client_2,impulse_noise,"[0.003, 0.0078, 0.0027, 0.0005, 0.0003, 0.0045, 0.0018, 0.0007, 0.0094, 0.0088, 0.0047, 0.0016, 0.0043, 0.0041, 0.0038, 0.0022, 0.0061, 0.0029, 0.0047, 0.005, 0.0216, 0.0022, 0.0035, 0.002, 0.0077, 0.0029, 0.0588, 0.0245, 0.0346, 0.0064, 0.0022, 0.0031, 0.0012, 0.0071, 0.0049, 0.0033, 0.0032, 0.0074, 0.001, 0.0021, 0.0018, 0.0036, 0.0023, 0.0009, 0.006, 0.0414, 0.0016, 0.0211, 0.0192, 0.0038, 0.0015, 0.0216, 0.0014, 0.0264, 0.0052, 0.0005, 0.0156, 0.0009, 0.0028, 0.0012, 0.0054, 0.0642, 0.0031, 0.0007, 0.002, 0.0159, 0.0021, 0.0162, 0.0037, 0.0025, 0.0113, 0.0007, 0.0002, 0.0031, 0.0005, 0.0055, 0.0128, 0.0041, 0.0042, 0.0052, 0.0023, 0.0072, 0.0048, 0.0056, 0.1674, 0.0066, 0.0154, 0.0028, 0.0764, 0.049, 0.005, 0.0083, 0.004, 0.0018, 0.0022, 0.0012, 0.0013, 0.0042, 0.0022, 0.0115]",9.05928091700001,0.1819,0.9245929098612772,/Users/deepakkanneganti/Documents/TTA-Composition/Experiment 2/CIFAR100/paper_release/artifacts/tta/TTA-Grad/client_2_impulse_noise/adapted_client_model.pt
client_2,motion_blur,"[0.0058, 0.0114, 0.0054, 0.0016, 0.0008, 0.0043, 0.0028, 0.003, 0.0059, 0.0144, 0.0027, 0.0046, 0.006, 0.0032, 0.0051, 0.0054, 0.0041, 0.0059, 0.0073, 0.0105, 0.0201, 0.0045, 0.0022, 0.0059, 0.0269, 0.0027, 0.0338, 0.0701, 0.0458, 0.0057, 0.0036, 0.0085, 0.0013, 0.0077, 0.0096, 0.002, 0.0047, 0.0061, 0.0083, 0.0025, 0.0023, 0.0073, 0.0036, 0.0027, 0.0168, 0.013, 0.003, 0.0185, 0.0185, 0.0059, 0.0053, 0.0224, 0.0023, 0.0242, 0.009, 0.0025, 0.017, 0.0023, 0.0051, 0.0027, 0.0203, 0.02, 0.0108, 0.0018, 0.0028, 0.0339, 0.003, 0.0254, 0.0056, 0.0088, 0.0072, 0.0066, 0.0007, 0.0054, 0.004, 0.0158, 0.0104, 0.0084, 0.0062, 0.0082, 0.0052, 0.0023, 0.0068, 0.0061, 0.0582, 0.0101, 0.0131, 0.0037, 0.0301, 0.0346, 0.0122, 0.0068, 0.0035, 0.0024, 0.0048, 0.0035, 0.0029, 0.0061, 0.0027, 0.013]",9.356901666999988,0.2883,0.92690781886931,/Users/deepakkanneganti/Documents/TTA-Composition/Experiment 2/CIFAR100/paper_release/artifacts/tta/TTA-Grad/client_2_motion_blur/adapted_client_model.pt
