adapted_case,adapted_client,corruption,severity,chunk_id,chunk_start,chunk_end,chunk_size,composition_name,performing_clients,performing_size,raw_wdm,raw_ucs,raw_bnuas,raw_bndas,raw_pdam,wasserstein_distance,aligned_wdm,aligned_ucs,aligned_bnuas,aligned_bndas,aligned_pdam,scaled_wdm,scaled_ucs,scaled_bnuas,scaled_bndas,scaled_pdam,ttaas,composition_accuracy_on_chunk,aggregated_accuracy_on_chunk,ground_truth_composable,predicted_at_0_35,correct_at_0_35,predicted_at_0_4,correct_at_0_4,predicted_at_0_5,correct_at_0_5,predicted_at_0_6,correct_at_0_6
client_0_brightness,client_0,brightness,1,0,0,500,500,C1,client_0,1,0.000412405,-0.025233978,5.638139963,0.826661944,0,0.261195719,0.999587595,-0.025233978,5.638139963,0.826661944,0,0.998302679,0.258495106,0.822778296,0.980627253,0,0.612040667,0.582000017,0.266000003,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
client_0_brightness,client_0,brightness,1,0,0,500,500,C1_C2,"client_0,client_1",2,0.001001358,-0.045797419,5.618459404,0.62103188,0,0.371070296,0.998998642,-0.045797419,5.618459404,0.62103188,0,0.853723132,0.243972771,0.754887985,0.640880112,0,0.4986928,0.588,0.296000004,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
client_0_brightness,client_0,brightness,1,0,0,500,500,C1_C2_C3,"client_0,client_1,client_2",3,0.001703322,-0.089619923,5.604016125,0.547217429,0,0.700882137,0.998296678,-0.089619923,5.604016125,0.547217429,0,0.681401168,0.213024396,0.705064267,0.518922027,0,0.423682372,0.572000027,0.301999986,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
client_0_brightness,client_0,brightness,1,0,0,500,500,C1_C2_C3_C4,"client_0,client_1,client_2,client_3",4,0.001776993,-0.098390844,5.599557877,0.545165479,0,0.459134936,0.998223007,-0.098390844,5.599557877,0.545165479,0,0.663315921,0.206830188,0.689685036,0.515531745,0,0.415072578,0.579999983,0.30399999,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
client_0_brightness,client_0,brightness,1,0,0,500,500,C1_C2_C3_C4_C5,"client_0,client_1,client_2,client_3,client_4",5,0.001904786,-0.123861462,5.591522753,0.540299535,0,0.60294652,0.998095214,-0.123861462,5.591522753,0.540299535,0,0.631944749,0.188842301,0.661966972,0.507492109,0,0.398049226,0.582000017,0.294,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
client_0_brightness,client_0,brightness,1,0,0,500,500,C1_C2_C3_C5,"client_0,client_1,client_2,client_4",4,0.001884103,-0.123056021,5.592854738,0.535675943,0,0.812056601,0.998115897,-0.123056021,5.592854738,0.535675943,0,0.63702208,0.189411121,0.666561804,0.499852895,0,0.39856958,0.569999993,0.287999988,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
client_0_brightness,client_0,brightness,1,0,0,500,500,C1_C2_C4,"client_0,client_1,client_3",3,0.001429498,-0.074845143,5.605770051,0.573336363,0,0.285461038,0.998570502,-0.074845143,5.605770051,0.573336363,0,0.748620927,0.223458657,0.711114634,0.562076384,0,0.44905412,0.601999998,0.282000005,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
client_0_brightness,client_0,brightness,1,0,0,500,500,C1_C2_C4_C5,"client_0,client_1,client_3,client_4",4,0.001735032,-0.116203818,5.592139661,0.554625511,0,0.423540801,0.998264968,-0.116203818,5.592139661,0.554625511,0,0.673616903,0.19425029,0.664095066,0.531161846,0,0.412624821,0.578000009,0.282000005,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
client_0_brightness,client_0,brightness,1,0,0,500,500,C1_C2_C5,"client_0,client_1,client_4",3,0.001626492,-0.112158552,5.594303906,0.555191636,0,0.675787568,0.998373508,-0.112158552,5.594303906,0.555191636,0,0.700261914,0.197107142,0.671560872,0.532097212,0,0.420205428,0.586000025,0.270000011,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
client_0_brightness,client_0,brightness,1,0,0,500,500,C1_C3,"client_0,client_2",2,0.001657486,-0.094855245,5.608875751,0.554209471,0,0.732704639,0.998342514,-0.094855245,5.608875751,0.554209471,0,0.692653234,0.209327102,0.721828096,0.530474454,0,0.430856577,0.56400001,0.287999988,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
client_0_brightness,client_0,brightness,1,0,0,500,500,C1_C3_C4,"client_0,client_2,client_3",3,0.001728654,-0.103998214,5.602265239,0.551487863,0,0.423515469,0.998271346,-0.103998214,5.602265239,0.551487863,0,0.675182535,0.202870145,0.699024387,0.525977746,0,0.420610963,0.574000001,0.277999997,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
client_0_brightness,client_0,brightness,1,0,0,500,500,C1_C3_C4_C5,"client_0,client_2,client_3,client_4",4,0.001862347,-0.132367387,5.593023479,0.547287107,0,0.600505412,0.998137653,-0.132367387,5.593023479,0.547287107,0,0.642362788,0.182835237,0.667143894,0.51903715,0,0.402275814,0.574000001,0.30399999,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
client_0_brightness,client_0,brightness,1,0,0,500,500,C1_C3_C5,"client_0,client_2,client_4",3,0.00183928,-0.133712217,5.59514755,0.541695297,0,0.856428802,0.99816072,-0.133712217,5.59514755,0.541695297,0,0.648025401,0.18188549,0.674471117,0.509798222,0,0.402836046,0.558000028,0.282000005,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
