composition_id,client_names,composition_size,prediction_distribution,latency,quality_factor,reliability_score,weights_file
C1,"[""client_0""]",1,"[0.0536, 0.1278, 0.0694, 0.1469, 0.1438, 0.0909, 0.0701, 0.0641, 0.1215, 0.1119]",9.100924,5.424123167464944,13.78278817927246,artifacts/compositions/expanded/C1/composition_model.pt
C1_C2,"[""client_0"", ""client_1""]",2,"[0.0532, 0.0901, 0.0676, 0.1216, 0.1773, 0.1152, 0.0615, 0.0548, 0.1137, 0.145]",17.968464834000002,5.082140947810156,14.664962083545232,artifacts/compositions/expanded/C1_C2/composition_model.pt
C1_C2_C3,"[""client_0"", ""client_1"", ""client_2""]",3,"[0.0376, 0.0776, 0.0527, 0.1709, 0.082, 0.1272, 0.0946, 0.0508, 0.1548, 0.1518]",25.602204500999992,3.5976120865626044,11.39128403019209,artifacts/compositions/expanded/C1_C2_C3/composition_model.pt
C1_C2_C3_C4,"[""client_0"", ""client_1"", ""client_2"", ""client_3""]",4,"[0.0578, 0.0746, 0.0648, 0.1925, 0.074, 0.1302, 0.0839, 0.0508, 0.1307, 0.1407]",33.67872550000001,4.413260113243984,13.659925656439627,artifacts/compositions/expanded/C1_C2_C3_C4/composition_model.pt
C1_C2_C3_C4_C5,"[""client_0"", ""client_1"", ""client_2"", ""client_3"", ""client_4""]",5,"[0.0503, 0.0652, 0.0619, 0.1873, 0.0804, 0.133, 0.0746, 0.0603, 0.1291, 0.1579]",42.76198458499998,3.9318545755578573,13.178592883111742,artifacts/compositions/expanded/C1_C2_C3_C4_C5/composition_model.pt
C1_C2_C3_C5,"[""client_0"", ""client_1"", ""client_2"", ""client_4""]",4,"[0.0345, 0.0642, 0.0523, 0.1655, 0.0888, 0.1342, 0.0796, 0.0625, 0.1458, 0.1726]",33.35578883200003,3.491407028727954,10.377812304650746,artifacts/compositions/expanded/C1_C2_C3_C5/composition_model.pt
C1_C2_C4,"[""client_0"", ""client_1"", ""client_3""]",3,"[0.0788, 0.0798, 0.0826, 0.1724, 0.1131, 0.1245, 0.0644, 0.0534, 0.0994, 0.1316]",26.094897873000036,5.917265140458009,15.533366776112228,artifacts/compositions/expanded/C1_C2_C4/composition_model.pt
C1_C2_C4_C5,"[""client_0"", ""client_1"", ""client_3"", ""client_4""]",4,"[0.0624, 0.0678, 0.0728, 0.1662, 0.1126, 0.1307, 0.0588, 0.067, 0.106, 0.1557]",34.12356783199999,5.349999038416182,15.396868919594883,artifacts/compositions/expanded/C1_C2_C4_C5/composition_model.pt
C1_C2_C5,"[""client_0"", ""client_1"", ""client_4""]",3,"[0.0426, 0.0678, 0.0613, 0.1311, 0.1516, 0.124, 0.0558, 0.074, 0.116, 0.1758]",25.006725501000005,3.884932034357331,11.72277585181397,artifacts/compositions/expanded/C1_C2_C5/composition_model.pt
C1_C3,"[""client_0"", ""client_2""]",2,"[0.031, 0.0874, 0.0469, 0.1838, 0.0571, 0.1196, 0.1098, 0.0516, 0.178, 0.1348]",16.632063999999986,2.8992829241683395,11.549798807773936,artifacts/compositions/expanded/C1_C3/composition_model.pt
C1_C3_C4,"[""client_0"", ""client_2"", ""client_3""]",3,"[0.0577, 0.0795, 0.0625, 0.2107, 0.0567, 0.1236, 0.0891, 0.052, 0.1384, 0.1298]",25.531037373000018,4.018002701157149,13.445205974944423,artifacts/compositions/expanded/C1_C3_C4/composition_model.pt
C1_C3_C4_C5,"[""client_0"", ""client_2"", ""client_3"", ""client_4""]",4,"[0.0489, 0.0676, 0.0604, 0.2011, 0.0678, 0.1286, 0.0767, 0.0624, 0.135, 0.1515]",33.593708832000004,3.7491202863758772,12.643478021177271,artifacts/compositions/expanded/C1_C3_C4_C5/composition_model.pt
C1_C3_C5,"[""client_0"", ""client_2"", ""client_4""]",3,"[0.0299, 0.0681, 0.0484, 0.1793, 0.0721, 0.1284, 0.0846, 0.0651, 0.1568, 0.1673]",24.630777624000032,3.0803941621309963,10.036821311142111,artifacts/compositions/expanded/C1_C3_C5/composition_model.pt
C1_C4,"[""client_0"", ""client_3""]",2,"[0.091, 0.0919, 0.0906, 0.2071, 0.0818, 0.1119, 0.0635, 0.0578, 0.0964, 0.108]",16.62967291800004,5.894847636789305,15.211051575407787,artifacts/compositions/expanded/C1_C4/composition_model.pt
C1_C4_C5,"[""client_0"", ""client_3"", ""client_4""]",3,"[0.0645, 0.0716, 0.0729, 0.1908, 0.0947, 0.1219, 0.0578, 0.0723, 0.1077, 0.1458]",24.901071375000015,5.302805430742605,15.569222380350043,artifacts/compositions/expanded/C1_C4_C5/composition_model.pt
