method,technique,accuracy,precision,recall,f1
grad,rule_based,0.48651612903225805,0.4753409090909091,0.5558803986710964,0.5124655436447166
grad,inference_based,0.4778709677419355,0.45895953757225433,0.4220598006644518,0.4397369331948771
grad,semantic_based,0.5324516129032258,0.5174185463659148,0.5487043189368771,0.5326023863269913
grad,similarity_based,0.45761290322580644,0.4468674698795181,0.492890365448505,0.4687519747235387
grad,mlaas_based,0.4786451612903226,0.579375,0.5790733992712129,0.5792241603749023
grad,CATTM,0.8411612903225807,0.9383333333333334,0.8893543956043956,0.9131875881523271
tta_bn,rule_based,0.4489677419354839,0.4309782608695652,0.4215282392026578,0.42620087336244544
tta_bn,inference_based,0.48535483870967744,0.46366559485530545,0.38325581395348834,0.4196435067297199
tta_bn,semantic_based,0.5354193548387097,0.52109375,0.531827242524917,0.5264057875698783
tta_bn,similarity_based,0.45025806451612904,0.43759398496240604,0.4640531561461794,0.45043534343760083
tta_bn,mlaas_based,0.4430322580645161,0.5554794520547945,0.5066111400312338,0.5299210454669209
tta_bn,CATTM,0.7023870967741935,0.9560751948647409,0.7160714285714286,0.818849401138818
tta_memo,rule_based,0.5070322580645161,0.4926020408163265,0.5132225913621262,0.5027009437032216
tta_memo,inference_based,0.47993548387096774,0.46598984771573604,0.4879734219269103,0.47672833495618305
tta_memo,semantic_based,0.5247096774193548,0.5095410628019323,0.5606644518272426,0.5338816830117052
tta_memo,similarity_based,0.4572258064516129,0.44764150943396225,0.5044518272425249,0.4743517650734145
tta_memo,mlaas_based,0.46741935483870967,0.5736899563318777,0.5471108797501302,0.5600852651212364
tta_memo,CATTM,0.6860645161290323,0.9552883712192373,0.698489010989011,0.8069507260176148
