technique,client_id,corruption_category,prediction_distribution,latency,quality_factor,reliability_score,weights_file
grad,client_0,brightness,"[0.097, 0.1252, 0.1098, 0.0965, 0.0969, 0.0893, 0.0944, 0.0978, 0.1001, 0.093]",5.206213250000001,0.9694,0.9747650503081458,artifacts/tta_grad/artifacts/client_0_brightness/adapted_client_model.pt
grad,client_0,glass_blur,"[0.0877, 0.149, 0.1216, 0.0617, 0.1659, 0.0675, 0.0832, 0.1086, 0.1353, 0.0195]",5.082197166999999,0.798,0.9486069333305288,artifacts/tta_grad/artifacts/client_0_glass_blur/adapted_client_model.pt
grad,client_0,impulse_noise,"[0.0109, 0.8208, 0.0363, 0.0004, 0.0607, 0.0051, 0.0028, 0.0629, 0.0001, 0.0]",5.323411291999999,0.2521,0.9406039356410908,artifacts/tta_grad/artifacts/client_0_impulse_noise/adapted_client_model.pt
grad,client_0,stripe,"[0.0426, 0.216, 0.1252, 0.0819, 0.1089, 0.0896, 0.0731, 0.1354, 0.0785, 0.0488]",5.156318083000002,0.8042999999999999,0.9556180563847527,artifacts/tta_grad/artifacts/client_0_stripe/adapted_client_model.pt
grad,client_0,zigzag,"[0.093, 0.13, 0.1369, 0.0727, 0.1345, 0.0805, 0.0866, 0.1094, 0.1014, 0.055]",5.437845082999999,0.8526999999999999,0.952690026000746,artifacts/tta_grad/artifacts/client_0_zigzag/adapted_client_model.pt
grad,client_1,brightness,"[0.0974, 0.1148, 0.1105, 0.0973, 0.0988, 0.0904, 0.0959, 0.1001, 0.0967, 0.0981]",4.9286461659999965,0.9817999999999998,0.9731891421467123,artifacts/tta_grad/artifacts/client_1_brightness/adapted_client_model.pt
grad,client_1,glass_blur,"[0.0898, 0.1211, 0.1419, 0.0609, 0.1988, 0.0784, 0.0899, 0.1076, 0.1036, 0.008]",4.958948749999998,0.7992999999999999,0.9673672164493377,artifacts/tta_grad/artifacts/client_1_glass_blur/adapted_client_model.pt
grad,client_1,impulse_noise,"[0.0575, 0.1671, 0.212, 0.011, 0.241, 0.0721, 0.0773, 0.1053, 0.0537, 0.003]",5.543358540999996,0.6557000000000001,0.9602661925917905,artifacts/tta_grad/artifacts/client_1_impulse_noise/adapted_client_model.pt
grad,client_1,stripe,"[0.0561, 0.1155, 0.14, 0.0944, 0.1014, 0.1105, 0.1001, 0.1021, 0.085, 0.0949]",4.880139957999994,0.9178000000000001,0.9604309281604322,artifacts/tta_grad/artifacts/client_1_stripe/adapted_client_model.pt
grad,client_1,zigzag,"[0.0916, 0.0868, 0.1447, 0.0732, 0.162, 0.0865, 0.0915, 0.1058, 0.0979, 0.06]",4.774995208,0.8472,0.9611079194965695,artifacts/tta_grad/artifacts/client_1_zigzag/adapted_client_model.pt
grad,client_2,brightness,"[0.096, 0.1147, 0.1117, 0.1001, 0.0998, 0.0889, 0.1009, 0.094, 0.0956, 0.0983]",4.846681707999998,0.9756,0.9707315579317599,artifacts/tta_grad/artifacts/client_2_brightness/adapted_client_model.pt
grad,client_2,glass_blur,"[0.0891, 0.1116, 0.111, 0.0923, 0.2083, 0.079, 0.1102, 0.0928, 0.0957, 0.01]",5.024264291000009,0.8232999999999999,0.9643039914123388,artifacts/tta_grad/artifacts/client_2_glass_blur/adapted_client_model.pt
grad,client_2,impulse_noise,"[0.063, 0.1104, 0.1799, 0.0788, 0.226, 0.0796, 0.1234, 0.0823, 0.0464, 0.0102]",5.269234707999999,0.7344999999999999,0.9565198441730629,artifacts/tta_grad/artifacts/client_2_impulse_noise/adapted_client_model.pt
grad,client_2,stripe,"[0.0802, 0.1146, 0.1143, 0.1036, 0.1073, 0.0949, 0.1089, 0.0933, 0.0893, 0.0936]",5.319559583,0.9410000000000001,0.9550030214561998,artifacts/tta_grad/artifacts/client_2_stripe/adapted_client_model.pt
grad,client_2,zigzag,"[0.092, 0.0754, 0.127, 0.0903, 0.1692, 0.0822, 0.1076, 0.0897, 0.0979, 0.0687]",5.041441000000006,0.8563000000000001,0.95093691998982,artifacts/tta_grad/artifacts/client_2_zigzag/adapted_client_model.pt
grad,client_3,brightness,"[0.1017, 0.115, 0.1047, 0.1033, 0.0976, 0.0911, 0.0962, 0.0989, 0.0932, 0.0983]",4.842402125000007,0.9792,0.9733071363934839,artifacts/tta_grad/artifacts/client_3_brightness/adapted_client_model.pt
grad,client_3,glass_blur,"[0.105, 0.1203, 0.0958, 0.112, 0.1756, 0.0878, 0.0963, 0.0948, 0.0817, 0.0307]",5.0741700829999985,0.8549999999999999,0.948976064100905,artifacts/tta_grad/artifacts/client_3_glass_blur/adapted_client_model.pt
grad,client_3,impulse_noise,"[0.097, 0.1297, 0.1208, 0.0862, 0.1722, 0.097, 0.0964, 0.0991, 0.0814, 0.0202]",5.346122500000007,0.8426,0.9310875810378646,artifacts/tta_grad/artifacts/client_3_impulse_noise/adapted_client_model.pt
grad,client_3,stripe,"[0.0899, 0.1166, 0.1009, 0.1078, 0.0996, 0.1077, 0.0984, 0.1029, 0.0884, 0.0878]",5.140248583999991,0.9435,0.9569467575613445,artifacts/tta_grad/artifacts/client_3_stripe/adapted_client_model.pt
grad,client_3,zigzag,"[0.1044, 0.0926, 0.1108, 0.0998, 0.1442, 0.0888, 0.0946, 0.0948, 0.0937, 0.0763]",4.744373416000002,0.8953,0.9547053547301726,artifacts/tta_grad/artifacts/client_3_zigzag/adapted_client_model.pt
grad,client_4,brightness,"[0.0965, 0.1137, 0.1086, 0.0996, 0.0974, 0.0891, 0.1004, 0.1036, 0.095, 0.0961]",4.616176707999998,0.9802,0.9772383256996008,artifacts/tta_grad/artifacts/client_4_brightness/adapted_client_model.pt
grad,client_4,glass_blur,"[0.0881, 0.1159, 0.1318, 0.0761, 0.1593, 0.0771, 0.1059, 0.1357, 0.0941, 0.016]",4.804241459000011,0.8314999999999999,0.9528860522267892,artifacts/tta_grad/artifacts/client_4_glass_blur/adapted_client_model.pt
grad,client_4,impulse_noise,"[0.0175, 0.1308, 0.3711, 0.0347, 0.112, 0.0729, 0.0848, 0.1689, 0.0045, 0.0028]",6.505350249999992,0.5892999999999999,0.9361930224231064,artifacts/tta_grad/artifacts/client_4_impulse_noise/adapted_client_model.pt
grad,client_4,stripe,"[0.068, 0.1132, 0.1278, 0.0967, 0.1011, 0.0988, 0.1196, 0.1061, 0.0846, 0.0841]",5.189158167000016,0.9198000000000001,0.9418676544764878,artifacts/tta_grad/artifacts/client_4_stripe/adapted_client_model.pt
grad,client_4,zigzag,"[0.0886, 0.0821, 0.1619, 0.0769, 0.1346, 0.0826, 0.1011, 0.121, 0.0888, 0.0624]",5.153786832999998,0.842,0.9252564207386477,artifacts/tta_grad/artifacts/client_4_zigzag/adapted_client_model.pt
tta_bn,client_0,brightness,"[0.0092, 0.5923, 0.0909, 0.0489, 0.0406, 0.0713, 0.0051, 0.141, 0.0007, 0.0]",4.234716208,0.44239999999999996,0.92296060831916,artifacts/tta_bn/artifacts/client_0_brightness_tta_bn/adapted_client_model.pt
tta_bn,client_0,glass_blur,"[0.0685, 0.1619, 0.1574, 0.0792, 0.1479, 0.0757, 0.0658, 0.1321, 0.0938, 0.0177]",4.170729832999999,0.7722,0.9421401876787628,artifacts/tta_bn/artifacts/client_0_glass_blur_tta_bn/adapted_client_model.pt
tta_bn,client_0,impulse_noise,"[0.0, 0.9988, 0.0, 0.0, 0.0004, 0.0, 0.0, 0.0008, 0.0, 0.0]",4.408680416999999,0.11469999999999998,0.9616404861711702,artifacts/tta_bn/artifacts/client_0_impulse_noise_tta_bn/adapted_client_model.pt
tta_bn,client_0,stripe,"[0.0, 0.737, 0.0468, 0.0532, 0.0, 0.052, 0.0, 0.111, 0.0, 0.0]",4.051511291000001,0.3402,0.9371642669292692,artifacts/tta_bn/artifacts/client_0_stripe_tta_bn/adapted_client_model.pt
tta_bn,client_0,zigzag,"[0.0765, 0.2567, 0.1261, 0.0548, 0.1252, 0.0758, 0.069, 0.1512, 0.0432, 0.0215]",4.101687041999998,0.7053,0.9341118955458926,artifacts/tta_bn/artifacts/client_0_zigzag_tta_bn/adapted_client_model.pt
tta_bn,client_1,brightness,"[0.0001, 0.2715, 0.2586, 0.0872, 0.0608, 0.1125, 0.0302, 0.1691, 0.0, 0.01]",4.0120996659999975,0.5801999999999999,0.9457586623786688,artifacts/tta_bn/artifacts/client_1_brightness_tta_bn/adapted_client_model.pt
tta_bn,client_1,glass_blur,"[0.0475, 0.0981, 0.2592, 0.0979, 0.1412, 0.0937, 0.0591, 0.1239, 0.0698, 0.0096]",4.143090500000003,0.7147000000000001,0.953899234025132,artifacts/tta_bn/artifacts/client_1_glass_blur_tta_bn/adapted_client_model.pt
tta_bn,client_1,impulse_noise,"[0.0042, 0.6181, 0.0163, 0.0, 0.1982, 0.0005, 0.0065, 0.1562, 0.0, 0.0]",4.410747917000002,0.3186,0.9518679956271241,artifacts/tta_bn/artifacts/client_1_impulse_noise_tta_bn/adapted_client_model.pt
tta_bn,client_1,stripe,"[0.0, 0.3529, 0.1786, 0.2243, 0.0001, 0.1367, 0.0, 0.1074, 0.0, 0.0]",4.225279042000004,0.476,0.9479748396498557,artifacts/tta_bn/artifacts/client_1_stripe_tta_bn/adapted_client_model.pt
tta_bn,client_1,zigzag,"[0.0754, 0.1192, 0.1806, 0.0735, 0.1357, 0.0957, 0.0844, 0.1383, 0.0512, 0.046]",4.090837749999999,0.7896,0.9689672774548654,artifacts/tta_bn/artifacts/client_1_zigzag_tta_bn/adapted_client_model.pt
tta_bn,client_2,brightness,"[0.0395, 0.1426, 0.1826, 0.1431, 0.0997, 0.157, 0.1081, 0.0966, 0.0004, 0.0304]",3.9841191249999994,0.7421000000000001,0.943022749206781,artifacts/tta_bn/artifacts/client_2_brightness_tta_bn/adapted_client_model.pt
tta_bn,client_2,glass_blur,"[0.0524, 0.0209, 0.1599, 0.2603, 0.1053, 0.0873, 0.0961, 0.0624, 0.1292, 0.0262]",4.164953750000002,0.6827000000000001,0.9384824795988601,artifacts/tta_bn/artifacts/client_2_glass_blur_tta_bn/adapted_client_model.pt
tta_bn,client_2,impulse_noise,"[0.0251, 0.5496, 0.0261, 0.0003, 0.249, 0.0131, 0.1003, 0.0364, 0.0, 0.0001]",4.393846208999996,0.3749,0.9234199108269884,artifacts/tta_bn/artifacts/client_2_impulse_noise_tta_bn/adapted_client_model.pt
tta_bn,client_2,stripe,"[0.0, 0.223, 0.0868, 0.3218, 0.0329, 0.2346, 0.0514, 0.0495, 0.0, 0.0]",4.070899582999999,0.5059,0.9306127600163862,artifacts/tta_bn/artifacts/client_2_stripe_tta_bn/adapted_client_model.pt
tta_bn,client_2,zigzag,"[0.0819, 0.0802, 0.1401, 0.0988, 0.1592, 0.0892, 0.1124, 0.0989, 0.0753, 0.064]",4.080169124999998,0.8414999999999999,0.9509225073325239,artifacts/tta_bn/artifacts/client_2_zigzag_tta_bn/adapted_client_model.pt
tta_bn,client_3,brightness,"[0.0236, 0.2316, 0.1001, 0.212, 0.0801, 0.1636, 0.0668, 0.1076, 0.0, 0.0146]",3.999177166999999,0.6665000000000001,0.9253020416573525,artifacts/tta_bn/artifacts/client_3_brightness_tta_bn/adapted_client_model.pt
tta_bn,client_3,glass_blur,"[0.0834, 0.0272, 0.1008, 0.3275, 0.1, 0.0983, 0.0742, 0.0531, 0.0903, 0.0452]",4.136823375000006,0.6881,0.9071786041672812,artifacts/tta_bn/artifacts/client_3_glass_blur_tta_bn/adapted_client_model.pt
tta_bn,client_3,impulse_noise,"[0.0621, 0.5561, 0.0067, 0.0017, 0.1611, 0.039, 0.035, 0.1383, 0.0, 0.0]",4.3680619169999915,0.43509999999999993,0.9256388611621353,artifacts/tta_bn/artifacts/client_3_impulse_noise_tta_bn/adapted_client_model.pt
tta_bn,client_3,stripe,"[0.0, 0.2255, 0.0524, 0.3686, 0.002, 0.3132, 0.0006, 0.0377, 0.0, 0.0]",4.066761041000007,0.39099999999999996,0.9416477934749389,artifacts/tta_bn/artifacts/client_3_stripe_tta_bn/adapted_client_model.pt
tta_bn,client_3,zigzag,"[0.0997, 0.1045, 0.1182, 0.1102, 0.1384, 0.1024, 0.0925, 0.105, 0.0636, 0.0655]",4.117541667000012,0.8701000000000001,0.952578860917893,artifacts/tta_bn/artifacts/client_3_zigzag_tta_bn/adapted_client_model.pt
tta_bn,client_4,brightness,"[0.0152, 0.1715, 0.2462, 0.1016, 0.0756, 0.0948, 0.0974, 0.1962, 0.0, 0.0015]",3.9769506250000006,0.6782,0.93520301351677,artifacts/tta_bn/artifacts/client_4_brightness_tta_bn/adapted_client_model.pt
tta_bn,client_4,glass_blur,"[0.0459, 0.081, 0.1985, 0.1391, 0.1053, 0.0894, 0.0859, 0.1473, 0.0801, 0.0275]",4.139119374999993,0.7601000000000001,0.955826515094375,artifacts/tta_bn/artifacts/client_4_glass_blur_tta_bn/adapted_client_model.pt
tta_bn,client_4,impulse_noise,"[0.0005, 0.7897, 0.0282, 0.0, 0.0375, 0.0004, 0.0029, 0.1408, 0.0, 0.0]",4.465332167,0.2599,0.9436994607603962,artifacts/tta_bn/artifacts/client_4_impulse_noise_tta_bn/adapted_client_model.pt
tta_bn,client_4,stripe,"[0.0, 0.308, 0.1567, 0.1859, 0.0081, 0.1542, 0.0174, 0.1697, 0.0, 0.0]",4.050354875000011,0.5213,0.9367839595285753,artifacts/tta_bn/artifacts/client_4_stripe_tta_bn/adapted_client_model.pt
tta_bn,client_4,zigzag,"[0.0753, 0.1084, 0.183, 0.0796, 0.1184, 0.089, 0.1039, 0.1582, 0.0451, 0.0391]",4.134641415999994,0.7865,0.9525313972930163,artifacts/tta_bn/artifacts/client_4_zigzag_tta_bn/adapted_client_model.pt
tta_memo,client_0,brightness,"[0.0993, 0.1235, 0.1067, 0.0948, 0.0974, 0.0904, 0.0947, 0.0991, 0.0993, 0.0948]",4.387246666999999,0.9722,0.9798415232130181,artifacts/tta_memo/artifacts/client_0_brightness_tta_memo/adapted_client_model.pt
tta_memo,client_0,glass_blur,"[0.0907, 0.1299, 0.1128, 0.0746, 0.1726, 0.0793, 0.0892, 0.1118, 0.1255, 0.0136]",4.346444459000001,0.8281000000000001,0.9645539407927699,artifacts/tta_memo/artifacts/client_0_glass_blur_tta_memo/adapted_client_model.pt
tta_memo,client_0,impulse_noise,"[0.0014, 0.9929, 0.0047, 0.0001, 0.0002, 0.0006, 0.0, 0.0001, 0.0, 0.0]",4.690508542,0.12050000000000001,0.9623398723629074,artifacts/tta_memo/artifacts/client_0_impulse_noise_tta_memo/adapted_client_model.pt
tta_memo,client_0,stripe,"[0.0254, 0.3252, 0.0915, 0.0765, 0.0988, 0.0889, 0.0529, 0.1582, 0.06, 0.0226]",5.178114459,0.6969,0.9306637112385511,artifacts/tta_memo/artifacts/client_0_stripe_tta_memo/adapted_client_model.pt
tta_memo,client_0,zigzag,"[0.0943, 0.1319, 0.1254, 0.0781, 0.1304, 0.0867, 0.0874, 0.1147, 0.0965, 0.0546]",4.895233874999999,0.8664,0.9610193514255914,artifacts/tta_memo/artifacts/client_0_zigzag_tta_memo/adapted_client_model.pt
tta_memo,client_1,brightness,"[0.0987, 0.1149, 0.1077, 0.0937, 0.0993, 0.0925, 0.0957, 0.1015, 0.0975, 0.0985]",4.258565042000001,0.9798,0.9744795461601274,artifacts/tta_memo/artifacts/client_1_brightness_tta_memo/adapted_client_model.pt
tta_memo,client_1,glass_blur,"[0.0935, 0.1176, 0.1216, 0.0768, 0.1832, 0.0851, 0.0926, 0.1074, 0.114, 0.0082]",5.011649874999996,0.8281000000000001,0.96121549103921,artifacts/tta_memo/artifacts/client_1_glass_blur_tta_memo/adapted_client_model.pt
tta_memo,client_1,impulse_noise,"[0.0468, 0.1632, 0.2704, 0.0111, 0.2168, 0.0851, 0.0741, 0.113, 0.0181, 0.0014]",5.924171625,0.6153000000000001,0.9556103154581713,artifacts/tta_memo/artifacts/client_1_impulse_noise_tta_memo/adapted_client_model.pt
tta_memo,client_1,stripe,"[0.0438, 0.1197, 0.1522, 0.0937, 0.0989, 0.1444, 0.0938, 0.1099, 0.0512, 0.0924]",4.211035332999998,0.8620000000000001,0.9574826312420535,artifacts/tta_memo/artifacts/client_1_stripe_tta_memo/adapted_client_model.pt
tta_memo,client_1,zigzag,"[0.092, 0.0887, 0.1348, 0.0794, 0.1548, 0.0934, 0.0893, 0.1153, 0.0909, 0.0614]",4.538810415999997,0.8538,0.9644720098790132,artifacts/tta_memo/artifacts/client_1_zigzag_tta_memo/adapted_client_model.pt
