composition_id,client_names,composition_size,prediction_distribution,latency,quality_factor,reliability_score,weights_file
C1,"[""client_0""]",1,"[0.0969, 0.1149, 0.1057, 0.1002, 0.0988, 0.0902, 0.0942, 0.1015, 0.1006, 0.097]",4.633678125,67.72641538,60.1563422,artifacts/performing_compositions/artifacts_expanded/C1/composition_model.pt
C1_C2,"[""client_0"", ""client_1""]",2,"[0.0977, 0.1145, 0.1059, 0.1, 0.0995, 0.0901, 0.0941, 0.103, 0.0977, 0.0975]",8.956117,68.80580207,65.42315385,artifacts/performing_compositions/artifacts_expanded/C1_C2/composition_model.pt
C1_C2_C3,"[""client_0"", ""client_1"", ""client_2""]",3,"[0.0979, 0.1137, 0.1055, 0.1011, 0.0991, 0.0892, 0.0954, 0.1019, 0.098, 0.0982]",12.95219437,71.83461313,75.3763646,artifacts/performing_compositions/artifacts_expanded/C1_C2_C3/composition_model.pt
C1_C2_C3_C4,"[""client_0"", ""client_1"", ""client_2"", ""client_3""]",4,"[0.0981, 0.1134, 0.1051, 0.1015, 0.0982, 0.0893, 0.0952, 0.1018, 0.0983, 0.0991]",16.98499716,74.41984345,71.30510463,artifacts/performing_compositions/artifacts_expanded/C1_C2_C3_C4/composition_model.pt
C1_C2_C3_C4_C5,"[""client_0"", ""client_1"", ""client_2"", ""client_3"", ""client_4""]",5,"[0.0981, 0.1134, 0.1047, 0.1014, 0.0984, 0.0897, 0.0955, 0.102, 0.0978, 0.099]",21.87595021,73.80552404,68.5352149,artifacts/performing_compositions/artifacts_expanded/C1_C2_C3_C4_C5/composition_model.pt
C1_C2_C3_C5,"[""client_0"", ""client_1"", ""client_2"", ""client_4""]",4,"[0.0981, 0.1137, 0.1047, 0.1011, 0.0991, 0.0894, 0.0958, 0.1027, 0.0975, 0.0979]",17.05185467,72.54756093,71.68844195,artifacts/performing_compositions/artifacts_expanded/C1_C2_C3_C5/composition_model.pt
C1_C2_C4,"[""client_0"", ""client_1"", ""client_3""]",3,"[0.0983, 0.114, 0.1047, 0.1014, 0.0983, 0.0898, 0.0945, 0.1021, 0.0977, 0.0992]",13.603128,74.60906969,68.4998267,artifacts/performing_compositions/artifacts_expanded/C1_C2_C4/composition_model.pt
C1_C2_C4_C5,"[""client_0"", ""client_1"", ""client_3"", ""client_4""]",4,"[0.0983, 0.1135, 0.1047, 0.1013, 0.0984, 0.0899, 0.095, 0.1027, 0.0975, 0.0987]",17.904515,73.86789035,69.02352106,artifacts/performing_compositions/artifacts_expanded/C1_C2_C4_C5/composition_model.pt
C1_C2_C5,"[""client_0"", ""client_1"", ""client_4""]",3,"[0.098, 0.1139, 0.1043, 0.1005, 0.0991, 0.0898, 0.0954, 0.1038, 0.0972, 0.098]",15.59398675,74.15012312,74.19833679,artifacts/performing_compositions/artifacts_expanded/C1_C2_C5/composition_model.pt
C1_C3,"[""client_0"", ""client_2""]",2,"[0.0975, 0.1136, 0.1054, 0.1015, 0.0987, 0.089, 0.0956, 0.1016, 0.0986, 0.0985]",8.930006168,70.88821596,68.28385673,artifacts/performing_compositions/artifacts_expanded/C1_C3/composition_model.pt
C1_C3_C4,"[""client_0"", ""client_2"", ""client_3""]",3,"[0.0982, 0.1133, 0.1044, 0.102, 0.0979, 0.0894, 0.0954, 0.1016, 0.0985, 0.0993]",13.32183125,73.36835763,68.29511068,artifacts/performing_compositions/artifacts_expanded/C1_C3_C4/composition_model.pt
C1_C3_C4_C5,"[""client_0"", ""client_2"", ""client_3"", ""client_4""]",4,"[0.0981, 0.1132, 0.1047, 0.1016, 0.0982, 0.0895, 0.0955, 0.102, 0.0981, 0.0991]",18.30707633,74.64736125,68.58061424,artifacts/performing_compositions/artifacts_expanded/C1_C3_C4_C5/composition_model.pt
C1_C3_C5,"[""client_0"", ""client_2"", ""client_4""]",3,"[0.0979, 0.1138, 0.1044, 0.1015, 0.0987, 0.089, 0.0959, 0.1026, 0.0979, 0.0983]",12.74120913,73.18642077,71.94178829,artifacts/performing_compositions/artifacts_expanded/C1_C3_C5/composition_model.pt
C1_C4,"[""client_0"", ""client_3""]",2,"[0.0983, 0.114, 0.1046, 0.1018, 0.0978, 0.09, 0.0942, 0.1016, 0.0986, 0.0991]",8.32595,73.9320333,64.44301993,artifacts/performing_compositions/artifacts_expanded/C1_C4/composition_model.pt
C1_C4_C5,"[""client_0"", ""client_3"", ""client_4""]",3,"[0.0983, 0.1137, 0.1042, 0.1016, 0.0981, 0.0899, 0.0948, 0.1027, 0.098, 0.0987]",12.57810063,73.74479014,66.76979635,artifacts/performing_compositions/artifacts_expanded/C1_C4_C5/composition_model.pt
C1_C5,"[""client_0"", ""client_4""]",2,"[0.0977, 0.1143, 0.1042, 0.1008, 0.0988, 0.0895, 0.0953, 0.1039, 0.0975, 0.098]",8.33967625,73.22070415,71.82792226,artifacts/performing_compositions/artifacts_expanded/C1_C5/composition_model.pt
C2,"[""client_1""]",1,"[0.0982, 0.1142, 0.107, 0.0992, 0.1007, 0.0907, 0.0943, 0.1034, 0.0955, 0.0968]",4.166995375,63.91566231,69.93542558,artifacts/performing_compositions/artifacts_expanded/C2/composition_model.pt
C2_C3,"[""client_1"", ""client_2""]",2,"[0.0975, 0.1131, 0.1055, 0.1011, 0.0995, 0.0893, 0.0968, 0.1015, 0.0977, 0.098]",8.35060925,70.05608264,71.51954113,artifacts/performing_compositions/artifacts_expanded/C2_C3/composition_model.pt
C2_C3_C4,"[""client_1"", ""client_2"", ""client_3""]",3,"[0.0983, 0.1127, 0.1048, 0.1021, 0.0981, 0.0894, 0.0959, 0.1012, 0.0982, 0.0993]",12.50894562,71.26126424,68.01260556,artifacts/performing_compositions/artifacts_expanded/C2_C3_C4/composition_model.pt
C2_C3_C4_C5,"[""client_1"", ""client_2"", ""client_3"", ""client_4""]",4,"[0.0983, 0.113, 0.1046, 0.1014, 0.0985, 0.0898, 0.0959, 0.102, 0.0977, 0.0988]",16.6259975,72.81061952,76.42443921,artifacts/performing_compositions/artifacts_expanded/C2_C3_C4_C5/composition_model.pt
C2_C3_C5,"[""client_1"", ""client_2"", ""client_4""]",3,"[0.0977, 0.1136, 0.105, 0.101, 0.0993, 0.0894, 0.0965, 0.1024, 0.0972, 0.0979]",13.17798725,72.13960926,70.37323945,artifacts/performing_compositions/artifacts_expanded/C2_C3_C5/composition_model.pt
