composition_id,composition_clients,composition_length,corruption,clean_samples,corruption_samples,before_clean_accuracy,before_corruption_accuracy,before_mixed_accuracy,composition_tent_clean_accuracy,composition_tent_corruption_accuracy,composition_tent_mixed_accuracy,composition_tent_gain_mixed,composition_tent_gain_corruption,composition_tta_bn_clean_accuracy,composition_tta_bn_corruption_accuracy,composition_tta_bn_mixed_accuracy,composition_tta_bn_gain_mixed,composition_tta_bn_gain_corruption,composition_tta_memo_clean_accuracy,composition_tta_memo_corruption_accuracy,composition_tta_memo_mixed_accuracy,composition_tta_memo_gain_mixed,composition_tta_memo_gain_corruption,composition_full_adapt_clean_accuracy,composition_full_adapt_corruption_accuracy,composition_full_adapt_mixed_accuracy,composition_full_adapt_gain_mixed,composition_full_adapt_gain_corruption,composition_gala_clean_accuracy,composition_gala_corruption_accuracy,composition_gala_mixed_accuracy,composition_gala_gain_mixed,composition_gala_gain_corruption,gala_num_groups,gala_selected_group_0,gala_selected_group_1,gala_selected_group_2,gala_selected_group_3,gala_selected_group_4,gala_selected_group_5,gala_skipped_steps
composition_0,client_0,1,brightness,50,50,1.0,0.24,0.62,1.0,0.98,0.68,0.06000000000000005,0.74,0.5,0.98,0.74,0.12,0.74,1.0,0.44,0.72,0.09999999999999998,0.2,0.98,0.0,0.49,-0.13,-0.24,1.0,0.0,0.5,-0.12,-0.24,6,22,18,5,7,5,6,2
composition_0,client_0,1,glass_blur,50,50,1.0,0.84,0.92,1.0,0.84,0.92,0.0,0.0,1.0,0.88,0.94,0.019999999999999907,0.040000000000000036,1.0,0.84,0.92,0.0,0.0,1.0,0.86,0.93,0.010000000000000009,0.020000000000000018,1.0,0.8,0.9,-0.020000000000000018,-0.039999999999999925,6,5,18,6,10,5,7,14
composition_0_1,"client_0,client_1",2,brightness,50,50,0.98,0.34,0.66,1.0,0.98,0.71,0.04999999999999993,0.6399999999999999,0.52,0.98,0.75,0.08999999999999997,0.6399999999999999,0.98,0.42,0.7,0.039999999999999925,0.07999999999999996,0.98,0.0,0.49,-0.17000000000000004,-0.34,0.98,0.0,0.49,-0.17000000000000004,-0.34,6,24,17,6,6,4,8,0
composition_0_1_2,"client_0,client_1,client_2",3,brightness,50,50,1.0,0.28,0.64,1.0,0.98,0.7,0.05999999999999994,0.7,0.58,0.98,0.78,0.14,0.7,1.0,0.36,0.68,0.040000000000000036,0.07999999999999996,0.98,0.0,0.49,-0.15000000000000002,-0.28,1.0,0.0,0.5,-0.14,-0.28,6,17,25,4,7,4,8,0
composition_0_1_2,"client_0,client_1,client_2",3,stripe,50,50,1.0,0.9,0.95,1.0,0.92,0.97,0.020000000000000018,0.020000000000000018,0.62,0.84,0.73,-0.21999999999999997,-0.06000000000000005,1.0,0.9,0.95,0.0,0.0,1.0,0.9,0.95,0.0,0.0,1.0,0.9,0.95,0.0,0.0,6,7,14,7,5,5,7,20
composition_0_1_2,"client_0,client_1,client_2",3,zigzag,50,50,1.0,0.82,0.91,1.0,0.8,0.91,0.0,-0.019999999999999907,1.0,0.82,0.91,0.0,0.0,1.0,0.82,0.91,0.0,0.0,0.98,0.8,0.89,-0.020000000000000018,-0.019999999999999907,1.0,0.8,0.9,-0.010000000000000009,-0.019999999999999907,6,4,13,4,6,4,5,29
composition_0_1_2_3,"client_0,client_1,client_2,client_3",4,glass_blur,50,50,1.0,0.88,0.94,1.0,0.9,0.94,0.0,0.020000000000000018,1.0,0.88,0.94,0.0,0.0,1.0,0.88,0.94,0.0,0.0,1.0,0.88,0.94,0.0,0.0,1.0,0.84,0.92,-0.019999999999999907,-0.040000000000000036,6,4,19,6,4,6,7,19
composition_0_1_2_3,"client_0,client_1,client_2,client_3",4,zigzag,50,50,1.0,0.8,0.9,1.0,0.82,0.91,0.010000000000000009,0.019999999999999907,1.0,0.82,0.91,0.010000000000000009,0.019999999999999907,1.0,0.82,0.91,0.010000000000000009,0.019999999999999907,1.0,0.82,0.91,0.010000000000000009,0.019999999999999907,1.0,0.82,0.91,0.010000000000000009,0.019999999999999907,6,5,14,4,7,4,6,25
composition_0_1_2_4,"client_0,client_1,client_2,client_4",4,brightness,50,50,1.0,0.32,0.66,1.0,0.98,0.76,0.09999999999999998,0.6599999999999999,0.6,0.98,0.79,0.13,0.6599999999999999,1.0,0.38,0.69,0.029999999999999916,0.06,0.98,0.0,0.49,-0.17000000000000004,-0.32,1.0,0.0,0.5,-0.16000000000000003,-0.32,6,24,12,11,5,4,9,0
composition_0_1_2_4,"client_0,client_1,client_2,client_4",4,stripe,50,50,1.0,0.9,0.95,1.0,0.92,0.97,0.020000000000000018,0.020000000000000018,0.64,0.84,0.74,-0.20999999999999996,-0.06000000000000005,1.0,0.9,0.95,0.0,0.0,1.0,0.9,0.95,0.0,0.0,1.0,0.9,0.95,0.0,0.0,6,10,16,7,5,5,6,16
composition_0_1_2_4,"client_0,client_1,client_2,client_4",4,zigzag,50,50,1.0,0.82,0.91,1.0,0.84,0.91,0.0,0.020000000000000018,1.0,0.84,0.92,0.010000000000000009,0.020000000000000018,1.0,0.82,0.91,0.0,0.0,0.98,0.82,0.9,-0.010000000000000009,0.0,1.0,0.84,0.92,0.010000000000000009,0.020000000000000018,6,5,15,5,5,4,5,26
