composition_id,composition_clients,composition_length,corruption,clean_samples,corruption_samples,before_clean_accuracy,before_corruption_accuracy,before_mixed_accuracy,full_adapt_clean_accuracy,full_adapt_corruption_accuracy,full_adapt_mixed_accuracy,gala_clean_accuracy,gala_corruption_accuracy,gala_mixed_accuracy,gala_gain_vs_before_mixed,gala_gain_vs_full_adapt_mixed,gala_gain_vs_before_corruption,gala_gain_vs_full_adapt_corruption,num_groups,selected_group_0,selected_group_1,selected_group_2,selected_group_3,selected_group_4,selected_group_5,skipped_steps
composition_0,client_0,1,brightness,100,100,0.98,0.2,0.59,0.94,0.02,0.48,0.97,0.02,0.495,-0.09499999999999997,0.015000000000000013,-0.18000000000000002,0.0,6,58,23,8,15,8,11,2
composition_0,client_0,1,zigzag,100,100,0.98,0.77,0.875,0.97,0.8,0.885,0.97,0.64,0.805,-0.06999999999999995,-0.07999999999999996,-0.13,-0.16000000000000003,6,13,31,10,8,8,9,46
composition_0_1,"client_0,client_1",2,brightness,100,100,0.99,0.31,0.65,0.96,0.02,0.49,0.96,0.02,0.49,-0.16000000000000003,0.0,-0.29,0.0,6,50,32,9,14,7,13,0
composition_0_1,"client_0,client_1",2,zigzag,100,100,0.99,0.79,0.89,0.97,0.8,0.885,0.99,0.8,0.895,0.0050000000000000044,0.010000000000000009,0.010000000000000009,0.0,6,9,28,8,12,11,11,46
composition_0_1_2,"client_0,client_1,client_2",3,brightness,100,100,1.0,0.26,0.63,0.97,0.02,0.495,0.98,0.02,0.5,-0.13,0.0050000000000000044,-0.24000000000000002,0.0,6,48,36,7,12,7,15,0
composition_0_1_2,"client_0,client_1,client_2",3,zigzag,100,100,1.0,0.79,0.895,0.98,0.81,0.895,0.99,0.8,0.895,0.0,0.0,0.010000000000000009,-0.010000000000000009,6,9,27,8,14,9,10,48
composition_0_1_2_3,"client_0,client_1,client_2,client_3",4,brightness,100,100,1.0,0.2,0.6,0.96,0.02,0.49,0.98,0.02,0.5,-0.09999999999999998,0.010000000000000009,-0.18000000000000002,0.0,6,61,24,9,12,7,12,0
composition_0_1_2_3,"client_0,client_1,client_2,client_3",4,zigzag,100,100,1.0,0.8,0.9,0.97,0.81,0.89,0.99,0.8,0.895,-0.0050000000000000044,0.0050000000000000044,0.0,-0.010000000000000009,6,11,29,8,12,9,11,45
composition_0_1_2_3_4,"client_0,client_1,client_2,client_3,client_4",5,brightness,100,100,1.0,0.23,0.615,0.95,0.02,0.485,0.98,0.02,0.5,-0.11499999999999999,0.015000000000000013,-0.21000000000000002,0.0,6,52,24,13,16,6,14,0
composition_0_1_2_3_4,"client_0,client_1,client_2,client_3,client_4",5,zigzag,100,100,1.0,0.79,0.895,0.99,0.85,0.92,0.99,0.81,0.9,0.0050000000000000044,-0.020000000000000018,0.020000000000000018,-0.039999999999999925,6,12,30,9,11,9,10,44
