tta_method,composition_id,composition_clients,composition_length,corruption,clean_samples,corruption_samples,before_clean_accuracy,before_corruption_accuracy,before_mixed_accuracy,adapted_clean_accuracy,adapted_corruption_accuracy,adapted_mixed_accuracy,gain_clean,gain_corruption,gain_mixed
tent,composition_0,client_0,1,brightness,100,100,0.98,0.2,0.59,0.99,0.93,0.855,0.010000000000000009,0.73,0.265
tta_bn,composition_0,client_0,1,brightness,100,100,0.98,0.2,0.59,0.34,0.9,0.62,-0.6399999999999999,0.7,0.030000000000000027
tta_memo,composition_0,client_0,1,brightness,100,100,0.98,0.2,0.59,0.95,0.51,0.73,-0.030000000000000027,0.31,0.14
tent,composition_0,client_0,1,zigzag,100,100,0.98,0.77,0.875,0.99,0.82,0.895,0.010000000000000009,0.04999999999999993,0.020000000000000018
tta_bn,composition_0,client_0,1,zigzag,100,100,0.98,0.77,0.875,0.95,0.83,0.89,-0.030000000000000027,0.05999999999999994,0.015000000000000013
tta_memo,composition_0,client_0,1,zigzag,100,100,0.98,0.77,0.875,0.99,0.79,0.89,0.010000000000000009,0.020000000000000018,0.015000000000000013
tent,composition_0_1,"client_0,client_1",2,brightness,100,100,0.99,0.31,0.65,0.99,0.94,0.855,0.0,0.6299999999999999,0.20499999999999996
tta_bn,composition_0_1,"client_0,client_1",2,brightness,100,100,0.99,0.31,0.65,0.39,0.91,0.65,-0.6,0.6000000000000001,0.0
tta_memo,composition_0_1,"client_0,client_1",2,brightness,100,100,0.99,0.31,0.65,0.94,0.55,0.745,-0.050000000000000044,0.24000000000000005,0.09499999999999997
tent,composition_0_1,"client_0,client_1",2,zigzag,100,100,0.99,0.79,0.89,0.99,0.83,0.91,0.0,0.039999999999999925,0.020000000000000018
tta_bn,composition_0_1,"client_0,client_1",2,zigzag,100,100,0.99,0.79,0.89,0.97,0.85,0.91,-0.020000000000000018,0.05999999999999994,0.020000000000000018
tta_memo,composition_0_1,"client_0,client_1",2,zigzag,100,100,0.99,0.79,0.89,0.98,0.79,0.885,-0.010000000000000009,0.0,-0.0050000000000000044
tent,composition_0_1_2,"client_0,client_1,client_2",3,brightness,100,100,1.0,0.26,0.63,1.0,0.97,0.88,0.0,0.71,0.25
tta_bn,composition_0_1_2,"client_0,client_1,client_2",3,brightness,100,100,1.0,0.26,0.63,0.46,0.95,0.705,-0.54,0.69,0.07499999999999996
tta_memo,composition_0_1_2,"client_0,client_1,client_2",3,brightness,100,100,1.0,0.26,0.63,0.95,0.44,0.695,-0.050000000000000044,0.18,0.06499999999999995
tent,composition_0_1_2,"client_0,client_1,client_2",3,zigzag,100,100,1.0,0.79,0.895,1.0,0.81,0.91,0.0,0.020000000000000018,0.015000000000000013
tta_bn,composition_0_1_2,"client_0,client_1,client_2",3,zigzag,100,100,1.0,0.79,0.895,0.99,0.82,0.905,-0.010000000000000009,0.029999999999999916,0.010000000000000009
tta_memo,composition_0_1_2,"client_0,client_1,client_2",3,zigzag,100,100,1.0,0.79,0.895,1.0,0.79,0.895,0.0,0.0,0.0
tent,composition_0_1_2_3,"client_0,client_1,client_2,client_3",4,brightness,100,100,1.0,0.2,0.6,1.0,0.97,0.88,0.0,0.77,0.28
tta_bn,composition_0_1_2_3,"client_0,client_1,client_2,client_3",4,brightness,100,100,1.0,0.2,0.6,0.49,0.97,0.73,-0.51,0.77,0.13
tta_memo,composition_0_1_2_3,"client_0,client_1,client_2,client_3",4,brightness,100,100,1.0,0.2,0.6,0.97,0.43,0.7,-0.030000000000000027,0.22999999999999998,0.09999999999999998
tent,composition_0_1_2_3,"client_0,client_1,client_2,client_3",4,zigzag,100,100,1.0,0.8,0.9,1.0,0.83,0.905,0.0,0.029999999999999916,0.0050000000000000044
tta_bn,composition_0_1_2_3,"client_0,client_1,client_2,client_3",4,zigzag,100,100,1.0,0.8,0.9,0.99,0.84,0.915,-0.010000000000000009,0.039999999999999925,0.015000000000000013
tta_memo,composition_0_1_2_3,"client_0,client_1,client_2,client_3",4,zigzag,100,100,1.0,0.8,0.9,1.0,0.8,0.9,0.0,0.0,0.0
tent,composition_0_1_2_3_4,"client_0,client_1,client_2,client_3,client_4",5,brightness,100,100,1.0,0.23,0.615,1.0,0.97,0.885,0.0,0.74,0.27
tta_bn,composition_0_1_2_3_4,"client_0,client_1,client_2,client_3,client_4",5,brightness,100,100,1.0,0.23,0.615,0.51,0.96,0.735,-0.49,0.73,0.12
tta_memo,composition_0_1_2_3_4,"client_0,client_1,client_2,client_3,client_4",5,brightness,100,100,1.0,0.23,0.615,0.97,0.45,0.71,-0.030000000000000027,0.22,0.09499999999999997
tent,composition_0_1_2_3_4,"client_0,client_1,client_2,client_3,client_4",5,zigzag,100,100,1.0,0.79,0.895,1.0,0.81,0.9,0.0,0.020000000000000018,0.0050000000000000044
tta_bn,composition_0_1_2_3_4,"client_0,client_1,client_2,client_3,client_4",5,zigzag,100,100,1.0,0.79,0.895,0.99,0.82,0.905,-0.010000000000000009,0.029999999999999916,0.010000000000000009
tta_memo,composition_0_1_2_3_4,"client_0,client_1,client_2,client_3,client_4",5,zigzag,100,100,1.0,0.79,0.895,1.0,0.79,0.895,0.0,0.0,0.0
tent,composition_0_1_2_4,"client_0,client_1,client_2,client_4",4,brightness,100,100,1.0,0.3,0.65,1.0,0.97,0.88,0.0,0.6699999999999999,0.22999999999999998
tta_bn,composition_0_1_2_4,"client_0,client_1,client_2,client_4",4,brightness,100,100,1.0,0.3,0.65,0.5,0.94,0.72,-0.5,0.6399999999999999,0.06999999999999995
tta_memo,composition_0_1_2_4,"client_0,client_1,client_2,client_4",4,brightness,100,100,1.0,0.3,0.65,0.94,0.49,0.715,-0.06000000000000005,0.19,0.06499999999999995
tent,composition_0_1_2_4,"client_0,client_1,client_2,client_4",4,zigzag,100,100,1.0,0.79,0.895,1.0,0.81,0.905,0.0,0.020000000000000018,0.010000000000000009
tta_bn,composition_0_1_2_4,"client_0,client_1,client_2,client_4",4,zigzag,100,100,1.0,0.79,0.895,0.99,0.81,0.9,-0.010000000000000009,0.020000000000000018,0.0050000000000000044
tta_memo,composition_0_1_2_4,"client_0,client_1,client_2,client_4",4,zigzag,100,100,1.0,0.79,0.895,0.99,0.79,0.89,-0.010000000000000009,0.0,-0.0050000000000000044
tent,composition_0_1_3,"client_0,client_1,client_3",3,brightness,100,100,1.0,0.22,0.61,1.0,0.97,0.875,0.0,0.75,0.265
tta_bn,composition_0_1_3,"client_0,client_1,client_3",3,brightness,100,100,1.0,0.22,0.61,0.47,0.96,0.715,-0.53,0.74,0.10499999999999998
tta_memo,composition_0_1_3,"client_0,client_1,client_3",3,brightness,100,100,1.0,0.22,0.61,0.97,0.44,0.705,-0.030000000000000027,0.22,0.09499999999999997
tent,composition_0_1_3,"client_0,client_1,client_3",3,zigzag,100,100,1.0,0.8,0.9,1.0,0.83,0.915,0.0,0.029999999999999916,0.015000000000000013
tta_bn,composition_0_1_3,"client_0,client_1,client_3",3,zigzag,100,100,1.0,0.8,0.9,0.98,0.85,0.915,-0.020000000000000018,0.04999999999999993,0.015000000000000013
tta_memo,composition_0_1_3,"client_0,client_1,client_3",3,zigzag,100,100,1.0,0.8,0.9,1.0,0.8,0.9,0.0,0.0,0.0
tent,composition_0_1_3_4,"client_0,client_1,client_3,client_4",4,brightness,100,100,1.0,0.29,0.645,1.0,0.97,0.88,0.0,0.6799999999999999,0.235
tta_bn,composition_0_1_3_4,"client_0,client_1,client_3,client_4",4,brightness,100,100,1.0,0.29,0.645,0.49,0.95,0.72,-0.51,0.6599999999999999,0.07499999999999996
tta_memo,composition_0_1_3_4,"client_0,client_1,client_3,client_4",4,brightness,100,100,1.0,0.29,0.645,0.96,0.49,0.725,-0.040000000000000036,0.2,0.07999999999999996
tent,composition_0_1_3_4,"client_0,client_1,client_3,client_4",4,zigzag,100,100,1.0,0.8,0.9,1.0,0.81,0.905,0.0,0.010000000000000009,0.0050000000000000044
tta_bn,composition_0_1_3_4,"client_0,client_1,client_3,client_4",4,zigzag,100,100,1.0,0.8,0.9,0.99,0.82,0.905,-0.010000000000000009,0.019999999999999907,0.0050000000000000044
tta_memo,composition_0_1_3_4,"client_0,client_1,client_3,client_4",4,zigzag,100,100,1.0,0.8,0.9,1.0,0.8,0.9,0.0,0.0,0.0
tent,composition_0_1_4,"client_0,client_1,client_4",3,brightness,100,100,0.99,0.35,0.67,1.0,0.96,0.865,0.010000000000000009,0.61,0.19499999999999995
tta_bn,composition_0_1_4,"client_0,client_1,client_4",3,brightness,100,100,0.99,0.35,0.67,0.45,0.93,0.69,-0.54,0.5800000000000001,0.019999999999999907
tta_memo,composition_0_1_4,"client_0,client_1,client_4",3,brightness,100,100,0.99,0.35,0.67,0.94,0.58,0.76,-0.050000000000000044,0.22999999999999998,0.08999999999999997
tent,composition_0_1_4,"client_0,client_1,client_4",3,zigzag,100,100,0.99,0.8,0.895,1.0,0.81,0.9,0.010000000000000009,0.010000000000000009,0.0050000000000000044
tta_bn,composition_0_1_4,"client_0,client_1,client_4",3,zigzag,100,100,0.99,0.8,0.895,0.97,0.82,0.895,-0.020000000000000018,0.019999999999999907,0.0
tta_memo,composition_0_1_4,"client_0,client_1,client_4",3,zigzag,100,100,0.99,0.8,0.895,0.98,0.8,0.89,-0.010000000000000009,0.0,-0.0050000000000000044
tent,composition_0_2,"client_0,client_2",2,brightness,100,100,1.0,0.18,0.59,1.0,0.95,0.865,0.0,0.77,0.275
tta_bn,composition_0_2,"client_0,client_2",2,brightness,100,100,1.0,0.18,0.59,0.46,0.96,0.71,-0.54,0.78,0.12
tta_memo,composition_0_2,"client_0,client_2",2,brightness,100,100,1.0,0.18,0.59,0.96,0.39,0.675,-0.040000000000000036,0.21000000000000002,0.08500000000000008
tent,composition_0_2,"client_0,client_2",2,zigzag,100,100,1.0,0.77,0.885,1.0,0.82,0.905,0.0,0.04999999999999993,0.020000000000000018
tta_bn,composition_0_2,"client_0,client_2",2,zigzag,100,100,1.0,0.77,0.885,0.99,0.82,0.905,-0.010000000000000009,0.04999999999999993,0.020000000000000018
tta_memo,composition_0_2,"client_0,client_2",2,zigzag,100,100,1.0,0.77,0.885,1.0,0.8,0.9,0.0,0.030000000000000027,0.015000000000000013
tent,composition_0_2_3,"client_0,client_2,client_3",3,brightness,100,100,1.0,0.17,0.585,1.0,0.97,0.875,0.0,0.7999999999999999,0.29000000000000004
tta_bn,composition_0_2_3,"client_0,client_2,client_3",3,brightness,100,100,1.0,0.17,0.585,0.48,0.97,0.725,-0.52,0.7999999999999999,0.14
tta_memo,composition_0_2_3,"client_0,client_2,client_3",3,brightness,100,100,1.0,0.17,0.585,0.97,0.35,0.66,-0.030000000000000027,0.17999999999999997,0.07500000000000007
tent,composition_0_2_3,"client_0,client_2,client_3",3,zigzag,100,100,1.0,0.79,0.895,1.0,0.84,0.91,0.0,0.04999999999999993,0.015000000000000013
tta_bn,composition_0_2_3,"client_0,client_2,client_3",3,zigzag,100,100,1.0,0.79,0.895,0.99,0.85,0.92,-0.010000000000000009,0.05999999999999994,0.025000000000000022
tta_memo,composition_0_2_3,"client_0,client_2,client_3",3,zigzag,100,100,1.0,0.79,0.895,1.0,0.81,0.905,0.0,0.020000000000000018,0.010000000000000009
tent,composition_0_2_3_4,"client_0,client_2,client_3,client_4",4,brightness,100,100,1.0,0.2,0.6,1.0,0.98,0.88,0.0,0.78,0.28
tta_bn,composition_0_2_3_4,"client_0,client_2,client_3,client_4",4,brightness,100,100,1.0,0.2,0.6,0.5,0.97,0.735,-0.5,0.77,0.135
tta_memo,composition_0_2_3_4,"client_0,client_2,client_3,client_4",4,brightness,100,100,1.0,0.2,0.6,0.97,0.43,0.7,-0.030000000000000027,0.22999999999999998,0.09999999999999998
tent,composition_0_2_3_4,"client_0,client_2,client_3,client_4",4,zigzag,100,100,1.0,0.79,0.895,1.0,0.83,0.905,0.0,0.039999999999999925,0.010000000000000009
tta_bn,composition_0_2_3_4,"client_0,client_2,client_3,client_4",4,zigzag,100,100,1.0,0.79,0.895,0.99,0.84,0.915,-0.010000000000000009,0.04999999999999993,0.020000000000000018
tta_memo,composition_0_2_3_4,"client_0,client_2,client_3,client_4",4,zigzag,100,100,1.0,0.79,0.895,1.0,0.79,0.895,0.0,0.0,0.0
tent,composition_0_2_4,"client_0,client_2,client_4",3,brightness,100,100,1.0,0.24,0.62,1.0,0.98,0.88,0.0,0.74,0.26
tta_bn,composition_0_2_4,"client_0,client_2,client_4",3,brightness,100,100,1.0,0.24,0.62,0.49,0.96,0.725,-0.51,0.72,0.10499999999999998
tta_memo,composition_0_2_4,"client_0,client_2,client_4",3,brightness,100,100,1.0,0.24,0.62,0.96,0.47,0.715,-0.040000000000000036,0.22999999999999998,0.09499999999999997
tent,composition_0_2_4,"client_0,client_2,client_4",3,zigzag,100,100,1.0,0.78,0.89,1.0,0.83,0.91,0.0,0.04999999999999993,0.020000000000000018
tta_bn,composition_0_2_4,"client_0,client_2,client_4",3,zigzag,100,100,1.0,0.78,0.89,0.99,0.83,0.91,-0.010000000000000009,0.04999999999999993,0.020000000000000018
tta_memo,composition_0_2_4,"client_0,client_2,client_4",3,zigzag,100,100,1.0,0.78,0.89,1.0,0.79,0.895,0.0,0.010000000000000009,0.0050000000000000044
tent,composition_0_3,"client_0,client_3",2,brightness,100,100,1.0,0.16,0.58,1.0,0.98,0.875,0.0,0.82,0.29500000000000004
tta_bn,composition_0_3,"client_0,client_3",2,brightness,100,100,1.0,0.16,0.58,0.46,0.97,0.715,-0.54,0.8099999999999999,0.135
tta_memo,composition_0_3,"client_0,client_3",2,brightness,100,100,1.0,0.16,0.58,0.97,0.36,0.665,-0.030000000000000027,0.19999999999999998,0.08500000000000008
tent,composition_0_3,"client_0,client_3",2,zigzag,100,100,1.0,0.81,0.905,1.0,0.83,0.92,0.0,0.019999999999999907,0.015000000000000013
tta_bn,composition_0_3,"client_0,client_3",2,zigzag,100,100,1.0,0.81,0.905,0.98,0.87,0.925,-0.020000000000000018,0.05999999999999994,0.020000000000000018
tta_memo,composition_0_3,"client_0,client_3",2,zigzag,100,100,1.0,0.81,0.905,1.0,0.82,0.91,0.0,0.009999999999999898,0.0050000000000000044
tent,composition_0_3_4,"client_0,client_3,client_4",3,brightness,100,100,1.0,0.21,0.605,1.0,0.97,0.88,0.0,0.76,0.275
tta_bn,composition_0_3_4,"client_0,client_3,client_4",3,brightness,100,100,1.0,0.21,0.605,0.49,0.96,0.725,-0.51,0.75,0.12
