Corruption,Length,Cases,Deployment,Data Shift,Initial Mixed,Composition-Level TTA Clean,Composition-Level TTA Mixed,SATM,CATM Clean,CATM Mixed,Random Sub 20%,Random Sub 50%
brightness,1,21,0.9971428571428572,0.2628571428571429,0.6300000000000001,0.864761904761905,0.7485714285714284,0.6566666666666665,0.9800000000000002,0.4900000000000001,0.8661904761904763,0.8514285714285718
brightness,2,41,0.9960975609756096,0.275609756097561,0.6358536585365855,0.8590243902439021,0.7463414634146341,0.6565853658536587,0.9912195121951216,0.4956097560975608,0.8426829268292679,0.8395121951219513
brightness,3,17,1.0,0.25411764705882367,0.6270588235294117,0.8623529411764707,0.7358823529411764,0.6458823529411765,0.9929411764705882,0.4964705882352941,0.8558823529411765,0.7411764705882354
brightness,4,6,1.0,0.28,0.64,0.86,0.7383333333333333,0.66,1.0,0.5,0.7983333333333335,0.7866666666666666
glass_blur,1,6,0.9800000000000001,0.8300000000000001,0.9050000000000001,1.0,0.93,0.92,1.0,0.895,0.9050000000000001,0.805
glass_blur,2,21,0.9914285714285714,0.8371428571428572,0.9142857142857144,1.0,0.9333333333333332,0.928095238095238,0.9942857142857144,0.892857142857143,0.9033333333333337,0.7828571428571426
glass_blur,3,7,1.0,0.8600000000000001,0.9299999999999999,1.0,0.9342857142857142,0.9399999999999997,0.9914285714285713,0.9242857142857143,0.902857142857143,0.8414285714285715
glass_blur,4,6,1.0,0.86,0.93,1.0,0.9399999999999998,0.9399999999999998,0.98,0.82,0.9,0.8566666666666668
stripe,1,18,0.99,0.8566666666666666,0.9233333333333333,0.8500000000000001,0.857222222222222,0.9416666666666664,0.9933333333333333,0.9316666666666664,0.9049999999999999,0.9055555555555554
stripe,2,24,0.9925000000000002,0.875,0.93375,0.8783333333333333,0.8858333333333331,0.9466666666666668,0.9975,0.9450000000000002,0.9066666666666668,0.8741666666666665
stripe,3,5,1.0,0.8800000000000001,0.9399999999999998,0.8560000000000001,0.874,0.95,1.0,0.95,0.868,0.9460000000000001
stripe,4,2,1.0,0.88,0.94,0.8200000000000001,0.845,0.95,1.0,0.95,0.98,0.765
zigzag,1,7,0.9914285714285713,0.8028571428571428,0.8971428571428574,0.982857142857143,0.9128571428571429,0.9071428571428573,0.982857142857143,0.892857142857143,0.88,0.7885714285714285
zigzag,2,26,0.9953846153846155,0.8023076923076926,0.8988461538461537,0.9953846153846155,0.9111538461538463,0.9115384615384616,0.9907692307692308,0.8942307692307693,0.8826923076923078,0.8976923076923078
zigzag,3,9,1.0,0.7999999999999999,0.9000000000000001,1.0,0.9122222222222223,0.9099999999999999,0.9955555555555556,0.9077777777777778,0.8788888888888889,0.8277777777777777
zigzag,4,7,1.0,0.7999999999999999,0.9000000000000001,1.0,0.9142857142857144,0.91,1.0,0.9185714285714287,0.8628571428571429,0.8457142857142858
