Corruption,Length,Cases,Deployment,Data Shift,Initial Mixed,Composition-Level TTA Clean,Composition-Level TTA Mixed,STAM,CATM Clean,CATM Mixed,Random Sub 20%,Random Sub 50%
brightness,1,7,0.9971428571428572,0.26285714285714284,0.63,0.6114285714285713,0.7957142857142857,0.6542857142857142,0.9800000000000001,0.49000000000000005,0.79,0.8742857142857143
brightness,2,14,0.9957142857142857,0.2771428571428572,0.6364285714285715,0.6,0.7921428571428571,0.6578571428571429,0.9914285714285714,0.4957142857142857,0.8528571428571429,0.8600000000000001
brightness,3,6,1.0,0.25333333333333335,0.6266666666666667,0.6133333333333334,0.8000000000000002,0.6450000000000001,0.9933333333333335,0.49666666666666676,0.7333333333333334,0.69
brightness,4,2,1.0,0.28,0.64,0.5800000000000001,0.78,0.66,1.0,0.5,0.7250000000000001,0.96
glass_blur,1,2,0.98,0.83,0.905,1.0,0.94,0.92,1.0,0.895,0.895,0.83
glass_blur,2,7,0.9914285714285713,0.8371428571428572,0.9142857142857144,1.0,0.9385714285714286,0.9285714285714286,0.9942857142857144,0.8928571428571429,0.9014285714285715,0.7757142857142857
glass_blur,3,2,1.0,0.86,0.93,1.0,0.925,0.94,0.99,0.925,0.9,0.895
glass_blur,4,2,1.0,0.86,0.93,1.0,0.94,0.94,0.98,0.8200000000000001,0.895,0.88
stripe,1,6,0.9899999999999999,0.8566666666666668,0.9233333333333333,0.5633333333333334,0.6516666666666666,0.9416666666666665,0.9933333333333333,0.9316666666666666,0.9116666666666666,0.9566666666666667
stripe,2,8,0.9924999999999999,0.875,0.9337499999999999,0.635,0.73,0.9474999999999999,0.9975,0.945,0.88125,0.9087500000000001
stripe,3,2,1.0,0.88,0.94,0.64,0.75,0.95,1.0,0.95,0.835,0.94
stripe,4,1,1.0,0.88,0.94,0.64,0.74,0.95,1.0,0.95,0.98,0.54
zigzag,1,2,0.99,0.81,0.9,0.98,0.94,0.91,0.98,0.9,0.9099999999999999,0.835
zigzag,2,8,0.995,0.8025,0.89875,0.9950000000000001,0.91125,0.9112500000000001,0.99,0.89375,0.89625,0.8575
zigzag,3,3,1.0,0.8000000000000002,0.9,1.0,0.9133333333333334,0.91,1.0,0.91,0.8333333333333334,0.8333333333333334
zigzag,4,2,1.0,0.8,0.9,1.0,0.92,0.91,1.0,0.92,0.87,0.935
