tta_method,case,performing_clients,performing_length,tta_client,tta_corruption,clean_samples,corruption_samples,tta_local_before,tta_local_after,initial_mixed_accuracy,initial_shift_accuracy,fedavg_mixed_accuracy,fedavg_shift_accuracy,protected_v2_mixed_accuracy,protected_v2_shift_accuracy,protected_v2_gain_vs_initial_mixed,protected_v2_gain_vs_fedavg_mixed,protected_v2_gain_vs_initial_shift,protected_v2_gain_vs_fedavg_shift,model_pref_tta_weight,bn_pref_tta_weight,sum_pref_tta_weight,artifact_dir
tent,perf_1_plus_0_on_brightness,client_1,1,client_0,brightness,50,50,0.2268,0.9694,0.66,0.34,0.6,0.22,0.67,0.36,0.010000000000000009,0.07000000000000006,0.019999999999999962,0.13999999999999999,4.55042347391282e-05,0.030894658292921432,0.03094016252766056,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_0_brightness
tent,perf_2_plus_0_on_brightness,client_2,1,client_0,brightness,50,50,0.2268,0.9694,0.62,0.24,0.58,0.16,0.6,0.2,-0.020000000000000018,0.020000000000000018,-0.03999999999999998,0.04000000000000001,2.0642804393469558e-05,0.025310681669758063,0.025331324474151533,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_0_brightness
tent,perf_3_plus_0_on_brightness,client_3,1,client_0,brightness,50,50,0.2268,0.9694,0.6,0.2,0.53,0.06,0.56,0.12,-0.039999999999999925,0.030000000000000027,-0.08000000000000002,0.06,2.9095285933283444e-05,0.032390979114311824,0.03242007440024511,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_0_brightness
tent,perf_4_plus_0_on_brightness,client_4,1,client_0,brightness,50,50,0.2268,0.9694,0.67,0.34,0.6,0.2,0.67,0.34,0.0,0.07000000000000006,0.0,0.14,3.517293562926736e-05,0.03535071826261639,0.03538589119824566,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_0_brightness
tent,perf_1_2_plus_0_on_brightness,"client_1,client_2",2,client_0,brightness,50,50,0.2268,0.9694,0.64,0.28,0.59,0.18,0.64,0.28,0.0,0.050000000000000044,0.0,0.10000000000000003,0.00013167685145582228,0.03651010154997941,0.03664177840143523,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_0_brightness
tent,perf_1_3_plus_0_on_brightness,"client_1,client_3",2,client_0,brightness,50,50,0.2268,0.9694,0.64,0.28,0.6,0.2,0.64,0.28,0.0,0.040000000000000036,0.0,0.08000000000000002,0.0001433463583450982,0.04843422401324399,0.048577570371589086,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_0_brightness
tent,perf_1_4_plus_0_on_brightness,"client_1,client_4",2,client_0,brightness,50,50,0.2268,0.9694,0.66,0.34,0.6,0.22,0.67,0.36,0.010000000000000009,0.07000000000000006,0.019999999999999962,0.13999999999999999,0.00014955963193031698,0.05456549085762667,0.054715050489556986,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_0_brightness
tent,perf_2_3_plus_0_on_brightness,"client_2,client_3",2,client_0,brightness,50,50,0.2268,0.9694,0.6,0.2,0.55,0.1,0.59,0.18,-0.010000000000000009,0.039999999999999925,-0.020000000000000018,0.07999999999999999,0.0001126535541699376,0.04118563182560925,0.041298285379779184,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_0_brightness
tent,perf_2_4_plus_0_on_brightness,"client_2,client_4",2,client_0,brightness,50,50,0.2268,0.9694,0.64,0.28,0.6,0.2,0.65,0.3,0.010000000000000009,0.050000000000000044,0.019999999999999962,0.09999999999999998,0.0001247931020937434,0.04941338669721249,0.049538179799306234,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_0_brightness
tent,perf_3_4_plus_0_on_brightness,"client_3,client_4",2,client_0,brightness,50,50,0.2268,0.9694,0.62,0.24,0.57,0.14,0.63,0.26,0.010000000000000009,0.06000000000000005,0.020000000000000018,0.12,0.00013586094995780718,0.049139175487977076,0.049275036437934884,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/TTA techniques/artifacts/client_0_brightness
