tta_method,case,performing_clients,performing_length,tta_client,tta_corruption,clean_samples,corruption_samples,initial_mixed_accuracy,protected_v2_mixed_accuracy,protected_v2_gain_vs_initial_mixed,model_pref_tta_weight,bn_pref_tta_weight,sum_pref_tta_weight
tent,perf_1_plus_0_on_brightness,client_1,1,client_0,brightness,50,50,0.66,0.67,0.010000000000000009,4.55042347391282e-05,0.030894658292921432,0.03094016252766056
tent,perf_1_4_plus_0_on_brightness,"client_1,client_4",2,client_0,brightness,50,50,0.66,0.67,0.010000000000000009,0.00014955963193031698,0.05456549085762667,0.054715050489556986
tent,perf_2_4_plus_0_on_brightness,"client_2,client_4",2,client_0,brightness,50,50,0.64,0.65,0.010000000000000009,0.0001247931020937434,0.04941338669721249,0.049538179799306234
tent,perf_3_4_plus_0_on_brightness,"client_3,client_4",2,client_0,brightness,50,50,0.62,0.63,0.010000000000000009,0.00013586094995780718,0.049139175487977076,0.049275036437934884
tent,perf_1_2_plus_0_on_glass_blur,"client_1,client_2",2,client_0,glass_blur,50,50,0.91,0.92,0.010000000000000009,0.00013167685145582228,0.036237062280493074,0.03636873913194889
tent,perf_1_plus_0_on_stripe,client_1,1,client_0,stripe,50,50,0.92,0.94,0.019999999999999907,4.55042347391282e-05,0.030591155729438498,0.030636659964177627
tent,perf_3_plus_0_on_stripe,client_3,1,client_0,stripe,50,50,0.94,0.95,0.010000000000000009,2.9095285933283444e-05,0.031609191286804186,0.03163828657273747
tent,perf_1_3_plus_0_on_stripe,"client_1,client_3",2,client_0,stripe,50,50,0.94,0.95,0.010000000000000009,0.0001433463583450982,0.047507992974603196,0.047651339332948295
tent,perf_1_plus_0_on_zigzag,client_1,1,client_0,zigzag,50,50,0.9,0.91,0.010000000000000009,4.55042347391282e-05,0.03218841719830295,0.03223392143304207
tent,perf_2_3_plus_0_on_zigzag,"client_2,client_3",2,client_0,zigzag,50,50,0.9,0.91,0.010000000000000009,0.0001126535541699376,0.0418597618380125,0.04197241539218244
tent,perf_0_plus_1_on_glass_blur,client_0,1,client_1,glass_blur,50,50,0.91,0.92,0.010000000000000009,4.55042347391282e-05,0.02240650606111307,0.0224520102958522
tent,perf_4_plus_1_on_glass_blur,client_4,1,client_1,glass_blur,50,50,0.9,0.92,0.020000000000000018,4.552402718002308e-05,0.015261128306222083,0.015306652333402107
tent,perf_0_2_plus_1_on_glass_blur,"client_0,client_2",2,client_1,glass_blur,50,50,0.91,0.92,0.010000000000000009,0.00014978484269922965,0.03937487396144517,0.0395246588041444
tent,perf_0_4_plus_1_on_glass_blur,"client_0,client_4",2,client_1,glass_blur,50,50,0.91,0.93,0.020000000000000018,0.00018734779659409378,0.024716838195310342,0.024904185991904436
tent,perf_2_4_plus_1_on_glass_blur,"client_2,client_4",2,client_1,glass_blur,50,50,0.91,0.92,0.010000000000000009,0.00015755070432988227,0.033583237755375334,0.03374078845970522
