profile_id,composition_name,combination_size,corruption_category,before_accuracy,after_corruption_accuracy,after_substitution_accuracy,accuracy_drop,accuracy_recovery,recovery_ratio,failing_client,recommended_substitute_service,recommended_substitute_client,recommended_substitute_checkpoint,selection_rule,selection_score,candidate_pool_size,candidate_scan_count,num_substitutions,qos_similarity_ratio,data_similarity_ratio,substitution_similarity_ratio,low_similarity_substitute,selection_time_seconds,aggregation_time_seconds,evaluation_time_seconds,case_time_seconds,substituted_latency_seconds,remaining_clients,substituted_client_set
size1_C1,C1,1,translate,0.9863,0.61,0.95,0.37629999999999997,0.33999999999999997,0.9035344140313579,"[""client_0""]","[""translate12""]","[""client_2""]","[""client_2_round_3.pt""]",contextual_fit,-0.010208563132190934,435,12,1,97.78175289422883,88.31440987664593,92.57471423455824,False,0.001107667000000312,0.0032788339999996197,0.0395579589999997,0.08309858400000003,0.03952141700000045,[],"[""client_2""]"
size2_C1_C2,C1_C2,2,translate,0.9878,0.61,0.77,0.3778,0.16000000000000003,0.42350449973530974,"[""client_1""]","[""translate12""]","[""client_2""]","[""client_2_round_3.pt""]",contextual_fit,-0.02062519170703564,410,12,1,96.30644771249963,89.24252264646952,92.42128892618308,False,0.04807912500000011,0.00444975000000003,0.03965425000000078,0.1327415839999997,0.03962345899999953,"[""client_0""]","[""client_0"", ""client_2""]"
size3_C1_C2_C3,C1_C2_C3,3,translate,0.9896,0.61,0.7,0.37960000000000005,0.08999999999999997,0.2370916754478397,"[""client_1""]","[""translate14""]","[""client_3""]","[""client_3_round_2.pt""]",contextual_fit,-0.027216905114784074,385,12,1,96.95332202492717,83.25503384735538,89.41926352726269,False,0.05463054199999995,0.005771624999999503,0.03967983300000011,0.13891037500000003,0.039641417000000345,"[""client_0"", ""client_2""]","[""client_0"", ""client_2"", ""client_3""]"
size3_C1_C2_C4,C1_C2_C4,3,translate,0.9905,0.57,0.7,0.4205000000000001,0.13,0.30915576694411406,"[""client_3""]","[""translate20""]","[""client_4""]","[""client_4_round_3.pt""]",contextual_fit,-0.025741599829427107,385,12,1,97.52012874498405,85.71957116762054,91.02982207743412,False,0.055072165999999534,0.005406542000000236,0.03988799999999948,0.13977041700000026,0.03985520799999964,"[""client_0"", ""client_1""]","[""client_0"", ""client_1"", ""client_4""]"
size3_C1_C2_C5,C1_C2_C5,3,translate,0.9899,0.66,0.71,0.32989999999999997,0.04999999999999993,0.15156107911488312,"[""client_1""]","[""translate14""]","[""client_3""]","[""client_3_round_2.pt""]",contextual_fit,-0.02551182543057981,385,12,1,96.95332202492717,83.25503384735538,89.41926352726269,False,0.05705679200000002,0.005696291000000464,0.04002995899999995,0.14196662499999935,0.03998924999999964,"[""client_0"", ""client_4""]","[""client_0"", ""client_4"", ""client_3""]"
size2_C1_C3,C1_C3,2,translate,0.9887,0.62,0.61,0.3687,-0.010000000000000009,0.0,"[""client_0""]","[""clean+translate230""]","[""client_18""]","[""client_18.pt""]",contextual_fit,-0.02672798170683662,410,12,1,95.51059590997572,74.53880955941446,83.97611341716703,False,0.0472194159999999,0.006398625000000102,0.040348958000000046,0.13356162500000046,0.04031512499999934,"[""client_2""]","[""client_2"", ""client_18""]"
size3_C1_C3_C4,C1_C3_C4,3,translate,0.9897,0.56,0.69,0.42969999999999997,0.1299999999999999,0.3025366534791713,"[""client_3""]","[""translate20""]","[""client_4""]","[""client_4_round_3.pt""]",contextual_fit,-0.030336460849892874,385,12,1,97.52012874498405,85.71957116762054,91.02982207743412,False,0.05461229099999976,0.005665167000000082,0.0389141249999998,0.13828508399999961,0.03888150000000046,"[""client_0"", ""client_2""]","[""client_0"", ""client_2"", ""client_4""]"
size3_C1_C3_C5,C1_C3_C5,3,translate,0.9906,0.63,0.66,0.36060000000000003,0.030000000000000027,0.08319467554076546,"[""client_0""]","[""translate7""]","[""client_1""]","[""client_1.pt""]",contextual_fit,-0.027224470737092915,385,12,1,96.65216871094536,87.64549809458966,91.69849987194974,False,0.05516908300000001,0.0053068749999996,0.03927499999999995,0.1391964579999998,0.039241624999999836,"[""client_2"", ""client_4""]","[""client_2"", ""client_4"", ""client_1""]"
size2_C1_C4,C1_C4,2,translate,0.9892,0.57,0.79,0.4192,0.22000000000000008,0.5248091603053436,"[""client_3""]","[""translate20""]","[""client_4""]","[""client_4_round_3.pt""]",contextual_fit,-0.027613848429113654,410,12,1,97.52012874498405,85.71957116762054,91.02982207743412,False,0.04698837500000064,0.0044310410000001355,0.03975737500000065,0.13020812499999934,0.03972516700000028,"[""client_0""]","[""client_0"", ""client_4""]"
size3_C1_C4_C5,C1_C4_C5,3,translate,0.99,0.62,0.69,0.37,0.06999999999999995,0.18918918918918906,"[""client_3""]","[""clean+translate373""]","[""client_7""]","[""client_7_round_16.pt""]",contextual_fit,-0.02519354490518144,385,12,1,96.35388720621327,72.90856112092919,83.45895785930703,False,0.058805999999998804,0.01105658300000023,0.05197166700000011,0.16136200000000045,0.0518335419999989,"[""client_0"", ""client_4""]","[""client_0"", ""client_4"", ""client_7""]"
size2_C1_C5,C1_C5,2,translate,0.9897,0.67,0.72,0.3197,0.04999999999999993,0.1563966218329682,"[""client_0""]","[""translate12""]","[""client_2""]","[""client_2_round_3.pt""]",contextual_fit,-0.03423012689418919,410,12,1,97.78175289422883,88.31440987664593,92.57471423455824,False,0.048610834000001546,0.00504487500000117,0.03914454100000064,0.13318075000000107,0.03910166699999884,"[""client_4""]","[""client_4"", ""client_2""]"
size1_C2,C2,1,translate,0.9843,0.55,0.93,0.4342999999999999,0.38,0.8749712180520379,"[""client_1""]","[""translate14""]","[""client_3""]","[""client_3_round_2.pt""]",contextual_fit,-0.01414087790029804,435,12,1,96.95332202492717,83.25503384735538,89.41926352726269,False,0.0013415830000003126,0.0038878340000003675,0.041130250000000146,0.08545683400000037,0.04109116599999929,[],"[""client_3""]"
size2_C2_C3,C2_C3,2,translate,0.9883,0.56,0.63,0.4282999999999999,0.06999999999999995,0.16343684333411151,"[""client_1""]","[""translate3""]","[""client_0""]","[""client_0.pt""]",contextual_fit,-0.026989622812027256,410,12,1,96.34762198546974,89.060026227474,92.33944431857209,False,0.04729766699999871,0.006510834000000187,0.03888000000000069,0.13244616700000122,0.03884566600000028,"[""client_2""]","[""client_2"", ""client_0""]"
size3_C2_C3_C4,C2_C3_C4,3,translate,0.9893,0.56,0.64,0.4292999999999999,0.07999999999999996,0.18634987188446303,"[""client_3""]","[""translate4""]","[""client_0""]","[""client_0_round_3.pt""]",contextual_fit,-0.02826142649370976,385,12,1,97.05012791182601,87.30730019870576,91.69157266960988,False,0.0551379169999997,0.005720874999999737,0.03877566699999946,0.13878379099999982,0.03873687500000145,"[""client_1"", ""client_2""]","[""client_1"", ""client_2"", ""client_0""]"
size3_C2_C3_C5,C2_C3_C5,3,translate,0.9889,0.6,0.64,0.3889,0.040000000000000036,0.10285420416559535,"[""client_1""]","[""translate4""]","[""client_0""]","[""client_0_round_3.pt""]",contextual_fit,-0.023545969390834823,385,12,1,95.93388517524794,89.060026227474,92.15326275397229,False,0.05532183300000071,0.0055063339999996685,0.03941383299999934,0.14024620900000073,0.03937541700000047,"[""client_2"", ""client_4""]","[""client_2"", ""client_4"", ""client_0""]"
size2_C2_C4,C2_C4,2,translate,0.9888,0.57,0.72,0.41880000000000006,0.15000000000000002,0.35816618911174786,"[""client_3""]","[""translate4""]","[""client_0""]","[""client_0_round_3.pt""]",contextual_fit,-0.024019227020076302,410,12,1,97.05012791182601,87.30730019870576,91.69157266960988,False,0.0474996249999986,0.004403708999999978,0.04019495900000081,0.13156679099999913,0.040159582999999444,"[""client_1""]","[""client_1"", ""client_0""]"
size3_C2_C4_C5,C2_C4_C5,3,translate,0.9896,0.59,0.7,0.39960000000000007,0.10999999999999999,0.2752752752752752,"[""client_3""]","[""translate4""]","[""client_0""]","[""client_0_round_3.pt""]",contextual_fit,-0.02054994465058215,385,12,1,97.05012791182601,87.30730019870576,91.69157266960988,False,0.05434004200000153,0.005999624999999398,0.03892883299999994,0.13875312500000092,0.0388949580000002,"[""client_1"", ""client_4""]","[""client_1"", ""client_4"", ""client_0""]"
size2_C2_C5,C2_C5,2,translate,0.9882,0.57,0.76,0.4182,0.19000000000000006,0.45432807269249176,"[""client_1""]","[""translate14""]","[""client_3""]","[""client_3_round_2.pt""]",contextual_fit,-0.035905873296069604,410,12,1,96.95332202492717,83.25503384735538,89.41926352726269,False,0.04726004199999956,0.004823291999999313,0.04019604199999982,0.13199562500000006,0.04015987500000051,"[""client_4""]","[""client_4"", ""client_3""]"
size1_C3,C3,1,translate,0.9872,0.58,0.96,0.4072,0.38,0.9332023575638507,"[""client_2""]","[""translate20""]","[""client_4""]","[""client_4_round_3.pt""]",contextual_fit,-0.011429262663197153,435,12,1,97.5230737215859,85.40547023465146,90.85839180377197,False,0.0010859589999991925,0.003350334000000288,0.03909241700000088,0.0829032079999994,0.03905904199999988,[],"[""client_4""]"
size2_C3_C4,C3_C4,2,translate,0.9871,0.57,0.66,0.4171,0.09000000000000008,0.215775593382882,"[""client_3""]","[""translate20""]","[""client_4""]","[""client_4_round_3.pt""]",contextual_fit,-0.034044193329060994,410,12,1,97.52012874498405,85.71957116762054,91.02982207743412,False,0.04926929099999988,0.004644875000000326,0.03984750000000048,0.13305920900000068,0.03981254199999995,"[""client_2""]","[""client_2"", ""client_4""]"
size3_C3_C4_C5,C3_C4_C5,3,translate,0.9897,0.56,0.64,0.42969999999999997,0.07999999999999996,0.18617640214102854,"[""client_3""]","[""translate4""]","[""client_0""]","[""client_0_round_3.pt""]",contextual_fit,-0.01815082571729409,385,12,1,97.05012791182601,87.30730019870576,91.69157266960988,False,0.05509841599999987,0.005859916000000354,0.03934429100000081,0.1396097919999999,0.039303832999999955,"[""client_2"", ""client_4""]","[""client_2"", ""client_4"", ""client_0""]"
size2_C3_C5,C3_C5,2,translate,0.9886,0.61,0.73,0.37860000000000005,0.12,0.3169572107765451,"[""client_2""]","[""translate4""]","[""client_0""]","[""client_0_round_3.pt""]",contextual_fit,-0.03126154230576442,410,12,1,97.0477391910854,85.74389307011299,90.83062382455057,False,0.0491593340000005,0.005021415999999945,0.03919987500000133,0.13291979200000092,0.039165542000001,"[""client_4""]","[""client_4"", ""client_0""]"
