profile_id,composition_name,combination_size,corruption_category,before_accuracy,after_corruption_accuracy,after_substitution_accuracy,accuracy_drop,accuracy_recovery,recovery_ratio,failing_client,recommended_substitute_service,recommended_substitute_client,recommended_substitute_checkpoint,selection_rule,selection_score,candidate_pool_size,candidate_scan_count,num_substitutions,qos_similarity_ratio,data_similarity_ratio,substitution_similarity_ratio,low_similarity_substitute,selection_time_seconds,aggregation_time_seconds,evaluation_time_seconds,case_time_seconds,substituted_latency_seconds,remaining_clients,substituted_client_set
size1_C1,C1,1,translate,0.9863,0.61,0.95,0.37629999999999997,0.33999999999999997,0.9035344140313579,"[""client_0""]","[""translate11""]","[""client_2""]","[""client_2.pt""]",functional_rules_only,50.77747508074232,435,12,1,96.18828661700387,88.31440987664593,91.857654409807,False,0.0008270420000009437,0.010753707999999307,0.040215500000000404,0.09308866599999988,0.040176666000000694,[],"[""client_2""]"
size2_C1_C2,C1_C2,2,translate,0.9878,0.61,0.81,0.3778,0.20000000000000007,0.5293806246691373,"[""client_1""]","[""translate14""]","[""client_3""]","[""client_3_round_2.pt""]",strict_qos_rules,100.7684167406191,410,12,1,96.95332202492717,83.25503384735538,89.41926352726269,False,0.0007989580000007379,0.005054749999999331,0.04151433300000029,0.08689454099999949,0.04147879199999949,"[""client_0""]","[""client_0"", ""client_3""]"
size3_C1_C2_C3,C1_C2_C3,3,translate,0.9896,0.61,0.7,0.37960000000000005,0.08999999999999997,0.2370916754478397,"[""client_1""]","[""translate14""]","[""client_3""]","[""client_3_round_2.pt""]",strict_qos_rules,100.7684167406191,385,12,1,96.95332202492717,83.25503384735538,89.41926352726269,False,0.0009664159999989153,0.005481040999999465,0.03903137500000042,0.08450095799999957,0.03899008299999984,"[""client_0"", ""client_2""]","[""client_0"", ""client_2"", ""client_3""]"
size3_C1_C2_C4,C1_C2_C4,3,translate,0.9905,0.57,0.69,0.4205000000000001,0.12,0.28537455410225915,"[""client_3""]","[""translate11""]","[""client_2""]","[""client_2.pt""]",strict_qos_rules,100.77747508074232,385,12,1,93.35623241829394,85.19702301118605,88.8686672443846,False,0.0007173749999989099,0.00521779099999975,0.03947108300000046,0.08491770799999898,0.03943862500000073,"[""client_0"", ""client_1""]","[""client_0"", ""client_1"", ""client_2""]"
size3_C1_C2_C5,C1_C2_C5,3,translate,0.9899,0.66,0.71,0.32989999999999997,0.04999999999999993,0.15156107911488312,"[""client_1""]","[""translate14""]","[""client_3""]","[""client_3_round_2.pt""]",strict_qos_rules,100.7684167406191,385,12,1,96.95332202492717,83.25503384735538,89.41926352726269,False,0.0006507920000000667,0.005311292000000023,0.03932954200000083,0.08445766699999879,0.03929758299999975,"[""client_0"", ""client_4""]","[""client_0"", ""client_4"", ""client_3""]"
size2_C1_C3,C1_C3,2,translate,0.9887,0.62,0.66,0.3687,0.040000000000000036,0.10848928668294015,"[""client_0""]","[""translate23""]","[""client_5""]","[""client_5.pt""]",functional_rules_only,50.775892787096204,410,12,1,94.11216444052315,84.59927602934947,88.88007581437762,False,0.0006905420000009599,0.0062279160000002776,0.03875479200000065,0.08488958300000071,0.03872120800000012,"[""client_2""]","[""client_2"", ""client_5""]"
size3_C1_C3_C4,C1_C3_C4,3,translate,0.9897,0.56,0.68,0.42969999999999997,0.12,0.27926460321154295,"[""client_3""]","[""translate23""]","[""client_5""]","[""client_5.pt""]",strict_qos_rules,100.77589278709621,385,12,1,91.66289839815661,86.93533587162882,89.06273900856633,False,0.000708791999999292,0.005436832999999197,0.03884400000000099,0.08480275000000148,0.03881245800000066,"[""client_0"", ""client_2""]","[""client_0"", ""client_2"", ""client_5""]"
size3_C1_C3_C5,C1_C3_C5,3,translate,0.9906,0.63,0.66,0.36060000000000003,0.030000000000000027,0.08319467554076546,"[""client_0""]","[""translate23""]","[""client_5""]","[""client_5.pt""]",functional_rules_only,50.775892787096204,385,12,1,94.11216444052315,84.59927602934947,88.88007581437762,False,0.0006676250000001716,0.005177915999999172,0.0394062919999989,0.08494654099999899,0.0393731250000009,"[""client_2"", ""client_4""]","[""client_2"", ""client_4"", ""client_5""]"
size2_C1_C4,C1_C4,2,translate,0.9892,0.57,0.77,0.4192,0.20000000000000007,0.4770992366412215,"[""client_3""]","[""translate11""]","[""client_2""]","[""client_2.pt""]",strict_qos_rules,100.77747508074232,410,12,1,93.35623241829394,85.19702301118605,88.8686672443846,False,0.0007565829999993667,0.004325166999999297,0.03909729199999923,0.08316774999999943,0.03906370900000056,"[""client_0""]","[""client_0"", ""client_2""]"
size3_C1_C4_C5,C1_C4_C5,3,translate,0.99,0.62,0.68,0.37,0.06000000000000005,0.1621621621621623,"[""client_3""]","[""translate11""]","[""client_2""]","[""client_2.pt""]",strict_qos_rules,100.77747508074232,385,12,1,93.35623241829394,85.19702301118605,88.8686672443846,False,0.0006995419999995534,0.005644000000000204,0.038865082999999245,0.0842532079999998,0.03882270799999965,"[""client_0"", ""client_4""]","[""client_0"", ""client_4"", ""client_2""]"
size2_C1_C5,C1_C5,2,translate,0.9897,0.67,0.72,0.3197,0.04999999999999993,0.1563966218329682,"[""client_0""]","[""translate11""]","[""client_2""]","[""client_2.pt""]",functional_rules_only,50.77747508074232,410,12,1,96.18828661700387,88.31440987664593,91.857654409807,False,0.0007050829999997177,0.0045221669999993,0.03936679200000093,0.08428429099999946,0.03932937500000122,"[""client_4""]","[""client_4"", ""client_2""]"
size1_C2,C2,1,translate,0.9843,0.55,0.94,0.4342999999999999,0.3899999999999999,0.8979967764218282,"[""client_1""]","[""translate3""]","[""client_0""]","[""client_0.pt""]",strict_qos_rules,100.77468416472273,435,12,1,96.34762198546974,89.060026227474,92.33944431857209,False,0.0007632920000002485,0.0035243339999997403,0.03869045800000137,0.08247650000000029,0.038657041999998754,[],"[""client_0""]"
size2_C2_C3,C2_C3,2,translate,0.9883,0.56,0.63,0.4282999999999999,0.06999999999999995,0.16343684333411151,"[""client_1""]","[""translate3""]","[""client_0""]","[""client_0.pt""]",strict_qos_rules,100.77468416472273,410,12,1,96.34762198546974,89.060026227474,92.33944431857209,False,0.000719667000000257,0.004336874999999907,0.039875333000001234,0.08412512499999991,0.03984158300000118,"[""client_2""]","[""client_2"", ""client_0""]"
size3_C2_C3_C4,C2_C3_C4,3,translate,0.9893,0.56,0.66,0.4292999999999999,0.09999999999999998,0.23293733985557885,"[""client_3""]","[""translate23""]","[""client_5""]","[""client_5.pt""]",strict_qos_rules,100.77589278709621,385,12,1,91.66289839815661,86.93533587162882,89.06273900856633,False,0.0007064169999999592,0.00565450000000034,0.0390052910000005,0.08615437499999956,0.0389727079999993,"[""client_1"", ""client_2""]","[""client_1"", ""client_2"", ""client_5""]"
size3_C2_C3_C5,C2_C3_C5,3,translate,0.9889,0.6,0.64,0.3889,0.040000000000000036,0.10285420416559535,"[""client_1""]","[""translate3""]","[""client_0""]","[""client_0.pt""]",strict_qos_rules,100.77468416472273,385,12,1,96.34762198546974,89.060026227474,92.33944431857209,False,0.0006752500000004602,0.005503209000000453,0.03882100000000044,0.08465633299999986,0.038784874999999275,"[""client_2"", ""client_4""]","[""client_2"", ""client_4"", ""client_0""]"
size2_C2_C4,C2_C4,2,translate,0.9888,0.57,0.77,0.41880000000000006,0.20000000000000007,0.47755491881566386,"[""client_3""]","[""translate11""]","[""client_2""]","[""client_2.pt""]",strict_qos_rules,100.77747508074232,410,12,1,93.35623241829394,85.19702301118605,88.8686672443846,False,0.0007660840000003333,0.00422158299999964,0.03850083300000051,0.08292866599999904,0.03846874999999983,"[""client_1""]","[""client_1"", ""client_2""]"
size3_C2_C4_C5,C2_C4_C5,3,translate,0.9896,0.59,0.7,0.39960000000000007,0.10999999999999999,0.2752752752752752,"[""client_3""]","[""translate11""]","[""client_2""]","[""client_2.pt""]",strict_qos_rules,100.77747508074232,385,12,1,93.35623241829394,85.19702301118605,88.8686672443846,False,0.0007038339999994037,0.005264957999999709,0.039372458000000776,0.08438195799999981,0.03934208399999939,"[""client_1"", ""client_4""]","[""client_1"", ""client_4"", ""client_2""]"
size2_C2_C5,C2_C5,2,translate,0.9882,0.57,0.73,0.4182,0.16000000000000003,0.38259206121472983,"[""client_1""]","[""translate3""]","[""client_0""]","[""client_0.pt""]",strict_qos_rules,100.77468416472273,410,12,1,96.34762198546974,89.060026227474,92.33944431857209,False,0.0006987909999995878,0.0046137079999990505,0.0392027920000011,0.08353424999999959,0.039148583000001125,"[""client_4""]","[""client_4"", ""client_0""]"
size1_C3,C3,1,translate,0.9872,0.58,0.96,0.4072,0.38,0.9332023575638507,"[""client_2""]","[""translate20""]","[""client_4""]","[""client_4_round_3.pt""]",strict_qos_rules,100.7699932555985,435,12,1,97.5230737215859,85.40547023465146,90.85839180377197,False,0.0007303749999998388,0.003986957999998708,0.039667334000000665,0.08316774999999943,0.03963116699999958,[],"[""client_4""]"
size2_C3_C4,C3_C4,2,translate,0.9871,0.57,0.66,0.4171,0.09000000000000008,0.215775593382882,"[""client_3""]","[""translate23""]","[""client_5""]","[""client_5.pt""]",strict_qos_rules,100.77589278709621,410,12,1,91.66289839815661,86.93533587162882,89.06273900856633,False,0.0007455000000007317,0.004428041999998911,0.03877854099999922,0.08351000000000042,0.038746166000001026,"[""client_2""]","[""client_2"", ""client_5""]"
size3_C3_C4_C5,C3_C4_C5,3,translate,0.9897,0.56,0.66,0.42969999999999997,0.09999999999999998,0.23272050267628575,"[""client_3""]","[""translate23""]","[""client_5""]","[""client_5.pt""]",strict_qos_rules,100.77589278709621,385,12,1,91.66289839815661,86.93533587162882,89.06273900856633,False,0.000698833999999593,0.005315208000000737,0.03914266700000013,0.08455825000000061,0.039107207999999005,"[""client_2"", ""client_4""]","[""client_2"", ""client_4"", ""client_5""]"
size2_C3_C5,C3_C5,2,translate,0.9886,0.61,0.71,0.37860000000000005,0.09999999999999998,0.2641310089804542,"[""client_2""]","[""translate23""]","[""client_5""]","[""client_5.pt""]",functional_rules_only,50.775892787096204,410,12,1,91.50632672567825,84.83401855521518,87.83655723192356,False,0.00069020799999997,0.004417749999999998,0.03932900000000039,0.08343604200000065,0.0392973750000003,"[""client_4""]","[""client_4"", ""client_5""]"
size1_C4,C4,1,translate,0.9779,0.56,0.95,0.41789999999999994,0.3899999999999999,0.933237616654702,"[""client_3""]","[""translate11""]","[""client_2""]","[""client_2.pt""]",strict_qos_rules,100.77747508074232,435,12,1,93.35623241829394,85.19702301118605,88.8686672443846,False,0.0008491670000001506,0.0036531249999995907,0.039196374999999506,0.08302154099999903,0.03915575000000082,[],"[""client_2""]"
size2_C4_C5,C4_C5,2,translate,0.989,0.56,0.72,0.42899999999999994,0.15999999999999992,0.3729603729603728,"[""client_3""]","[""translate11""]","[""client_2""]","[""client_2.pt""]",strict_qos_rules,100.77747508074232,410,12,1,93.35623241829394,85.19702301118605,88.8686672443846,False,0.0007491250000004612,0.005034957999999534,0.039039292,0.08352933299999954,0.03900091699999919,"[""client_4""]","[""client_4"", ""client_2""]"
size1_C5,C5,1,translate,0.9868,0.59,0.95,0.39680000000000004,0.36,0.9072580645161289,"[""client_4""]","[""translate11""]","[""client_2""]","[""client_2.pt""]",functional_rules_only,50.77747508074232,435,12,1,93.3814714391398,86.97093200820196,89.855674752124,False,0.0007986659999996704,0.003522583000000523,0.040382082999999014,0.08492966599999896,0.04034770900000062,[],"[""client_2""]"
size4_C1_C2_C4_C5,C1_C2_C4_C5,4,translate,0.9906,0.61,0.7,0.38060000000000005,0.08999999999999997,0.23646873357856005,"[""client_3""]","[""translate11""]","[""client_2""]","[""client_2.pt""]",strict_qos_rules,100.77747508074232,360,12,1,93.35623241829394,85.19702301118605,88.8686672443846,False,0.000691415999998668,0.006312999999998681,0.039064375000000595,0.085295541999999,0.03903049999999908,"[""client_0"", ""client_1"", ""client_4""]","[""client_0"", ""client_1"", ""client_4"", ""client_2""]"
