profile_id,composition_name,combination_size,corruption_category,before_accuracy,before_reliability_score,before_latency_seconds,after_corruption_accuracy,after_corruption_latency_seconds,accuracy_drop,weights_file
size1_C1,C1,1,fog,0.9863,0.98339499,4.688647625,0.1253,4.113283833,0.861,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size1_C1.pt
size1_C1,C1,1,translate,0.9863,0.98339499,4.688647625,0.5529,3.8084946670000015,0.4334,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size1_C1.pt
size1_C1,C1,1,stripe,0.9863,0.98339499,4.688647625,0.8262,4.141884957999999,0.1600999999999999,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size1_C1.pt
size1_C1,C1,1,zigzag,0.9863,0.98339499,4.688647625,0.8229,4.029860999999997,0.1634,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size1_C1.pt
size1_C1,C1,1,spatter,0.9863,0.98339499,4.688647625,0.9674,4.708356459000001,0.018899999999999917,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size1_C1.pt
size2_C1_C2,C1_C2,2,fog,0.9878,0.98339499,4.611313583,0.1255,4.297139375,0.8623000000000001,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size2_C1_C2.pt
size2_C1_C2,C1_C2,2,translate,0.9878,0.98339499,4.611313583,0.556,3.965315249999996,0.43179999999999996,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size2_C1_C2.pt
size2_C1_C2,C1_C2,2,stripe,0.9878,0.98339499,4.611313583,0.8712,4.187393333999992,0.11660000000000004,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size2_C1_C2.pt
size2_C1_C2,C1_C2,2,zigzag,0.9878,0.98339499,4.611313583,0.8361,3.863298833999991,0.15170000000000006,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size2_C1_C2.pt
size2_C1_C2,C1_C2,2,spatter,0.9878,0.98339499,4.611313583,0.973,4.9855335410000094,0.014800000000000035,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size2_C1_C2.pt
size3_C1_C2_C3,C1_C2_C3,3,fog,0.9896,0.98339499,4.41583075,0.1408,3.735529249999999,0.8488,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size3_C1_C2_C3.pt
size3_C1_C2_C3,C1_C2_C3,3,translate,0.9896,0.98339499,4.41583075,0.5648,4.566502249999999,0.42480000000000007,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size3_C1_C2_C3.pt
size3_C1_C2_C3,C1_C2_C3,3,stripe,0.9896,0.98339499,4.41583075,0.8929,4.105413041999995,0.09670000000000001,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size3_C1_C2_C3.pt
