method,corruption_category,original_composition_name,original_composition_clients,failing_client_id,failing_client_name,surviving_clients,recommended_substitute_client_id,recommended_substitute_client_name,recommended_substitute_service,recommended_substitute_checkpoint,new_composition_clients,single_failure_assumption,num_failed_clients,num_substitutions,before_accuracy,after_corruption_accuracy,after_substitution_accuracy,recovery_ratio
Semantic,fog,C1,"[""C1""]",client_0,C1,[],client_1,C2,fog7,client_1.pt,"[""C2""]",true,1,1,0.9863,0.1253,0.9727,0.9842044134727063
Semantic,translate,C1,"[""C1""]",client_0,C1,[],client_5,C6,translate23,client_5.pt,"[""C6""]",true,1,1,0.9863,0.5529,0.9361,0.8841716658975545
Semantic,stripe,C1,"[""C1""]",client_0,C1,[],client_2,C3,clean+stripe51,client_2.pt,"[""C3""]",true,1,1,0.9863,0.8262,0.9486,0.7645221736414742
Semantic,zigzag,C1,"[""C1""]",client_0,C1,[],client_7,C8,zigzag31,client_7.pt,"[""C8""]",true,1,1,0.9863,0.8229,0.9662,0.8769889840881272
Semantic,spatter,C1,"[""C1""]",client_0,C1,[],client_3,C4,spatter14,client_3_round_2.pt,"[""C4""]",true,1,1,0.9863,0.9674,0.9564,0.0
Semantic,fog,C1_C2,"[""C1"", ""C2""]",client_0,C1,"[""C2""]",client_7,C8,fog32,client_7_round_3.pt,"[""C2"", ""C8""]",true,1,1,0.9878,0.1255,0.7838,0.7634234025281226
Semantic,translate,C1_C2,"[""C1"", ""C2""]",client_1,C2,"[""C1""]",client_5,C6,translate24,client_5_round_3.pt,"[""C1"", ""C6""]",true,1,1,0.9878,0.556,0.6824,0.2927281148679944
Semantic,stripe,C1_C2,"[""C1"", ""C2""]",client_0,C1,"[""C2""]",client_2,C3,clean+stripe51,client_2.pt,"[""C2"", ""C3""]",true,1,1,0.9878,0.8712,0.9111,0.34219554030874816
Semantic,zigzag,C1_C2,"[""C1"", ""C2""]",client_0,C1,"[""C2""]",client_7,C8,zigzag31,client_7.pt,"[""C2"", ""C8""]",true,1,1,0.9878,0.8361,0.92,0.553065260382334
Semantic,spatter,C1_C2,"[""C1"", ""C2""]",client_0,C1,"[""C2""]",client_3,C4,spatter14,client_3_round_2.pt,"[""C2"", ""C4""]",true,1,1,0.9878,0.973,0.9569,0.0
