profile_id,composition_name,combination_size,corruption_category,before_accuracy,after_corruption_accuracy,after_substitution_accuracy,accuracy_drop,accuracy_recovery,recovery_ratio,failing_client,recommended_substitute_service,recommended_substitute_client,recommended_substitute_checkpoint,selection_rule,selection_score,candidate_pool_size,candidate_scan_count,num_substitutions,qos_similarity_ratio,data_similarity_ratio,substitution_similarity_ratio,low_similarity_substitute,selection_time_seconds,aggregation_time_seconds,evaluation_time_seconds,case_time_seconds,substituted_latency_seconds,remaining_clients,substituted_client_set,compatibility_mean_ttaas,compatibility_predicted_composable,protected_weights,protected_probe_distances
size1_C1,C1,1,translate,0.9863,0.61,0.82,0.37629999999999997,0.20999999999999996,0.5580653733723093,"[""client_0""]","[""client_0_translate""]","[""client_0""]","[""/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/tta_adapted_clients/client_0_translate/adapted_client_model.pt""]",tta_existing_model_then_simple_aggregation,1.0,1,1,1,93.72250838889812,73.42210273266244,82.5572852779685,False,0.0,0.006058334000000443,0.05287483299999973,0.33348075000000055,0.05282587499999991,[],"[""client_0""]",1.0,True,"{""client_0"": 1.0}",{}
size2_C1_C2,C1_C2,2,translate,0.9878,0.61,0.61,0.3778,0.0,0.0,"[""client_1""]","[""client_1_translate""]","[""client_1""]","[""/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/tta_adapted_clients/client_1_translate/adapted_client_model.pt""]",tta_existing_model_then_simple_aggregation,1.0,1,1,1,91.59518235790082,75.13009921099545,82.53938662710289,False,0.0,0.018019584000000144,0.11100495899999974,0.17304366699999996,0.11094920900000016,"[""client_0""]","[""client_0"", ""client_1""]",1.0,True,"{""performing_weight"": 0.9999999990545336, ""tta_weight"": 9.454664819883888e-10, ""bn_performing_weight"": 0.9993042452917844, ""bn_tta_weight"": 0.0006957547082155876}","{""model_pref_distance"": 10.389671325683594, ""bn_pref_distance"": 3.634908676147461}"
size3_C1_C2_C3,C1_C2_C3,3,translate,0.9896,0.61,0.6,0.37960000000000005,-0.010000000000000009,0.0,"[""client_1""]","[""client_1_translate""]","[""client_1""]","[""/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/tta_adapted_clients/client_1_translate/adapted_client_model.pt""]",tta_existing_model_then_simple_aggregation,1.0,1,1,1,91.59518235790082,75.13009921099545,82.53938662710289,False,0.0,0.01046845800000007,0.04543349999999968,0.0992839589999992,0.045392291999999834,"[""client_0"", ""client_2""]","[""client_0"", ""client_2"", ""client_1""]",1.0,True,"{""performing_weight"": 0.9999999986258623, ""tta_weight"": 1.3741378016565292e-09, ""bn_performing_weight"": 0.9990988289073931, ""bn_tta_weight"": 0.0009011710926068936}","{""model_pref_distance"": 10.202719688415527, ""bn_pref_distance"": 3.5054569244384766}"
size3_C1_C2_C4,C1_C2_C4,3,translate,0.9905,0.57,0.61,0.4205000000000001,0.040000000000000036,0.0951248513674198,"[""client_3""]","[""client_3_translate""]","[""client_3""]","[""/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/tta_adapted_clients/client_3_translate/adapted_client_model.pt""]",tta_existing_model_then_simple_aggregation,1.0,1,1,1,93.2554714905081,71.59675349438575,81.34317659264082,False,0.0,0.010124582999999632,0.04652266700000052,0.12524079099999952,0.04642933299999985,"[""client_0"", ""client_1""]","[""client_0"", ""client_1"", ""client_3""]",1.0,True,"{""performing_weight"": 0.9999999986241628, ""tta_weight"": 1.3758372200356495e-09, ""bn_performing_weight"": 0.9989508868127265, ""bn_tta_weight"": 0.0010491131872735148}","{""model_pref_distance"": 10.202101707458496, ""bn_pref_distance"": 3.429380178451538}"
size3_C1_C2_C5,C1_C2_C5,3,translate,0.9899,0.66,0.67,0.32989999999999997,0.010000000000000009,0.03031221582297669,"[""client_1""]","[""client_1_translate""]","[""client_1""]","[""/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/tta_adapted_clients/client_1_translate/adapted_client_model.pt""]",tta_existing_model_then_simple_aggregation,1.0,1,1,1,91.59518235790082,75.13009921099545,82.53938662710289,False,0.0,0.00831012500000039,0.045951250000000776,0.09869791699999997,0.045830749999999476,"[""client_0"", ""client_4""]","[""client_0"", ""client_4"", ""client_1""]",1.0,True,"{""performing_weight"": 0.9999999983027132, ""tta_weight"": 1.6972868637279669e-09, ""bn_performing_weight"": 0.9992793374623266, ""bn_tta_weight"": 0.0007206625376734575}","{""model_pref_distance"": 10.09711742401123, ""bn_pref_distance"": 3.617309331893921}"
size2_C1_C3,C1_C3,2,translate,0.9887,0.62,0.58,0.3687,-0.040000000000000036,0.0,"[""client_0""]","[""client_0_translate""]","[""client_0""]","[""/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/tta_adapted_clients/client_0_translate/adapted_client_model.pt""]",tta_existing_model_then_simple_aggregation,1.0,1,1,1,93.72250838889812,73.42210273266244,82.5572852779685,False,0.0,0.010789832999999582,0.04148029100000006,0.09356558400000026,0.04144195900000014,"[""client_2""]","[""client_2"", ""client_0""]",1.0,True,"{""performing_weight"": 0.9999999995318511, ""tta_weight"": 4.681487972863998e-10, ""bn_performing_weight"": 0.999358535607525, ""bn_tta_weight"": 0.000641464392475002}","{""model_pref_distance"": 10.741117477416992, ""bn_pref_distance"": 3.6755576133728027}"
size3_C1_C3_C4,C1_C3_C4,3,translate,0.9897,0.56,0.6,0.42969999999999997,0.039999999999999925,0.09308820107051415,"[""client_3""]","[""client_3_translate""]","[""client_3""]","[""/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/tta_adapted_clients/client_3_translate/adapted_client_model.pt""]",tta_existing_model_then_simple_aggregation,1.0,1,1,1,93.2554714905081,71.59675349438575,81.34317659264082,False,0.0,0.006548500000000068,0.04068483300000025,0.08887437499999962,0.0406356670000001,"[""client_0"", ""client_2""]","[""client_0"", ""client_2"", ""client_3""]",1.0,True,"{""performing_weight"": 0.9999999989603734, ""tta_weight"": 1.0396264949213761e-09, ""bn_performing_weight"": 0.9991256415117203, ""bn_tta_weight"": 0.0008743584882796495}","{""model_pref_distance"": 10.342202186584473, ""bn_pref_distance"": 3.5205726623535156}"
size3_C1_C3_C5,C1_C3_C5,3,translate,0.9906,0.63,0.61,0.36060000000000003,-0.020000000000000018,0.0,"[""client_0""]","[""client_0_translate""]","[""client_0""]","[""/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/tta_adapted_clients/client_0_translate/adapted_client_model.pt""]",tta_existing_model_then_simple_aggregation,1.0,1,1,1,93.72250838889812,73.42210273266244,82.5572852779685,False,0.0,0.00631175000000006,0.03997279199999948,0.0871839999999997,0.03993504100000056,"[""client_2"", ""client_4""]","[""client_2"", ""client_4"", ""client_0""]",1.0,True,"{""performing_weight"": 0.9999999987481027, ""tta_weight"": 1.2518971399403943e-09, ""bn_performing_weight"": 0.9993702171070786, ""bn_tta_weight"": 0.0006297828929213213}","{""model_pref_distance"": 10.249302864074707, ""bn_pref_distance"": 3.6847527027130127}"
size2_C1_C4,C1_C4,2,translate,0.9892,0.57,0.61,0.4192,0.040000000000000036,0.09541984732824435,"[""client_3""]","[""client_3_translate""]","[""client_3""]","[""/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/tta_adapted_clients/client_3_translate/adapted_client_model.pt""]",tta_existing_model_then_simple_aggregation,1.0,1,1,1,93.2554714905081,71.59675349438575,81.34317659264082,False,0.0,0.005569292000000559,0.04179929200000032,0.0896606249999996,0.04175412500000064,"[""client_0""]","[""client_0"", ""client_3""]",1.0,True,"{""performing_weight"": 0.9999999992806832, ""tta_weight"": 7.193168833174473e-10, ""bn_performing_weight"": 0.9993557301164068, ""bn_tta_weight"": 0.00064426988359326}","{""model_pref_distance"": 10.526359558105469, ""bn_pref_distance"": 3.6733741760253906}"
size3_C1_C4_C5,C1_C4_C5,3,translate,0.99,0.62,0.67,0.37,0.050000000000000044,0.13513513513513525,"[""client_3""]","[""client_3_translate""]","[""client_3""]","[""/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/tta_adapted_clients/client_3_translate/adapted_client_model.pt""]",tta_existing_model_then_simple_aggregation,1.0,1,1,1,93.2554714905081,71.59675349438575,81.34317659264082,False,0.0,0.006006750000000061,0.043125582999999246,0.09036450000000062,0.043088665999999165,"[""client_0"", ""client_4""]","[""client_0"", ""client_4"", ""client_3""]",1.0,True,"{""performing_weight"": 0.9999999987095234, ""tta_weight"": 1.2904767238142201e-09, ""bn_performing_weight"": 0.9993344077360574, ""bn_tta_weight"": 0.0006655922639426248}","{""model_pref_distance"": 10.234127044677734, ""bn_pref_distance"": 3.657083749771118}"
