method,ratio_label,clean_ratio,corruption_ratio,composition_name,corruption_category,healthy_accuracy,degraded_accuracy,after_adaptation_accuracy,recovery_ratio
semantic,20clean_80corrupt,0.2,0.8,C1,translate,0.9863,0.62,0.95,0.9009009009009009
semantic,20clean_80corrupt,0.2,0.8,C1_C2,translate,0.9878,0.59,0.73,0.3519356460532931
semantic,20clean_80corrupt,0.2,0.8,C1_C2_C3,translate,0.9896,0.57,0.61,0.09532888465204964
semantic,20clean_80corrupt,0.2,0.8,C1_C2_C4,translate,0.9905,0.59,0.62,0.07490636704119856
semantic,20clean_80corrupt,0.2,0.8,C1_C2_C5,translate,0.9899,0.58,0.66,0.1951695535496464
semantic,20clean_80corrupt,0.2,0.8,C1_C3,translate,0.9887,0.55,0.55,0.0
semantic,20clean_80corrupt,0.2,0.8,C1_C3_C4,translate,0.9897,0.54,0.59,0.11118523460084487
semantic,20clean_80corrupt,0.2,0.8,C1_C3_C5,translate,0.9906,0.56,0.6,0.09289363678588
semantic,20clean_80corrupt,0.2,0.8,C1_C4,translate,0.9892,0.58,0.73,0.3665689149560118
semantic,20clean_80corrupt,0.2,0.8,C1_C4_C5,translate,0.99,0.55,0.59,0.09090909090909075
semantic,20clean_80corrupt,0.2,0.8,C1_C5,translate,0.9897,0.57,0.61,0.09530617107457715
semantic,20clean_80corrupt,0.2,0.8,C2,translate,0.9843,0.59,0.94,0.887648998224702
semantic,20clean_80corrupt,0.2,0.8,C2_C3,translate,0.9883,0.56,0.63,0.16343684333411151
semantic,20clean_80corrupt,0.2,0.8,C2_C3_C4,translate,0.9893,0.55,0.61,0.13658092419758697
semantic,20clean_80corrupt,0.2,0.8,C2_C3_C5,translate,0.9889,0.56,0.59,0.06994637444625768
semantic,20clean_80corrupt,0.2,0.8,C2_C4,translate,0.9888,0.55,0.7,0.34184138559708277
semantic,20clean_80corrupt,0.2,0.8,C2_C4_C5,translate,0.9896,0.54,0.61,0.15569395017793583
semantic,20clean_80corrupt,0.2,0.8,C2_C5,translate,0.9882,0.53,0.68,0.3273679615888259
semantic,20clean_80corrupt,0.2,0.8,C3,translate,0.9872,0.53,0.94,0.8967629046369203
semantic,20clean_80corrupt,0.2,0.8,C3_C4,translate,0.9871,0.52,0.61,0.19267822736030824
semantic,20clean_80corrupt,0.2,0.8,C3_C4_C5,translate,0.9897,0.53,0.6,0.152273221666304
semantic,20clean_80corrupt,0.2,0.8,C3_C5,translate,0.9886,0.52,0.61,0.1920614596670934
semantic,20clean_80corrupt,0.2,0.8,C4,translate,0.9779,0.49,0.94,0.9223201475712235
semantic,20clean_80corrupt,0.2,0.8,C4_C5,translate,0.989,0.51,0.61,0.20876826722338201
semantic,20clean_80corrupt,0.2,0.8,C5,translate,0.9868,0.53,0.94,0.8975481611208405
semantic,20clean_80corrupt,0.2,0.8,C1_C2_C4_C5,translate,0.9906,0.56,0.58,0.04644681839293987
context,20clean_80corrupt,0.2,0.8,C1,translate,0.9863,0.62,0.95,0.9009009009009009
context,20clean_80corrupt,0.2,0.8,C1_C2,translate,0.9878,0.59,0.67,0.20110608345902478
context,20clean_80corrupt,0.2,0.8,C1_C2_C3,translate,0.9896,0.57,0.61,0.09532888465204964
context,20clean_80corrupt,0.2,0.8,C1_C2_C4,translate,0.9905,0.59,0.62,0.07490636704119856
context,20clean_80corrupt,0.2,0.8,C1_C2_C5,translate,0.9899,0.58,0.66,0.1951695535496464
context,20clean_80corrupt,0.2,0.8,C1_C3,translate,0.9887,0.55,0.56,0.022794620469569205
context,20clean_80corrupt,0.2,0.8,C1_C3_C4,translate,0.9897,0.54,0.59,0.11118523460084487
context,20clean_80corrupt,0.2,0.8,C1_C3_C5,translate,0.9906,0.56,0.6,0.09289363678588
context,20clean_80corrupt,0.2,0.8,C1_C4,translate,0.9892,0.58,0.73,0.3665689149560118
context,20clean_80corrupt,0.2,0.8,C1_C4_C5,translate,0.99,0.55,0.59,0.09090909090909075
context,20clean_80corrupt,0.2,0.8,C1_C5,translate,0.9897,0.57,0.61,0.09530617107457715
context,20clean_80corrupt,0.2,0.8,C2,translate,0.9843,0.59,0.94,0.887648998224702
context,20clean_80corrupt,0.2,0.8,C2_C3,translate,0.9883,0.56,0.6,0.09339248190520648
