method,composition_count,prep_seconds,online_seconds,total_seconds,total_nanoseconds
Semantic,10,6312.460580042001,1.014132820769231,6313.4747128627705,6313474712862.7705
Context,10,6312.460580042001,1.3159622596153844,6313.776542301616,6313776542301.616
MLaaS,10,6312.460580042001,0.8821532692307692,6313.342733311232,6313342733311.232
TTA,10,0.0,0.8750484934615386,0.8750484934615386,875048493.4615386
Semantic,20,6312.460580042001,2.028265641538462,6314.48884568354,6314488845683.54
Context,20,6312.460580042001,2.6319245192307688,6315.092504561232,6315092504561.232
MLaaS,20,6312.460580042001,1.7643065384615384,6314.224886580463,6314224886580.463
TTA,20,0.0,1.7500969869230771,1.7500969869230771,1750096986.923077
Semantic,30,6312.460580042001,3.042398462307693,6315.502978504309,6315502978504.309
Context,30,6312.460580042001,3.9478867788461534,6316.408466820847,6316408466820.847
MLaaS,30,6312.460580042001,2.6464598076923074,6315.107039849694,6315107039849.694
TTA,30,0.0,2.6251454803846155,2.6251454803846155,2625145480.3846154
Semantic,40,6312.460580042001,4.056531283076924,6316.517111325078,6316517111325.078
Context,40,6312.460580042001,5.2638490384615375,6317.724429080463,6317724429080.463
MLaaS,40,6312.460580042001,3.528613076923077,6315.989193118924,6315989193118.924
TTA,40,0.0,3.5001939738461543,3.5001939738461543,3500193973.846154
Semantic,50,6312.460580042001,5.070664103846155,6317.531244145847,6317531244145.848
Context,50,6312.460580042001,6.5798112980769226,6319.040391340078,6319040391340.078
MLaaS,50,6312.460580042001,4.410766346153846,6316.871346388155,6316871346388.155
TTA,50,0.0,4.375242467307692,4.375242467307692,4375242467.307693
Semantic,60,6312.460580042001,6.084796924615386,6318.5453769666165,6318545376966.616
Context,60,6312.460580042001,7.895773557692307,6320.356353599694,6320356353599.693
MLaaS,60,6312.460580042001,5.292919615384615,6317.753499657386,6317753499657.386
TTA,60,0.0,5.250290960769231,5.250290960769231,5250290960.769231
Semantic,70,6312.460580042001,7.098929745384617,6319.559509787386,6319559509787.386
Context,70,6312.460580042001,9.21173581730769,6321.672315859309,6321672315859.309
MLaaS,70,6312.460580042001,6.175072884615385,6318.635652926617,6318635652926.617
TTA,70,0.0,6.12533945423077,6.12533945423077,6125339454.23077
Semantic,80,6312.460580042001,8.113062566153848,6320.573642608155,6320573642608.155
Context,80,6312.460580042001,10.527698076923075,6322.988278118924,6322988278118.925
MLaaS,80,6312.460580042001,7.057226153846154,6319.517806195848,6319517806195.848
TTA,80,0.0,7.0003879476923085,7.0003879476923085,7000387947.692308
Semantic,90,6312.460580042001,9.127195386923079,6321.587775428924,6321587775428.924
Context,90,6312.460580042001,11.84366033653846,6324.304240378539,6324304240378.539
MLaaS,90,6312.460580042001,7.939379423076923,6320.399959465079,6320399959465.078
TTA,90,0.0,7.8754364411538464,7.8754364411538464,7875436441.153847
Semantic,100,6312.460580042001,10.14132820769231,6322.601908249693,6322601908249.693
Context,100,6312.460580042001,13.159622596153845,6325.620202638155,6325620202638.155
MLaaS,100,6312.460580042001,8.821532692307692,6321.282112734309,6321282112734.309
TTA,100,0.0,8.750484934615384,8.750484934615384,8750484934.615385
