profile_id,composition_name,combination_size,client_names,source_dir,source_checkpoint_name,source_checkpoint_path,dataset,aggregation,reference_global_round,functional_task_type,functional_input_modality,functional_input_shape,functional_output_type,functional_label_space,functional_label_count,functional_data_domain,num_target_samples,evaluation_accuracy,latency_seconds,trial_evaluation_time_seconds,reliability_profile_time_seconds,profile_build_time_seconds,quality_factor,reliability_score,prediction_distribution,weights_file
size1_C1,C1,1,"[""client_0""]",/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/C1,composition_model.pt,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/C1/composition_model.pt,clean_mnist_test,sample-weighted-fedavg,9,digit_classification,mnist_image,1x28x28,digit_label,digits_0_9,10,clean_mnist,10000,0.9863,6.914540834,6.917591417,0.3397244999999991,7.333662958,0.9863,0.9833949896476499,"[0.0969, 0.1149, 0.1057, 0.1002, 0.0988, 0.0902, 0.0942, 0.1015, 0.1006, 0.097]",/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size1_C1.pt
size2_C1_C2,C1_C2,2,"[""client_0"", ""client_1""]",/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/C1_C2,composition_model.pt,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/C1_C2/composition_model.pt,clean_mnist_test,sample-weighted-fedavg,9,digit_classification,mnist_image,1x28x28,digit_label,digits_0_9,10,clean_mnist,10000,0.9878,5.578664000000002,5.579897333000002,0.3252697920000003,5.924221875000001,0.9878,0.9833949896476499,"[0.0977, 0.1145, 0.1059, 0.1, 0.0995, 0.0901, 0.0941, 0.103, 0.0977, 0.0975]",/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size2_C1_C2.pt
size3_C1_C2_C3,C1_C2_C3,3,"[""client_0"", ""client_1"", ""client_2""]",/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/C1_C2_C3,composition_model.pt,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/C1_C2_C3/composition_model.pt,clean_mnist_test,sample-weighted-fedavg,9,digit_classification,mnist_image,1x28x28,digit_label,digits_0_9,10,clean_mnist,10000,0.9896,5.336767416000001,5.338761625,0.2939072500000002,5.651716832999998,0.9895999999999999,0.9833949896476499,"[0.0979, 0.1137, 0.1055, 0.1011, 0.0991, 0.0892, 0.0954, 0.1019, 0.098, 0.0982]",/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size3_C1_C2_C3.pt
size4_C1_C2_C3_C4,C1_C2_C3_C4,4,"[""client_0"", ""client_1"", ""client_2"", ""client_3""]",/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/C1_C2_C3_C4,composition_model.pt,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/C1_C2_C3_C4/composition_model.pt,clean_mnist_test,sample-weighted-fedavg,9,digit_classification,mnist_image,1x28x28,digit_label,digits_0_9,10,clean_mnist,10000,0.9905,5.066476375000001,5.066739165999998,0.28282154200000065,5.362461499999998,0.9904999999999999,0.9817017518131382,"[0.0981, 0.1134, 0.1051, 0.1015, 0.0982, 0.0893, 0.0952, 0.1018, 0.0983, 0.0991]",/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size4_C1_C2_C3_C4.pt
size5_C1_C2_C3_C4_C5,C1_C2_C3_C4_C5,5,"[""client_0"", ""client_1"", ""client_2"", ""client_3"", ""client_4""]",/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/C1_C2_C3_C4_C5,composition_model.pt,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/C1_C2_C3_C4_C5/composition_model.pt,clean_mnist_test,sample-weighted-fedavg,9,digit_classification,mnist_image,1x28x28,digit_label,digits_0_9,10,clean_mnist,10000,0.9905,5.455699666000001,5.4559979999999975,0.2706857079999949,5.741737333,0.9904999999999999,0.9816217113754138,"[0.0981, 0.1134, 0.1047, 0.1014, 0.0984, 0.0897, 0.0955, 0.102, 0.0978, 0.099]",/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size5_C1_C2_C3_C4_C5.pt
size4_C1_C2_C3_C5,C1_C2_C3_C5,4,"[""client_0"", ""client_1"", ""client_2"", ""client_4""]",/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/C1_C2_C3_C5,composition_model.pt,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/C1_C2_C3_C5/composition_model.pt,clean_mnist_test,sample-weighted-fedavg,9,digit_classification,mnist_image,1x28x28,digit_label,digits_0_9,10,clean_mnist,10000,0.99,5.063803041,5.064175084000006,0.3163236669999989,5.401636707999998,0.9899999999999999,0.9834778888552207,"[0.0981, 0.1137, 0.1047, 0.1011, 0.0991, 0.0894, 0.0958, 0.1027, 0.0975, 0.0979]",/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size4_C1_C2_C3_C5.pt
size3_C1_C2_C4,C1_C2_C4,3,"[""client_0"", ""client_1"", ""client_3""]",/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/C1_C2_C4,composition_model.pt,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/C1_C2_C4/composition_model.pt,clean_mnist_test,sample-weighted-fedavg,9,digit_classification,mnist_image,1x28x28,digit_label,digits_0_9,10,clean_mnist,10000,0.9905,5.252446124999999,5.252998916999999,0.32175250000000233,5.588644625000001,0.9905000000000002,0.9834778888552207,"[0.0983, 0.114, 0.1047, 0.1014, 0.0983, 0.0898, 0.0945, 0.1021, 0.0977, 0.0992]",/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size3_C1_C2_C4.pt
size4_C1_C2_C4_C5,C1_C2_C4_C5,4,"[""client_0"", ""client_1"", ""client_3"", ""client_4""]",/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/C1_C2_C4_C5,composition_model.pt,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/C1_C2_C4_C5/composition_model.pt,clean_mnist_test,sample-weighted-fedavg,9,digit_classification,mnist_image,1x28x28,digit_label,digits_0_9,10,clean_mnist,10000,0.9906,5.123578625,5.123893125000002,0.3178032499999972,5.464733917000004,0.9906,0.9834778888552207,"[0.0983, 0.1135, 0.1047, 0.1013, 0.0984, 0.0899, 0.095, 0.1027, 0.0975, 0.0987]",/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size4_C1_C2_C4_C5.pt
size3_C1_C2_C5,C1_C2_C5,3,"[""client_0"", ""client_1"", ""client_4""]",/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/C1_C2_C5,composition_model.pt,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/C1_C2_C5/composition_model.pt,clean_mnist_test,sample-weighted-fedavg,9,digit_classification,mnist_image,1x28x28,digit_label,digits_0_9,10,clean_mnist,10000,0.9899,5.462247417,5.462648917000003,0.2816409580000041,5.801847040999995,0.9898999999999999,0.9834778888552207,"[0.098, 0.1139, 0.1043, 0.1005, 0.0991, 0.0898, 0.0954, 0.1038, 0.0972, 0.098]",/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size3_C1_C2_C5.pt
size2_C1_C3,C1_C3,2,"[""client_0"", ""client_2""]",/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/C1_C3,composition_model.pt,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/C1_C3/composition_model.pt,clean_mnist_test,sample-weighted-fedavg,9,digit_classification,mnist_image,1x28x28,digit_label,digits_0_9,10,clean_mnist,10000,0.9887,5.688145792,5.688490167000005,0.36339312500000176,6.0692726250000035,0.9887,0.9817017518131382,"[0.0975, 0.1136, 0.1054, 0.1015, 0.0987, 0.089, 0.0956, 0.1016, 0.0986, 0.0985]",/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size2_C1_C3.pt
