tta_method,case,performing_length,tta_corruption,deployment_accuracy,data_shift_accuracy,initial_mixed_accuracy,protected_v2_mixed_accuracy,stmu_gala_mixed_accuracy,substitution_20_random_accuracy,substitution_50_random_accuracy,protected_v2_gain_vs_initial,stmu_gala_gain_vs_initial,sub20_gain_vs_initial,sub50_gain_vs_initial,sub20_source,sub50_source
tent,perf_1_plus_0_on_brightness,1,brightness,0.98,0.34,0.66,0.67,0.49,0.91,0.9,0.010000000000000009,-0.17000000000000004,0.25,0.24,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/clean_spatter/global/global_model.pt,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/stripe/global/global_model.pt
tent,perf_1_4_plus_0_on_brightness,2,brightness,0.98,0.34,0.66,0.67,0.49,0.91,0.46,0.010000000000000009,-0.17000000000000004,0.25,-0.2,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/clean_spatter/global/global_model.pt,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/translate/global/global_model.pt
tent,perf_2_4_plus_0_on_brightness,2,brightness,1.0,0.28,0.64,0.65,0.5,0.54,0.88,0.010000000000000009,-0.14,-0.09999999999999998,0.24,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/clean_translate/global/global_model.pt,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/spatter/global/global_model.pt
tent,perf_3_4_plus_0_on_brightness,2,brightness,1.0,0.24,0.62,0.63,0.5,0.9,0.9,0.010000000000000009,-0.12,0.28,0.28,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/clean_zigzag/global/global_model.pt,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/stripe/global/global_model.pt
tent,perf_1_2_plus_0_on_glass_blur,2,glass_blur,1.0,0.82,0.91,0.92,0.85,0.9,0.86,0.010000000000000009,-0.06000000000000005,-0.010000000000000009,-0.050000000000000044,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/clean_zigzag/global/global_model.pt,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/zigzag/global/global_model.pt
tent,perf_1_plus_0_on_stripe,1,stripe,0.98,0.86,0.92,0.94,0.92,0.91,0.99,0.019999999999999907,0.0,-0.010000000000000009,0.06999999999999995,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/clean_zigzag/global/global_model.pt,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/stripe/global/global_model.pt
tent,perf_3_plus_0_on_stripe,1,stripe,1.0,0.88,0.94,0.95,0.95,0.94,0.54,0.010000000000000009,0.010000000000000009,0.0,-0.3999999999999999,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/clean_spatter/global/global_model.pt,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/translate/global/global_model.pt
tent,perf_1_3_plus_0_on_stripe,2,stripe,1.0,0.88,0.94,0.95,0.96,0.91,0.87,0.010000000000000009,0.020000000000000018,-0.029999999999999916,-0.06999999999999995,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/clean_zigzag/global/global_model.pt,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/zigzag/global/global_model.pt
tent,perf_1_plus_0_on_zigzag,1,zigzag,0.98,0.82,0.9,0.91,0.9,0.88,0.83,0.010000000000000009,0.0,-0.020000000000000018,-0.07000000000000006,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/clean_translate/global/global_model.pt,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/fog/global/global_model.pt
tent,perf_2_3_plus_0_on_zigzag,2,zigzag,1.0,0.8,0.9,0.91,0.9,0.87,0.89,0.010000000000000009,0.0,-0.030000000000000027,-0.010000000000000009,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/clean_fog/global/global_model.pt,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/spatter/global/global_model.pt
tent,perf_0_plus_1_on_glass_blur,1,glass_blur,0.98,0.84,0.91,0.92,0.9,0.9,0.86,0.010000000000000009,-0.010000000000000009,-0.010000000000000009,-0.050000000000000044,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/clean_spatter/global/global_model.pt,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/zigzag/global/global_model.pt
tent,perf_4_plus_1_on_glass_blur,1,glass_blur,0.98,0.82,0.9,0.92,0.89,0.92,0.62,0.020000000000000018,-0.010000000000000009,0.020000000000000018,-0.28,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/clean_translate/global/global_model.pt,/Users/deepakkanneganti/Documents/TTA-Composition/Service-level TTA Model/federated_artifact_corrupt/translate/global/global_model.pt
