composition_id,composition_clients,composition_length,clean_samples,corruption_samples,clean_accuracy,corruption,corruption_accuracy,mixed_accuracy,drop_clean_to_corruption,drop_clean_to_mixed
composition_0,client_0,1,100,100,0.98,brightness,0.2,0.59,0.78,0.39
composition_0,client_0,1,100,100,0.98,zigzag,0.77,0.875,0.20999999999999996,0.10499999999999998
composition_1,client_1,1,100,100,0.98,brightness,0.34,0.66,0.6399999999999999,0.31999999999999995
composition_1,client_1,1,100,100,0.98,zigzag,0.81,0.895,0.16999999999999993,0.08499999999999996
composition_2,client_2,1,100,100,1.0,brightness,0.18,0.59,0.8200000000000001,0.41000000000000003
composition_2,client_2,1,100,100,1.0,zigzag,0.75,0.875,0.25,0.125
composition_3,client_3,1,100,100,0.99,brightness,0.12,0.555,0.87,0.43499999999999994
composition_3,client_3,1,100,100,0.99,zigzag,0.78,0.885,0.20999999999999996,0.10499999999999998
composition_4,client_4,1,100,100,0.99,brightness,0.36,0.675,0.63,0.31499999999999995
composition_4,client_4,1,100,100,0.99,zigzag,0.74,0.865,0.25,0.125
composition_0_1,"client_0,client_1",2,100,100,0.99,brightness,0.31,0.65,0.6799999999999999,0.33999999999999997
composition_0_1,"client_0,client_1",2,100,100,0.99,zigzag,0.79,0.89,0.19999999999999996,0.09999999999999998
composition_0_2,"client_0,client_2",2,100,100,1.0,brightness,0.18,0.59,0.8200000000000001,0.41000000000000003
composition_0_2,"client_0,client_2",2,100,100,1.0,zigzag,0.77,0.885,0.22999999999999998,0.11499999999999999
composition_0_3,"client_0,client_3",2,100,100,1.0,brightness,0.16,0.58,0.84,0.42000000000000004
composition_0_3,"client_0,client_3",2,100,100,1.0,zigzag,0.81,0.905,0.18999999999999995,0.09499999999999997
composition_0_4,"client_0,client_4",2,100,100,1.0,brightness,0.29,0.645,0.71,0.355
composition_0_4,"client_0,client_4",2,100,100,1.0,zigzag,0.78,0.89,0.21999999999999997,0.10999999999999999
composition_1_2,"client_1,client_2",2,100,100,1.0,brightness,0.27,0.635,0.73,0.365
composition_1_2,"client_1,client_2",2,100,100,1.0,zigzag,0.79,0.895,0.20999999999999996,0.10499999999999998
composition_1_3,"client_1,client_3",2,100,100,1.0,brightness,0.23,0.615,0.77,0.385
composition_1_3,"client_1,client_3",2,100,100,1.0,zigzag,0.81,0.905,0.18999999999999995,0.09499999999999997
composition_1_4,"client_1,client_4",2,100,100,0.98,brightness,0.39,0.685,0.59,0.29499999999999993
composition_1_4,"client_1,client_4",2,100,100,0.98,zigzag,0.8,0.89,0.17999999999999994,0.08999999999999997
composition_2_3,"client_2,client_3",2,100,100,1.0,brightness,0.16,0.58,0.84,0.42000000000000004
composition_2_3,"client_2,client_3",2,100,100,1.0,zigzag,0.79,0.895,0.20999999999999996,0.10499999999999998
composition_2_4,"client_2,client_4",2,100,100,0.99,brightness,0.3,0.645,0.69,0.345
composition_2_4,"client_2,client_4",2,100,100,0.99,zigzag,0.77,0.88,0.21999999999999997,0.10999999999999999
composition_3_4,"client_3,client_4",2,100,100,1.0,brightness,0.23,0.615,0.77,0.385
composition_3_4,"client_3,client_4",2,100,100,1.0,zigzag,0.79,0.895,0.20999999999999996,0.10499999999999998
composition_0_1_2,"client_0,client_1,client_2",3,100,100,1.0,brightness,0.26,0.63,0.74,0.37
composition_0_1_2,"client_0,client_1,client_2",3,100,100,1.0,zigzag,0.79,0.895,0.20999999999999996,0.10499999999999998
composition_0_1_3,"client_0,client_1,client_3",3,100,100,1.0,brightness,0.22,0.61,0.78,0.39
composition_0_1_3,"client_0,client_1,client_3",3,100,100,1.0,zigzag,0.8,0.9,0.19999999999999996,0.09999999999999998
composition_0_1_4,"client_0,client_1,client_4",3,100,100,0.99,brightness,0.35,0.67,0.64,0.31999999999999995
composition_0_1_4,"client_0,client_1,client_4",3,100,100,0.99,zigzag,0.8,0.895,0.18999999999999995,0.09499999999999997
composition_0_2_3,"client_0,client_2,client_3",3,100,100,1.0,brightness,0.17,0.585,0.83,0.41500000000000004
composition_0_2_3,"client_0,client_2,client_3",3,100,100,1.0,zigzag,0.79,0.895,0.20999999999999996,0.10499999999999998
composition_0_2_4,"client_0,client_2,client_4",3,100,100,1.0,brightness,0.24,0.62,0.76,0.38
composition_0_2_4,"client_0,client_2,client_4",3,100,100,1.0,zigzag,0.78,0.89,0.21999999999999997,0.10999999999999999
composition_0_3_4,"client_0,client_3,client_4",3,100,100,1.0,brightness,0.21,0.605,0.79,0.395
composition_0_3_4,"client_0,client_3,client_4",3,100,100,1.0,zigzag,0.77,0.885,0.22999999999999998,0.11499999999999999
composition_1_2_3,"client_1,client_2,client_3",3,100,100,1.0,brightness,0.19,0.595,0.81,0.405
composition_1_2_3,"client_1,client_2,client_3",3,100,100,1.0,zigzag,0.8,0.9,0.19999999999999996,0.09999999999999998
composition_1_2_4,"client_1,client_2,client_4",3,100,100,0.98,brightness,0.32,0.65,0.6599999999999999,0.32999999999999996
composition_1_2_4,"client_1,client_2,client_4",3,100,100,0.98,zigzag,0.79,0.885,0.18999999999999995,0.09499999999999997
composition_1_3_4,"client_1,client_3,client_4",3,100,100,1.0,brightness,0.29,0.645,0.71,0.355
composition_1_3_4,"client_1,client_3,client_4",3,100,100,1.0,zigzag,0.8,0.9,0.19999999999999996,0.09999999999999998
