tta_method,case,performing_length,tta_corruption,deployment_accuracy,data_shift_accuracy,initial_mixed_accuracy,composition_tta_clean_accuracy,composition_tta_mixed_accuracy,protected_v2_mixed_accuracy,stmu_clean_accuracy,stmu_mixed_accuracy,substitution_20_random_accuracy,substitution_50_random_accuracy
tent,perf_1_plus_0_on_brightness,1,brightness,0.9666666666666667,0.32857142857142857,0.52,0.9666666666666667,0.79,0.55,0.9666666666666667,0.3,0.85,0.9
tent,perf_1_4_plus_0_on_brightness,2,brightness,0.9666666666666667,0.35714285714285715,0.54,0.9666666666666667,0.87,0.57,0.9666666666666667,0.3,0.97,0.9
tent,perf_2_4_plus_0_on_brightness,2,brightness,1.0,0.2714285714285714,0.49,1.0,0.88,0.51,1.0,0.31,0.85,0.9
tent,perf_3_4_plus_0_on_brightness,2,brightness,1.0,0.22857142857142856,0.46,1.0,0.85,0.48,1.0,0.31,0.85,0.9
tent,perf_1_2_plus_0_on_glass_blur,2,glass_blur,1.0,0.7571428571428571,0.83,1.0,0.9,0.84,0.9333333333333333,0.69,0.87,0.51
tent,perf_1_plus_0_on_stripe,1,stripe,0.9666666666666667,0.8428571428571429,0.88,0.9666666666666667,0.89,0.9,0.9666666666666667,0.88,0.91,0.91
tent,perf_3_plus_0_on_stripe,1,stripe,1.0,0.8714285714285714,0.91,1.0,0.94,0.95,1.0,0.95,0.64,0.91
tent,perf_1_3_plus_0_on_stripe,2,stripe,1.0,0.8714285714285714,0.91,1.0,0.96,0.93,1.0,0.96,0.98,0.8
tent,perf_1_plus_0_on_zigzag,1,zigzag,0.9666666666666667,0.8285714285714286,0.87,0.9666666666666667,0.88,0.88,0.9666666666666667,0.86,0.96,0.57
tent,perf_2_3_plus_0_on_zigzag,2,zigzag,1.0,0.8285714285714286,0.88,1.0,0.89,0.89,1.0,0.89,0.76,0.86
tent,perf_0_plus_1_on_glass_blur,1,glass_blur,0.9666666666666667,0.7571428571428571,0.82,1.0,0.84,0.83,1.0,0.8,0.81,0.51
