Method,Length,Cases,Deployment,Data Shift,Initial Mixed,Composition-Level TTA Clean,Composition-Level TTA Mixed,STAM,CATM Clean,CATM Mixed,Random Sub 20%,Random Sub 50%
tent,1,18,0.9922222222222222,0.6122222222222221,0.8022222222222224,0.9922222222222222,0.863888888888889,0.8238888888888888,0.9877777777777779,0.7477777777777778,0.8866666666666666,0.8233333333333335
tent,2,37,0.9945945945945945,0.6383783783783784,0.8164864864864865,0.9972972972972974,0.871891891891892,0.8313513513513514,0.9929729729729728,0.7648648648648648,0.870810810810811,0.8397297297297297
tent,3,12,1.0,0.5950000000000001,0.7975,1.0,0.8458333333333333,0.8116666666666665,0.9933333333333333,0.7433333333333333,0.9316666666666666,0.8483333333333333
tent,4,6,1.0,0.6466666666666667,0.8233333333333334,1.0,0.8700000000000001,0.8366666666666666,0.9933333333333333,0.7466666666666667,0.8266666666666667,0.7383333333333333
tta_bn,1,17,0.9917647058823529,0.6035294117647059,0.7976470588235296,0.6835294117647057,0.7788235294117647,0.8170588235294116,0.9870588235294119,0.7417647058823529,0.8594117647058825,0.8935294117647059
tta_bn,2,37,0.9940540540540541,0.625945945945946,0.8099999999999999,0.7686486486486485,0.8321621621621622,0.8264864864864866,0.9929729729729728,0.7540540540540541,0.8775675675675675,0.8540540540540538
tta_bn,3,13,1.0,0.5692307692307692,0.7846153846153846,0.7661538461538462,0.8376923076923077,0.7984615384615383,0.9953846153846153,0.7276923076923077,0.7976923076923078,0.793076923076923
tta_bn,4,7,1.0,0.68,0.8400000000000001,0.8285714285714286,0.86,0.852857142857143,0.9942857142857143,0.7757142857142857,0.8514285714285714,0.87
tta_memo,1,17,0.9917647058823529,0.6035294117647059,0.7976470588235296,0.9917647058823529,0.8429411764705881,0.8170588235294116,0.9870588235294119,0.7417647058823529,0.9117647058823531,0.8541176470588236
tta_memo,2,38,0.9942105263157895,0.6305263157894737,0.8123684210526316,0.9957894736842107,0.844736842105263,0.8286842105263159,0.993157894736842,0.7578947368421052,0.8826315789473685,0.8555263157894735
tta_memo,3,13,1.0,0.5692307692307692,0.7846153846153846,0.9984615384615385,0.8146153846153846,0.7984615384615383,0.9938461538461538,0.726923076923077,0.89,0.783076923076923
tta_memo,4,8,1.0,0.6950000000000001,0.8475000000000001,1.0,0.865,0.8600000000000001,0.995,0.7925,0.9087500000000001,0.84875
