Method,Corruption,Cases,Deployment,Data Shift,Initial Mixed,Composition-Level TTA Clean,Composition-Level TTA Mixed,STAM,CATM Clean,CATM Mixed,Random Sub 20%,Random Sub 50%
tent,brightness,27,0.9977777777777779,0.2674074074074075,0.6325925925925925,0.9955555555555555,0.7448148148148149,0.6551851851851851,0.988888888888889,0.4944444444444445,0.8625925925925925,0.8162962962962966
tent,glass_blur,14,0.9928571428571429,0.8442857142857142,0.9185714285714285,1.0,0.9328571428571426,0.9307142857142855,0.992857142857143,0.8892857142857142,0.9064285714285717,0.802142857142857
tent,stripe,15,0.9920000000000001,0.8680000000000001,0.9299999999999998,0.9973333333333334,0.9713333333333335,0.9439999999999997,0.9960000000000001,0.9399999999999998,0.9066666666666665,0.8573333333333333
tent,zigzag,17,0.996470588235294,0.8,0.8982352941176474,0.9952941176470589,0.9082352941176471,0.91,0.9917647058823529,0.8976470588235294,0.8670588235294118,0.8452941176470589
tta_bn,brightness,29,0.9972413793103448,0.2689655172413794,0.6331034482758622,0.6041379310344829,0.7937931034482758,0.6544827586206897,0.9896551724137932,0.4948275862068966,0.8041379310344826,0.8351724137931037
tta_bn,glass_blur,13,0.9923076923076923,0.8430769230769231,0.9176923076923077,1.0,0.9369230769230767,0.9307692307692306,0.9923076923076924,0.8869230769230769,0.8992307692307693,0.8184615384615384
tta_bn,stripe,17,0.9929411764705884,0.8694117647058826,0.931176470588235,0.6105882352941175,0.7052941176470588,0.9458823529411762,0.9964705882352942,0.9411764705882351,0.8923529411764707,0.9076470588235291
tta_bn,zigzag,15,0.996,0.8026666666666668,0.8993333333333335,0.9946666666666667,0.9166666666666667,0.9106666666666668,0.9920000000000001,0.9013333333333334,0.882,0.86
tta_memo,brightness,29,0.9972413793103448,0.2689655172413794,0.6331034482758622,0.993103448275862,0.6941379310344827,0.6544827586206897,0.9896551724137932,0.4948275862068966,0.8782758620689655,0.8055172413793105
tta_memo,glass_blur,13,0.9923076923076923,0.8430769230769231,0.9176923076923077,1.0,0.9323076923076921,0.9307692307692306,0.9923076923076924,0.8869230769230769,0.9030769230769232,0.8023076923076923
tta_memo,stripe,17,0.9929411764705884,0.8694117647058826,0.931176470588235,0.9976470588235294,0.9523529411764703,0.9458823529411762,0.9964705882352942,0.9411764705882351,0.9164705882352941,0.8970588235294117
tta_memo,zigzag,17,0.996470588235294,0.8023529411764707,0.8994117647058826,0.9952941176470589,0.911764705882353,0.9105882352941178,0.9917647058823529,0.9011764705882354,0.8876470588235293,0.8800000000000001
